"Number of Productivity Programs Implemented in Establishments Employing 20 or More Workers by Assisting Agency and Major Industry Group, Philippines: 2015"

"Major Industry Group";"Assisting Agency";"2015"
"ALL INDUSTRIES";"Total Productivity Programs Implemented";3339
"ALL INDUSTRIES";"Department of Labor and Employment";632
"ALL INDUSTRIES";"Department of Trade of Industry";117
"ALL INDUSTRIES";"Department of Science and Technology";57
"ALL INDUSTRIES";"Other Government Agencies";167
"ALL INDUSTRIES";"Non-Government Organizations";14
"ALL INDUSTRIES";"Private Sector Organizations";375
"ALL INDUSTRIES";"None";2100
"..Agriculture, Forestry and Fishing";"Total Productivity Programs Implemented";49
"..Agriculture, Forestry and Fishing";"Department of Labor and Employment";5
"..Agriculture, Forestry and Fishing";"Department of Trade of Industry";0
"..Agriculture, Forestry and Fishing";"Department of Science and Technology";1
"..Agriculture, Forestry and Fishing";"Other Government Agencies";1
"..Agriculture, Forestry and Fishing";"Non-Government Organizations";0
"..Agriculture, Forestry and Fishing";"Private Sector Organizations";0
"..Agriculture, Forestry and Fishing";"None";42
"..Mining and Quarrying";"Total Productivity Programs Implemented";13
"..Mining and Quarrying";"Department of Labor and Employment";0
"..Mining and Quarrying";"Department of Trade of Industry";7
"..Mining and Quarrying";"Department of Science and Technology";0
"..Mining and Quarrying";"Other Government Agencies";0
"..Mining and Quarrying";"Non-Government Organizations";0
"..Mining and Quarrying";"Private Sector Organizations";3
"..Mining and Quarrying";"None";3
"..Manufacturing";"Total Productivity Programs Implemented";1039
"..Manufacturing";"Department of Labor and Employment";160
"..Manufacturing";"Department of Trade of Industry";47
"..Manufacturing";"Department of Science and Technology";34
"..Manufacturing";"Other Government Agencies";37
"..Manufacturing";"Non-Government Organizations";1
"..Manufacturing";"Private Sector Organizations";126
"..Manufacturing";"None";689
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Productivity Programs Implemented";67
"..Electricity, Gas, Steam and Air Conditioning Supply";"Department of Labor and Employment";30
"..Electricity, Gas, Steam and Air Conditioning Supply";"Department of Trade of Industry";1
"..Electricity, Gas, Steam and Air Conditioning Supply";"Department of Science and Technology";1
"..Electricity, Gas, Steam and Air Conditioning Supply";"Other Government Agencies";3
"..Electricity, Gas, Steam and Air Conditioning Supply";"Non-Government Organizations";1
"..Electricity, Gas, Steam and Air Conditioning Supply";"Private Sector Organizations";3
"..Electricity, Gas, Steam and Air Conditioning Supply";"None";30
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Productivity Programs Implemented";11
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Department of Labor and Employment";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Department of Trade of Industry";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Department of Science and Technology";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Other Government Agencies";9
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Non-Government Organizations";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Private Sector Organizations";0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"None";2
"..Construction";"Total Productivity Programs Implemented";53
"..Construction";"Department of Labor and Employment";16
"..Construction";"Department of Trade of Industry";0
"..Construction";"Department of Science and Technology";0
"..Construction";"Other Government Agencies";1
"..Construction";"Non-Government Organizations";1
"..Construction";"Private Sector Organizations";11
"..Construction";"None";26
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Productivity Programs Implemented";654
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Department of Labor and Employment";104
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Department of Trade of Industry";20
