"Number of Productivity Programs Implemented in Establishments Employing 20 or More Workers by Type of Assistance Provided and Major Industry Group, Philippines: 2015"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__PIGP/8751B3GP171.px/table/tableViewLayout1/?rxid=159136c6-7169-401d-a91c-8c6ecc7b757e"
"Major Industry Group";"Type of Assistance Provided";"2015"
"ALL INDUSTRIES";"Total Productivity Programs Implemented";3339
"ALL INDUSTRIES";"Skills Training or Upgrading";876
"ALL INDUSTRIES";"Skills Assessment and Certification";432
"ALL INDUSTRIES";"Technology Acquisition or Upgrade";123
"ALL INDUSTRIES";"Credit/Finacial Assistance";48
"ALL INDUSTRIES";"Information/Advice";475
"ALL INDUSTRIES";"Others";83
"ALL INDUSTRIES";"None";1876
"..Agriculture, Forestry and Fishing";"Total Productivity Programs Implemented";49
"..Agriculture, Forestry and Fishing";"Skills Training or Upgrading";2
"..Agriculture, Forestry and Fishing";"Skills Assessment and Certification";0
"..Agriculture, Forestry and Fishing";"Technology Acquisition or Upgrade";1
"..Agriculture, Forestry and Fishing";"Credit/Finacial Assistance";0
"..Agriculture, Forestry and Fishing";"Information/Advice";4
"..Agriculture, Forestry and Fishing";"Others";0
"..Agriculture, Forestry and Fishing";"None";42
"..Mining and Quarrying";"Total Productivity Programs Implemented";13
"..Mining and Quarrying";"Skills Training or Upgrading";2
"..Mining and Quarrying";"Skills Assessment and Certification";1
"..Mining and Quarrying";"Technology Acquisition or Upgrade";0
"..Mining and Quarrying";"Credit/Finacial Assistance";0
"..Mining and Quarrying";"Information/Advice";7
"..Mining and Quarrying";"Others";0
"..Mining and Quarrying";"None";3
"..Manufacturing";"Total Productivity Programs Implemented";1039
"..Manufacturing";"Skills Training or Upgrading";218
"..Manufacturing";"Skills Assessment and Certification";90
"..Manufacturing";"Technology Acquisition or Upgrade";45
"..Manufacturing";"Credit/Finacial Assistance";19
"..Manufacturing";"Information/Advice";131
"..Manufacturing";"Others";23
"..Manufacturing";"None";668
"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Productivity Programs Implemented";67
"..Electricity, Gas, Steam and Air Conditioning Supply";"Skills Training or Upgrading";32
"..Electricity, Gas, Steam and Air Conditioning Supply";"Skills Assessment and Certification";32
"..Electricity, Gas, Steam and Air Conditioning Supply";"Technology Acquisition or Upgrade";0
"..Electricity, Gas, Steam and Air Conditioning Supply";"Credit/Finacial Assistance";1
"..Electricity, Gas, Steam and Air Conditioning Supply";"Information/Advice";30
"..Electricity, Gas, Steam and Air Conditioning Supply";"Others";1
"..Electricity, Gas, Steam and Air Conditioning Supply";"None";29
"..Water Supply; Sewerage, Waste Management";"Total Productivity Programs Implemented";11
"..Water Supply; Sewerage, Waste Management";"Skills Training or Upgrading";8
"..Water Supply; Sewerage, Waste Management";"Skills Assessment and Certification";2
"..Water Supply; Sewerage, Waste Management";"Technology Acquisition or Upgrade";0
"..Water Supply; Sewerage, Waste Management";"Credit/Finacial Assistance";0
"..Water Supply; Sewerage, Waste Management";"Information/Advice";9
"..Water Supply; Sewerage, Waste Management";"Others";0
"..Water Supply; Sewerage, Waste Management";"None";2
"..Construction";"Total Productivity Programs Implemented";53
"..Construction";"Skills Training or Upgrading";4
"..Construction";"Skills Assessment and Certification";6
"..Construction";"Technology Acquisition or Upgrade";0
"..Construction";"Credit/Finacial Assistance";0
"..Construction";"Information/Advice";13
"..Construction";"Others";5
"..Construction";"None";24
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Productivity Programs Implemented";654
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Skills Training or Upgrading";144
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Skills Assessment and Certification";66
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Technology Acquisition or Upgrade";17
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Credit/Finacial Assistance";9
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Information/Advice";74
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Others";16
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"None";397
"..Transportation and Storage";"Total Productivity Programs Implemented";72
"..Transportation and Storage";"Skills Training or Upgrading";23
"..Transportation and Storage";"Skills Assessment and Certification";1
"..Transportation and Storage";"Technology Acquisition or Upgrade";1
"..Transportation and Storage";"Credit/Finacial Assistance";0
"..Transportation and Storage";"Information/Advice";6
"..Transportation and Storage";"Others";1
"..Transportation and Storage";"None";42
"..Accommodation and Food Service Activities";"Total Productivity Programs Implemented";511
"..Accommodation and Food Service Activities";"Skills Training or Upgrading";202
"..Accommodation and Food Service Activities";"Skills Assessment and Certification";106
"..Accommodation and Food Service Activities";"Technology Acquisition or Upgrade";27
"..Accommodation and Food Service Activities";"Credit/Finacial Assistance";0
"..Accommodation and Food Service Activities";"Information/Advice";50
"..Accommodation and Food Service Activities";"Others";8
"..Accommodation and Food Service Activities";"None";235
"..Information and Communication";"Total Productivity Programs Implemented";48
"..Information and Communication";"Skills Training or Upgrading";6
