"Percent Distribution of Annual Labor Cost in Establishments Employing 20 or More Workers by Industry Group and Major Cost Component, Philippines: 2013-2019"

"Major Industry Group";"Annual Labor Cost";"2013";"2019"
"ALL INDUSTRIES";"Total Amount";1065679431;1661439875
"ALL INDUSTRIES";"Percent";100;100
"ALL INDUSTRIES";"..Direct Wages and Salaries";78.7;77.6
"ALL INDUSTRIES";"..Remuneration for Time Not Worked";0.7;0.6
"ALL INDUSTRIES";"..Bonuses and Gratuities";9.5;9.5
"ALL INDUSTRIES";"..Payments in Kind";0.2;0.1
"ALL INDUSTRIES";"..Housing";0.4;0.4
"ALL INDUSTRIES";"..Social Security Expenditures";8.7;10.6
"ALL INDUSTRIES";"..Cost of Training";0.6;0.3
"ALL INDUSTRIES";"..Cost of Welfare Services";0.3;0.3
"ALL INDUSTRIES";"..Other Labor Costs";1.0;0.5
"..Agriculture, Forestry, and Fishing";"Total Amount";27916752;31392946
"..Agriculture, Forestry, and Fishing";"Percent";100;100
"..Agriculture, Forestry, and Fishing";"..Direct Wages and Salaries";74.4;75.5
"..Agriculture, Forestry, and Fishing";"..Remuneration for Time Not Worked";1.7;0.2
"..Agriculture, Forestry, and Fishing";"..Bonuses and Gratuities";6.9;11.0
"..Agriculture, Forestry, and Fishing";"..Payments in Kind";0.6;0.3
"..Agriculture, Forestry, and Fishing";"..Housing";1.5;a
"..Agriculture, Forestry, and Fishing";"..Social Security Expenditures";10.4;12.7
"..Agriculture, Forestry, and Fishing";"..Cost of Training";0.5;0.2
"..Agriculture, Forestry, and Fishing";"..Cost of Welfare Services";0.7;a
"..Agriculture, Forestry, and Fishing";"..Other Labor Costs";3.4;0.1
"..Mining and Quarrying";"Total Amount";11392942;14644131
"..Mining and Quarrying";"Percent";100;100
"..Mining and Quarrying";"..Direct Wages and Salaries";80.1;76.8
"..Mining and Quarrying";"..Remuneration for Time Not Worked";1.6;0.7
"..Mining and Quarrying";"..Bonuses and Gratuities";7.1;8.1
"..Mining and Quarrying";"..Payments in Kind";0.5;0.1
"..Mining and Quarrying";"..Housing";0.8;0.4
"..Mining and Quarrying";"..Social Security Expenditures";8.2;10.6
"..Mining and Quarrying";"..Cost of Training";0.4;0.6
"..Mining and Quarrying";"..Cost of Welfare Services";0.2;0.2
"..Mining and Quarrying";"..Other Labor Costs";1.2;2.5
"..Manufacturing";"Total Amount";216791268;306941891
"..Manufacturing";"Percent";100;100
"..Manufacturing";"..Direct Wages and Salaries";79.4;78.3
"..Manufacturing";"..Remuneration for Time Not Worked";0.9;1.6
