"Percent Distribution of Bonuses and Gratuities in Establishments Employing 20 or More Workers by Industry Group and Sub-Cost Component, Philippines: 2013-2019"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__LCE/2001B3GL030.px/table/tableViewLayout1/?rxid=f1d2d894-c545-48b7-9fb9-f7e54e7069d3"
"Major Industry Group";"Bonuses and Gratuities";"2013";"2019"
"ALL INDUSTRIES";"Total Amount";100694666;157902167
"ALL INDUSTRIES";"Percent";100.0;100.0
"ALL INDUSTRIES";"..Year-End, Seasonal and Other One-Time Bonuses";93.2;91.9
"ALL INDUSTRIES";"..Profit Sharing Bonuses";3.6;4.2
"ALL INDUSTRIES";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";3.1;3.9
"..Agriculture, Forestry, and Fishing";"Total Amount";1914701;3454430
"..Agriculture, Forestry, and Fishing";"Percent";100.0;100.0
"..Agriculture, Forestry, and Fishing";"..Year-End, Seasonal and Other One-Time Bonuses";88.3;97.8
"..Agriculture, Forestry, and Fishing";"..Profit Sharing Bonuses";6.7;2.0
"..Agriculture, Forestry, and Fishing";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";5.0;0.2
"..Mining and Quarrying";"Total Amount";811733;1189689
"..Mining and Quarrying";"Percent";100.0;100.0
"..Mining and Quarrying";"..Year-End, Seasonal and Other One-Time Bonuses";97.2;96.9
"..Mining and Quarrying";"..Profit Sharing Bonuses";0.9;0.2
"..Mining and Quarrying";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";2.0;3.0
"..Manufacturing";"Total Amount";19892287;30127784
"..Manufacturing";"Percent";100.0;100.0
"..Manufacturing";"..Year-End, Seasonal and Other One-Time Bonuses";90.1;86.8
"..Manufacturing";"..Profit Sharing Bonuses";6.0;4.3
"..Manufacturing";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";3.9;8.9
"..Electricity, Gas, Steam, and Air Conditioning Supply";"Total Amount";3995295;3005324
"..Electricity, Gas, Steam, and Air Conditioning Supply";"Percent";100.0;100.0
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Year-End, Seasonal and Other One-Time Bonuses";96.8;94.9
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Profit Sharing Bonuses";0.4;3.1
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";2.8;2.0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Amount";798438;1370350
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Percent";100.0;100.0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Year-End, Seasonal and Other One-Time Bonuses";98.1;92.8
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Profit Sharing Bonuses";0.0;0.0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Additional Payments in Respect of Vacation, Supplementary to Normal Vacation Pay";2.0;7.2
