"Percent Distribution of Direct Wages and Salaries in Establishments Employing 20 or More Workers by Major Industry Group and Sub-Cost Component, Philippines: 2013-2019"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__LCE/1501B3GL020.px/table/tableViewLayout1/?rxid=f1d2d894-c545-48b7-9fb9-f7e54e7069d3"
"Major Industry Group";"Direct Wages and Salaries";"2013";"2019"
"ALL INDUSTRIES";"Total Amount";838427135;1289087753
"ALL INDUSTRIES";"Percent";100.0;100.0
"ALL INDUSTRIES";"..Pay for Normal/Regular Working Time";86.4;80.6
"ALL INDUSTRIES";"..Commissions/Share in Service Charges";1.5;1.6
"ALL INDUSTRIES";"..Overtime, Night Shift and Premium Pay";6.1;5.9
"ALL INDUSTRIES";"..Bonus, Productivity, Performance and Other Incentive Schemes";3.1;9.5
"ALL INDUSTRIES";"..Cost of Living Allowances and Other Regularly Paid Allowances";3.0;2.3
"..Agriculture, Forestry, and Fishing";"Total Amount";20762731;23694346
"..Agriculture, Forestry, and Fishing";"Percent";100.0;100.0
"..Agriculture, Forestry, and Fishing";"..Pay for Normal/Regular Working Time";85.2;88.6
"..Agriculture, Forestry, and Fishing";"..Commissions/Share in Service Charges";0.6;0.5
"..Agriculture, Forestry, and Fishing";"..Overtime, Night Shift and Premium Pay";6.4;5.4
"..Agriculture, Forestry, and Fishing";"..Bonus, Productivity, Performance and Other Incentive Schemes";5.3;3.1
"..Agriculture, Forestry, and Fishing";"..Cost of Living Allowances and Other Regularly Paid Allowances";2.5;2.4
"..Mining and Quarrying";"Total Amount";9122056;11250161
"..Mining and Quarrying";"Percent";100.0;100.0
"..Mining and Quarrying";"..Pay for Normal/Regular Working Time";83.1;78.5
"..Mining and Quarrying";"..Commissions/Share in Service Charges";0.3;1.2
"..Mining and Quarrying";"..Overtime, Night Shift and Premium Pay";11.1;14.0
"..Mining and Quarrying";"..Bonus, Productivity, Performance and Other Incentive Schemes";3.0;3.8
"..Mining and Quarrying";"..Cost of Living Allowances and Other Regularly Paid Allowances";2.6;2.5
"..Manufacturing";"Total Amount";172128283;240356267
"..Manufacturing";"Percent";100.0;100.0
"..Manufacturing";"..Pay for Normal/Regular Working Time";86.8;84.7
"..Manufacturing";"..Commissions/Share in Service Charges";0.3;0.8
"..Manufacturing";"..Overtime, Night Shift and Premium Pay";9.4;10.3
"..Manufacturing";"..Bonus, Productivity, Performance and Other Incentive Schemes";1.8;2.6
"..Manufacturing";"..Cost of Living Allowances and Other Regularly Paid Allowances";1.7;1.5
"..Electricity, Gas, Steam, and Air Conditioning Supply";"Total Amount";24520951;18825445
"..Electricity, Gas, Steam, and Air Conditioning Supply";"Percent";100.0;100.0
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Pay for Normal/Regular Working Time";76.7;88.4
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Commissions/Share in Service Charges";0.0;0.2
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Overtime, Night Shift and Premium Pay";9.3;4.2
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Bonus, Productivity, Performance and Other Incentive Schemes";5.2;3.4
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Cost of Living Allowances and Other Regularly Paid Allowances";8.8;3.8
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Amount";5724023;9680058
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Percent";100.0;100.0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Pay for Normal/Regular Working Time";81.2;81.3
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Commissions/Share in Service Charges";a;a
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Overtime, Night Shift and Premium Pay";4.4;4.2
