"Percent Distribution of Collective Bargaining Coverage by Sex and Branch of Economic Activity"

"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Percent distribution of collective bargaining coverage";"TOTAL";..;..;..;..;100.0;..;..;..;100.0;100.0;..;100.0;..;100.0;..;100.0;..;100.0;..;100.0;..;100.0;..;..
"Percent distribution of collective bargaining coverage";"..Men";..;..;..;..;63.9;..;..;..;..;..;..;64.3;..;62.4;..;61.3;..;63.2;..;65.6;..;63.9;..;..
"Percent distribution of collective bargaining coverage";"..Women";..;..;..;..;36.1;..;..;..;..;..;..;35.7;..;37.6;..;38.7;..;36.8;..;34.2;..;36.4;..;..
"Percent distribution of collective bargaining coverage";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;10.2;..;9.4;..;9.6;..;..
"Percent distribution of collective bargaining coverage";"..Industry";..;..;..;..;60.1;..;..;..;53.3;53.0;..;55.3;..;50.1;..;50.9;..;43.6;..;44.7;..;42.2;..;..
"Percent distribution of collective bargaining coverage";"..Services";..;..;..;..;39.9;..;..;..;46.7;47.0;..;44.7;..;49.9;..;49.1;..;46.2;..;45.8;..;48.2;..;..
"Total employees covered by CBAs (000)";"TOTAL";..;..;..;..;552;..;..;..;508;415;..;423;..;391;..;330;..;383;..;360;..;313;..;..
"Total employees covered by CBAs (000)";"..Men";..;..;..;..;353;..;..;..;..;..;..;272;..;244;..;203;..;242;..;236;..;200;..;..
"Total employees covered by CBAs (000)";"..Women";..;..;..;..;199;..;..;..;..;..;..;151;..;147;..;128;..;141;..;123;..;114;..;..
"Total employees covered by CBAs (000)";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;39;..;34;..;30;..;..
"Total employees covered by CBAs (000)";"..Industry";..;..;..;..;332;..;..;..;270;220;..;234;..;196;..;168;..;167;..;161;..;132;..;..
"Total employees covered by CBAs (000)";"..Services";..;..;..;..;220;..;..;..;237;195;..;189;..;195;..;162;..;177;..;165;..;151;..;..
"Total employees (000)";"TOTAL";2270;..;..;..;..;..;..;..;2582;2393;..;..;..;2991;..;3020;..;3739;..;4437;..;4365;..;..
"Total employees (000)";"..Men";1447;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2249;..;2696;..;2502;..;..
"Total employees (000)";"..Women";823;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1490;..;1741;..;1863;..;..
"Total employees (000)";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;169;..;237;..;154;..;..
"Total employees (000)";"..Industry";1032;..;..;..;..;..;..;..;1165;1044;..;..;..;1126;..;1059;..;1235;..;1327;..;1336;..;..
"Total employees (000)";"..Services";1238;..;..;..;..;..;..;..;1417;1349;..;..;..;1865;..;1961;..;2335;..;2872;..;2875;..;..
