"Percent Distribution of Union Members by Sex and Branch of Economic Activity"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E11/0953K3E1102.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Percent distribution of union membership";"TOTAL";100.0;..;..;..;100.0;..;..;..;100.0;100.0;..;100.0;..;100.0;..;100.0;..;100.0;..;100.0;..;100.0;..;..
"Percent distribution of union membership";"..Men";67.9;..;..;..;64.4;..;..;..;68.9;64.6;..;65.3;..;63.0;..;62.1;..;63.9;..;65.3;..;65.0;..;..
"Percent distribution of union membership";"..Women";32.1;..;..;..;35.6;..;..;..;31.1;35.4;..;34.7;..;37.0;..;37.9;..;36.1;..;34.7;..;35.0;..;..
"Percent distribution of union membership";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;10.5;..;9.4;..;10.6;..;..
"Percent distribution of union membership";"..Industry";57.8;..;..;..;59.4;..;..;..;50.9;54.0;..;54.4;..;50.5;..;51.9;..;43.9;..;43.8;..;42.0;..;..
"Percent distribution of union membership";"..Services";42.2;..;..;..;40.6;..;..;..;49.1;46.0;..;45.6;..;49.5;..;48.1;..;45.6;..;46.8;..;47.3;..;..
"Total union membership (000)";"TOTAL";692;..;..;..;541;..;..;..;521;389;..;401;..;373;..;319;..;371;..;340;..;283;..;..
"Total union membership (000)";"..Men";470;..;..;..;349;..;..;..;359;252;..;262;..;235;..;198;..;237;..;222;..;184;..;..
"Total union membership (000)";"..Women";222;..;..;..;193;..;..;..;162;138;..;139;..;138;..;121;..;134;..;118;..;99;..;..
"Total union membership (000)";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;39;..;32;..;30;..;..
"Total union membership (000)";"..Industry";400;..;..;..;322;..;..;..;265;210;..;218;..;189;..;166;..;163;..;149;..;119;..;..
"Total union membership (000)";"..Services";292;..;..;..;220;..;..;..;256;179;..;183;..;185;..;154;..;169;..;159;..;134;..;..
"Total employees (000)";"TOTAL";2270;..;..;..;..;..;..;..;2582;2393;..;..;..;2991;..;3020;..;3739;..;4437;..;4365;..;..
"Total employees (000)";"..Men";1447;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2249;..;2696;..;2502;..;..
"Total employees (000)";"..Women";823;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1490;..;1741;..;1863;..;..
"Total employees (000)";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;169;..;237;..;154;..;..
"Total employees (000)";"..Industry";1032;..;..;..;..;..;..;..;1165;1044;..;..;..;1126;..;1059;..;1235;..;1327;..;1336;..;..
"Total employees (000)";"..Services";1238;..;..;..;..;..;..;..;1417;1349;..;..;..;1865;..;1961;..;2335;..;2872;..;2875;..;..
