"Number and Percent Distribution of Union Officers in Establishments Employing 20 or More Workers by Major Industry Group and Sex, Philippines: June 2014 to August 2022"

"Major Industry Group";"2014 Both Sexes";"2014 ..Male";"2014 ..Male (Percent)";"2014 ..Female";"2014 ..Female (Percent)";"2016 Both Sexes";"2016 ..Male";"2016 ..Male (Percent)";"2016 ..Female";"2016 ..Female (Percent)";"2018 Both Sexes";"2018 ..Male";"2018 ..Male (Percent)";"2018 ..Female";"2018 ..Female (Percent)";"2020 Both Sexes";"2020 ..Male";"2020 ..Male (Percent)";"2020 ..Female";"2020 ..Female (Percent)";"2022 Both Sexes";"2022 ..Male";"2022 ..Male (Percent)";"2022 ..Female";"2022 ..Female (Percent)"
"ALL INDUSTRIES";25028;19862;79.4;5166;20.6;23135;18190;78.6;4945;21.4;13485;9504;70.5;3981;29.5;11478;8059;70.2;3419;29.8;25028;19862;79.4;5166;20.6
"..Agriculture, Forestry and Fishing";1337;1007;75.3;330;24.7;1137;898;79.0;239;21.0;1131;852;75.3;279;24.7;376;293;77.8;84;22.2;1337;1007;75.3;330;24.7
"..Mining and Quarrying";1947;1933;99.3;14;0.7;212;182;85.8;30;14.2;190;160;84.2;31;16.3;178;173;97.0;5;3.0;1947;1933;99.3;14;0.7
"..Manufacturing";10720;9384;87.5;1336;12.5;9812;8379;85.4;1433;14.6;5634;4493;79.7;1141;20.3;5081;4018;79.1;1063;20.9;10720;9384;87.5;1336;12.5
"..Electricity, Gas, Steam and Air Conditioning Supply";1247;1003;80.4;244;19.6;1177;921;78.2;256;21.8;724;528;72.9;196;27.1;873;676;77.4;197;22.6;1247;1003;80.4;244;19.6
"..Water Supply; Sewerage, Waste Management and Remediation Activities";719;497;69.1;222;30.9;843;531;63.0;312;37.0;619;357;57.7;262;42.4;387;253;65.3;134;34.7;719;497;69.1;222;30.9
"..Construction";112;89;79.5;23;20.5;994;972;97.8;22;2.2;62;52;83.9;10;16.1;25;19;76.5;6;23.5;112;89;79.5;23;20.5
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1806;1190;65.9;616;34.1;2708;1848;68.2;860;31.8;1612;943;58.5;668;41.4;1107;440;39.7;667;60.3;1806;1190;65.9;616;34.1
"..Transportation and Storage";1471;1383;94.0;88;6.0;1584;1336;84.3;248;15.7;622;548;88.1;75;12.1;391;350;89.5;41;10.5;1471;1383;94.0;88;6.0
"..Accommodation and Food Service Activities";831;370;44.5;461;55.5;815;593;72.8;222;27.2;623;366;58.7;257;41.3;798;535;67.0;263;33.0;831;370;44.5;461;55.5
"..Information and Communication";544;374;68.8;170;31.3;197;143;72.6;54;27.4;150;97;64.7;53;35.3;234;162;69.2;72;30.8;544;374;68.8;170;31.3
"..Financial and Insurance Activities";1182;804;68.0;378;32.0;957;700;73.1;257;26.9;545;330;60.6;215;39.4;758;405;53.4;353;46.6;1182;804;68.0;378;32.0
"..Real Estate Activities";20;12;60.0;8;40.0;35;32;91.4;3;8.6;21;15;71.4;5;23.8;10;10;100.0;0;0.0;20;12;60.0;8;40.0
"..Professional, Scientific and Technical Activities";447;273;61.1;174;38.9;176;125;71.0;51;29.0;39;12;30.8;28;71.8;24;20;83.4;4;16.6;447;273;61.1;174;38.9
"..Administrative and Support Service Activities";189;179;94.7;10;5.3;88;87;98.9;1;1.1;47;25;53.2;22;46.8;33;23;69.6;10;30.4;189;179;94.7;10;5.3
"..Education Except Public Education";1388;608;43.8;780;56.2;1387;793;57.2;594;42.8;874;388;44.4;487;55.7;640;320;50.1;319;49.9;1388;608;43.8;780;56.2
"..Human Health and Social Work Activities Except Public Health Activities";589;404;68.6;185;31.4;629;415;66.0;214;34.0;409;224;54.8;186;45.5;391;209;53.3;183;46.7;589;404;68.6;185;31.4
"..Arts, Entertainment and Recreation";419;345;82.3;74;17.7;291;151;51.9;140;48.1;171;109;63.7;62;36.4;173;155;89.6;18;10.4;419;345;82.3;74;17.7
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";61;10;16.4;51;83.6;94;84;89.4;10;10.6;11;7;63.6;4;36.4;0;0;0.0;0;0.0;61;10;16.4;51;83.6
