"Number and Percent Distribution of Union Presidents in Establishments Employing 20 or More Workers by Major Industry Group and Sex, Philippines: June 2014 to August 2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__UCB/7751B3GU100.px/table/tableViewLayout1/?rxid=2e73dce7-6537-444e-a85a-4413f7d69373"
"Major Industry Group";"2014 Both Sexes";"2014 ..Male";"2014 ..Male (Percent)";"2014 ..Female";"2014 ..Female (Percent)";"2016 Both Sexes";"2016 ..Male";"2016 ..Male (Percent)";"2016 ..Female";"2016 ..Female (Percent)";"2018 Both Sexes";"2018 ..Male";"2018 ..Male (Percent)";"2018 ..Female";"2018 ..Female (Percent)";"2020 Both Sexes";"2020 ..Male";"2020 ..Male (Percent)";"2020 ..Female";"2020 ..Female (Percent)";"2022 Both Sexes";"2022 ..Male";"2022 ..Male (Percent)";"2022 ..Female";"2022 ..Female (Percent)"
"ALL INDUSTRIES";2298;1962;85.4;336;14.6;2293;1885;82.2;408;17.8;3149;2269;72.1;880;27.9;1601;1136;70.9;465;29.1;1200;1005;83.8;194;16.2
"..Agriculture, Forestry and Fishing";163;161;98.8;2;1.2;168;147;87.5;21;12.5;160;133;83.1;27;16.9;50;44;89.7;5;10.3;76;69;89.9;8;10.1
"..Mining and Quarrying";12;12;100.0;0;0.0;25;22;88.0;3;12.0;67;55;82.1;12;17.9;15;15;100.0;0;0.0;17;17;100.0;0;0.0
"..Manufacturing";876;792;90.4;84;9.6;812;731;90.0;81;10.0;1099;906;82.4;193;17.6;620;468;75.5;152;24.5;506;462;91.3;44;8.7
"..Electricity, Gas, Steam and Air Conditioning Supply";174;156;89.7;18;10.3;109;86;78.9;23;21.1;152;94;61.8;57;37.5;90;80;88.7;10;11.3;60;51;85.2;9;14.8
"..Water Supply; Sewerage, Waste Management and Remediation Activities";63;51;81.0;12;19.0;86;56;65.1;30;34.9;73;55;75.3;18;24.7;99;74;74.5;25;25.5;75;60;80.3;15;19.7
"..Construction";22;19;86.4;3;13.6;14;12;85.7;2;14.3;21;18;85.7;2;9.5;4;4;100.0;0;0.0;27;27;100.0;0;0.0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";254;219;86.2;35;13.8;308;228;74.0;80;26.0;548;301;54.9;247;45.1;151;75;49.8;76;50.2;138;79;57.2;59;42.8
"..Transportation and Storage";102;95;93.1;7;6.9;101;88;87.1;13;12.9;102;92;90.2;10;9.8;62;61;97.8;1;2.2;50;50;100.0;0;0.0
"..Accommodation and Food Service Activities";136;88;64.7;48;35.3;190;161;84.7;29;15.3;210;151;71.9;59;28.1;257;129;50.3;128;49.7;42;33;79.4;9;20.6
"..Information and Communication";78;72;92.3;6;7.7;21;19;90.5;2;9.5;38;24;63.2;14;36.8;23;23;100.0;0;0.0;12;11;91.9;1;8.1
"..Financial and Insurance Activities";119;74;62.2;45;37.8;187;154;82.4;33;17.6;369;251;68.0;117;31.7;65;45;68.7;20;31.3;51;45;88.5;6;11.5
"..Real Estate Activities";2;2;100.0;0;0.0;10;10;100.0;0;0.0;21;15;71.4;5;23.8;3;3;100.0;0;0.0;7;6;85.0;1;15.0
"..Professional, Scientific and Technical Activities";46;46;100.0;0;0.0;20;13;65.0;7;35.0;8;5;62.5;3;37.5;16;14;87.5;2;12.5;3;1;32.7;2;67.3
"..Administrative and Support Service Activities";43;43;100.0;0;0.0;11;11;100.0;0;0.0;11;10;90.9;1;9.1;0;0;0.0;0;0.0;2;2;100.0;0;0.0
"..Education Except Public Education";125;64;51.2;61;48.8;143;88;61.5;55;38.5;144;67;46.5;78;54.2;82;48;58.9;34;41.1;70;46;65.4;24;34.6
"..Human Health and Social Work Activities Except Public Health Activities";38;32;84.2;6;15.8;46;34;73.9;12;26.1;96;73;76.0;24;25.0;45;35;78.1;10;21.9;52;37;71.9;14;28.1
"..Arts, Entertainment and Recreation";34;34;100.0;0;0.0;34;18;52.9;16;47.1;29;18;62.1;11;37.9;18;17;91.3;2;8.7;10;8;77.1;2;22.9
"..Other Service Activities Except Activities of Membership Organizations";10;0;0.0;10;100.0;9;9;100.0;0;0.0;1;1;100.0;0;0.0;0;0;0.0;0;0.0;0;0;0.0;0;0.0
