"Number and Percent Share of Union Presidents in Establishments Employing 20 or More Workers by Type of Ownership and Sex, Philippines: June 2014 to June 2016"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__UCB/8251B3GU102.px/table/tableViewLayout1/?rxid=2e73dce7-6537-444e-a85a-4413f7d69373"
"Type of Ownership";"Sex";"2014";"2016"
"Filipino";"Both Sexes";1788;1887
"Filipino";"..Male";1530;1546
"Filipino";"..Male (Percent Share)";85.6;81.9
"Filipino";"..Female";258;341
"Filipino";"..Female (Percent Share)";14.4;18.1
"Foreign";"Both Sexes";196;152
"Foreign";"..Male";133;119
"Foreign";"..Male (Percent Share)";67.9;78.3
"Foreign";"..Female";63;33
"Foreign";"..Female (Percent Share)";32.1;21.7
"Joint Venture";"Both Sexes";132;97
"Joint Venture";"..Male";122;86
"Joint Venture";"..Male (Percent Share)";92.4;88.7
"Joint Venture";"..Female";10;11
"Joint Venture";"..Female (Percent Share)";7.6;11.3
"Multinational";"Both Sexes";181;157
"Multinational";"..Male";175;135
"Multinational";"..Male (Percent Share)";96.7;86.0
"Multinational";"..Female";6;22
"Multinational";"..Female (Percent Share)";3.3;14.0
