"Percent Distribution of Cost of Workers’ Housing Shouldered by Employers in Establishments Employing 20 or More Workers by Industry Group and Sub-Cost Component, Philippines: 2013-2019"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__LCE/2501B3GL040.px/table/tableViewLayout1/?rxid=f1d2d894-c545-48b7-9fb9-f7e54e7069d3"
"Major Industry Group";"Housing Shouldered by Employers";"2013";"2019"
"ALL INDUSTRIES";"Total Amount";3718920;7181563
"ALL INDUSTRIES";"Percent";100.0;100.0
"ALL INDUSTRIES";"..Cost for Establishment Owned Dwellings";56.2;37.2
"ALL INDUSTRIES";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";43.8;62.8
"..Agriculture, Forestry, and Fishing";"Total Amount";413391;15197
"..Agriculture, Forestry, and Fishing";"Percent";100.0;100.0
"..Agriculture, Forestry, and Fishing";"..Cost for Establishment Owned Dwellings";70.3;97.0
"..Agriculture, Forestry, and Fishing";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";29.7;3.0
"..Mining and Quarrying";"Total Amount";94776;54966
"..Mining and Quarrying";"Percent";100.0;100.0
"..Mining and Quarrying";"..Cost for Establishment Owned Dwellings";67.8;8.4
"..Mining and Quarrying";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";32.2;91.6
"..Manufacturing";"Total Amount";513422;672924
"..Manufacturing";"Percent";100.0;100.0
"..Manufacturing";"..Cost for Establishment Owned Dwellings";35.3;55.2
"..Manufacturing";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";64.7;44.8
"..Electricity, Gas, Steam, and Air Conditioning Supply";"Total Amount";125383;158
"..Electricity, Gas, Steam, and Air Conditioning Supply";"Percent";100.0;100.0
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Cost for Establishment Owned Dwellings";40.2;100.0
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";59.8;0.0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Amount";77760;9523
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Percent";100.0;100.0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Cost for Establishment Owned Dwellings";95.8;0.0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";4.2;100.0
"..Construction";"Total Amount";279729;685794
"..Construction";"Percent";100.0;100.0
"..Construction";"..Cost for Establishment Owned Dwellings";93.0;73.9
"..Construction";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";7.0;26.1
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Amount";778440;493246
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Percent";100.0;100.0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Cost for Establishment Owned Dwellings";68.7;66.4
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";31.3;33.6
"..Transportation and Storage";"Total Amount";322945;106696
"..Transportation and Storage";"Percent";100.0;100.0
"..Transportation and Storage";"..Cost for Establishment Owned Dwellings";79.9;24.5
"..Transportation and Storage";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";20.1;75.5
"..Accommodation and Food Service Activities";"Total Amount";283278;823223
"..Accommodation and Food Service Activities";"Percent";100.0;100.0
"..Accommodation and Food Service Activities";"..Cost for Establishment Owned Dwellings";40.5;42.6
"..Accommodation and Food Service Activities";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";59.5;57.4
"..Information and Communications";"Total Amount";148092;294942
"..Information and Communications";"Percent";100.0;100.0
"..Information and Communications";"..Cost for Establishment Owned Dwellings";1.9;3.8
"..Information and Communications";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";98.1;96.2
"..Financial and Insurance Activities";"Total Amount";127582;2290488
"..Financial and Insurance Activities";"Percent";100.0;100.0
"..Financial and Insurance Activities";"..Cost for Establishment Owned Dwellings";24.6;12.0
"..Financial and Insurance Activities";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";75.4;88.0
"..Real Estate Activities";"Total Amount";79372;770
"..Real Estate Activities";"Percent";100.0;100.0
"..Real Estate Activities";"..Cost for Establishment Owned Dwellings";92.5;0.0
"..Real Estate Activities";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";7.5;100.0
"..Professional, Scientific, and Technical Activities";"Total Amount";82324;261409
"..Professional, Scientific, and Technical Activities";"Percent";100.0;100.0
"..Professional, Scientific, and Technical Activities";"..Cost for Establishment Owned Dwellings";6.9;37.5
"..Professional, Scientific, and Technical Activities";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";93.1;62.5
"..Administrative and Support Service Activities";"Total Amount";136458;662446
"..Administrative and Support Service Activities";"Percent";100.0;100.0
"..Administrative and Support Service Activities";"..Cost for Establishment Owned Dwellings";2.8;13.7
"..Administrative and Support Service Activities";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";97.2;86.3
"..Education Except Public Education";"Total Amount";166494;457116
"..Education Except Public Education";"Percent";100.0;100.0
"..Education Except Public Education";"..Cost for Establishment Owned Dwellings";71.9;57.0
"..Education Except Public Education";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";28.1;43.0
"..Human Health and Social Work Activities";"Total Amount";1620;334295
"..Human Health and Social Work Activities";"Percent";100.0;100.0
"..Human Health and Social Work Activities";"..Cost for Establishment Owned Dwellings";58.3;99.2
"..Human Health and Social Work Activities";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";41.7;0.8
"..Arts, Entertainment and Recreation";"Total Amount";65462;6256
"..Arts, Entertainment and Recreation";"Percent";100.0;100.0
"..Arts, Entertainment and Recreation";"..Cost for Establishment Owned Dwellings";37.3;0.0
"..Arts, Entertainment and Recreation";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";62.7;100.0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Amount";22393;12113
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Percent";100.0;100.0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Cost for Establishment Owned Dwellings";0.0;0.0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Cost for Dwellings Not Owned by Establishment and Other Housing Costs";100.0;100.0
