"Percent Distribution of Other Labor Costs in Establishments Employing 20 or More Workers by Industry Group and Sub-Cost Component, Philippines: 2013-2019"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__LCE/3501B3GL060.px/table/tableViewLayout1/?rxid=8995bd81-288c-42a5-8485-a245e4740245"
"Major Industry Group";"Other Labor Costs";"2013";"2019"
"ALL INDUSTRIES";"Total Amount";11093129;8969263
"ALL INDUSTRIES";"Percent";100.0;100.0
"ALL INDUSTRIES";"..Cost of Work Clothes/Protective Gear";20.7;36.7
"ALL INDUSTRIES";"..Transport of Workers to and from Work Undertaken by Employers";49.4;36.6
"ALL INDUSTRIES";"..Recruitment Cost";27.6;26.7
"ALL INDUSTRIES";"..Others";2.3;0.0
"..Agriculture, Forestry, and Fishing";"Total Amount";952824;33990
"..Agriculture, Forestry, and Fishing";"Percent";100.0;100.0
"..Agriculture, Forestry, and Fishing";"..Cost of Work Clothes/Protective Gear";16.5;47.3
"..Agriculture, Forestry, and Fishing";"..Transport of Workers to and from Work Undertaken by Employers";82.9;52.2
"..Agriculture, Forestry, and Fishing";"..Recruitment Cost";0.6;0.5
"..Agriculture, Forestry, and Fishing";"..Others";0.0;0.0
"..Mining and Quarrying";"Total Amount";132072;361463
"..Mining and Quarrying";"Percent";100.0;100.0
"..Mining and Quarrying";"..Cost of Work Clothes/Protective Gear";43.6;10.0
"..Mining and Quarrying";"..Transport of Workers to and from Work Undertaken by Employers";48.1;34.3
"..Mining and Quarrying";"..Recruitment Cost";8.2;55.7
"..Mining and Quarrying";"..Others";0.0;0.0
"..Manufacturing";"Total Amount";2280337;2292539
"..Manufacturing";"Percent";100.0;100.0
"..Manufacturing";"..Cost of Work Clothes/Protective Gear";27.0;27.5
"..Manufacturing";"..Transport of Workers to and from Work Undertaken by Employers";65.2;57.6
"..Manufacturing";"..Recruitment Cost";5.9;14.8
"..Manufacturing";"..Others";1.9;0.0
"..Electricity, Gas, Steam, and Air Conditioning Supply";"Total Amount";296582;319308
"..Electricity, Gas, Steam, and Air Conditioning Supply";"Percent";100.0;100.0
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Cost of Work Clothes/Protective Gear";43.0;31.7
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Transport of Workers to and from Work Undertaken by Employers";29.9;55.7
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Recruitment Cost";11.4;12.6
"..Electricity, Gas, Steam, and Air Conditioning Supply";"..Others";15.7;0.0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Amount";81160;40237
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Percent";100.0;100.0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Cost of Work Clothes/Protective Gear";30.7;43.2
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Transport of Workers to and from Work Undertaken by Employers";46.1;56.7
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Recruitment Cost";0.5;0.1
"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Others";22.7;0.0
"..Construction";"Total Amount";598300;802710
"..Construction";"Percent";100.0;100.0
"..Construction";"..Cost of Work Clothes/Protective Gear";84.3;81.2
"..Construction";"..Transport of Workers to and from Work Undertaken by Employers";14.9;18.2
"..Construction";"..Recruitment Cost";0.8;0.6
"..Construction";"..Others";0.0;0.0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Amount";1037808;821106
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Percent";100.0;100.0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Cost of Work Clothes/Protective Gear";12.2;43.4
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Transport of Workers to and from Work Undertaken by Employers";76.4;34.3
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Recruitment Cost";11.1;22.2
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Others";0.3;0.0
"..Transportation and Storage";"Total Amount";95016;370082
"..Transportation and Storage";"Percent";100.0;100.0
"..Transportation and Storage";"..Cost of Work Clothes/Protective Gear";54.6;81.0
"..Transportation and Storage";"..Transport of Workers to and from Work Undertaken by Employers";40.8;10.3
"..Transportation and Storage";"..Recruitment Cost";4.6;8.6
"..Transportation and Storage";"..Others";0.0;0.0
"..Accommodation and Food Service Activities";"Total Amount";263257;232543
"..Accommodation and Food Service Activities";"Percent";100.0;100.0
"..Accommodation and Food Service Activities";"..Cost of Work Clothes/Protective Gear";21.7;78.1
"..Accommodation and Food Service Activities";"..Transport of Workers to and from Work Undertaken by Employers";23.3;16.0
"..Accommodation and Food Service Activities";"..Recruitment Cost";5.4;5.9
"..Accommodation and Food Service Activities";"..Others";49.7;0.0
"..Information and Communications";"Total Amount";134068;181569
"..Information and Communications";"Percent";100.0;100.0
"..Information and Communications";"..Cost of Work Clothes/Protective Gear";5.5;22.1
"..Information and Communications";"..Transport of Workers to and from Work Undertaken by Employers";36.8;19.1
"..Information and Communications";"..Recruitment Cost";57.7;58.8
"..Information and Communications";"..Others";0.0;0.0
"..Financial and Insurance Activities";"Total Amount";2001653;743749
"..Financial and Insurance Activities";"Percent";100.0;100.0
"..Financial and Insurance Activities";"..Cost of Work Clothes/Protective Gear";8.9;16.4
"..Financial and Insurance Activities";"..Transport of Workers to and from Work Undertaken by Employers";34.0;40.4
"..Financial and Insurance Activities";"..Recruitment Cost";57.1;43.2
"..Financial and Insurance Activities";"..Others";0.0;0.0
"..Real Estate Activities";"Total Amount";41569;44463
"..Real Estate Activities";"Percent";100.0;100.0
"..Real Estate Activities";"..Cost of Work Clothes/Protective Gear";26.9;65.5
"..Real Estate Activities";"..Transport of Workers to and from Work Undertaken by Employers";43.8;19.0
"..Real Estate Activities";"..Recruitment Cost";29.4;15.5
"..Real Estate Activities";"..Others";0.0;0.0
"..Professional, Scientific, and Technical Activities";"Total Amount";318807;272278
"..Professional, Scientific, and Technical Activities";"Percent";100.0;100.0
"..Professional, Scientific, and Technical Activities";"..Cost of Work Clothes/Protective Gear";11.9;26.5
"..Professional, Scientific, and Technical Activities";"..Transport of Workers to and from Work Undertaken by Employers";48.5;40.6
"..Professional, Scientific, and Technical Activities";"..Recruitment Cost";39.7;32.9
"..Professional, Scientific, and Technical Activities";"..Others";0.0;0.0
"..Administrative and Support Service Activities";"Total Amount";2563615;1830255
"..Administrative and Support Service Activities";"Percent";100.0;100.0
"..Administrative and Support Service Activities";"..Cost of Work Clothes/Protective Gear";7.4;15.2
"..Administrative and Support Service Activities";"..Transport of Workers to and from Work Undertaken by Employers";39.5;28.9
"..Administrative and Support Service Activities";"..Recruitment Cost";53.1;55.9
"..Administrative and Support Service Activities";"..Others";0.0;0.0
"..Education Except Public Education";"Total Amount";186895;159651
"..Education Except Public Education";"Percent";100.0;100.0
"..Education Except Public Education";"..Cost of Work Clothes/Protective Gear";55.5;60.9
"..Education Except Public Education";"..Transport of Workers to and from Work Undertaken by Employers";33.1;25.1
"..Education Except Public Education";"..Recruitment Cost";7.3;13.9
"..Education Except Public Education";"..Others";4.1;0.0
"..Human Health and Social Work Activities";"Total Amount";31730;379109
"..Human Health and Social Work Activities";"Percent";100.0;100.0
"..Human Health and Social Work Activities";"..Cost of Work Clothes/Protective Gear";66.2;88.3
"..Human Health and Social Work Activities";"..Transport of Workers to and from Work Undertaken by Employers";24.2;8.9
"..Human Health and Social Work Activities";"..Recruitment Cost";9.6;2.8
"..Human Health and Social Work Activities";"..Others";0.0;0.0
"..Arts, Entertainment and Recreation";"Total Amount";38163;74150
"..Arts, Entertainment and Recreation";"Percent";100.0;100.0
"..Arts, Entertainment and Recreation";"..Cost of Work Clothes/Protective Gear";51.4;19.4
"..Arts, Entertainment and Recreation";"..Transport of Workers to and from Work Undertaken by Employers";33.1;77.6
"..Arts, Entertainment and Recreation";"..Recruitment Cost";3.5;3.0
"..Arts, Entertainment and Recreation";"..Others";11.9;0.0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Amount";39271;10061
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Percent";100.0;100.0
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Cost of Work Clothes/Protective Gear";21.2;65.9
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Transport of Workers to and from Work Undertaken by Employers";73.2;32.2
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Recruitment Cost";3.6;1.9
"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Others";2.0;0.0
