"Percent Share of Low-paid Wage and Salary Workers to the Total Wage and Salary Workers by Sex, Branch of economic Activity and Category of Employees"

"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Percent share of low-paid wage and salary workers to the total wage and salary workers";"TOTAL";..;..;..;..;..;..;28.5;29.3;29.7;28.4;25.3;24.9;26.4;28.0;27.9;26.6;25.9;25.3;24.9;21.9;20.0;22.3;22.0;19.3
"Percent share of low-paid wage and salary workers to the total wage and salary workers";"..Men";..;..;..;..;..;..;24.8;25.9;26.2;24.8;20.5;19.8;21.3;23.5;23.1;21.9;21.2;20.5;20.3;16.9;15.1;18.2;18.3;15.4
"Percent share of low-paid wage and salary workers to the total wage and salary workers";"..Women";..;..;..;..;..;..;34.5;34.6;35.3;34.6;33.1;33.3;34.7;35.3;35.8;34.3;33.6;33.2;32.6;30.2;28.0;29.4;28.6;26.2
"Percent share of low-paid wage and salary workers to the total wage and salary workers";"..Agriculture";..;..;..;..;..;..;58.7;59.7;61.4;56.7;51.4;47.8;51.8;55.0;53.1;50.6;50.0;46.2;45.7;37.5;33.9;43.1;44.1;37.9
"Percent share of low-paid wage and salary workers to the total wage and salary workers";"..Industry";..;..;..;..;..;..;13.3;15.6;15.8;14.9;12.6;12.3;13.3;15.6;15.7;14.7;13.7;13.4;13.0;11.8;9.7;12.0;12.6;9.9
"Percent share of low-paid wage and salary workers to the total wage and salary workers";"..Services";..;..;..;..;..;..;26.0;26.2;26.1;25.4;23.2;23.4;24.3;24.8;25.3;24.5;23.3;23.6;23.5;21.8;20.6;21.8;21.6;19.6
"Percent share of low-paid wage and salary workers to the total wage and salary workers";"..Private Household";..;..;..;..;..;..;63.7;65.0;68.0;71.8;73.9;73.2;73.1;74.8;75.5;73.8;71.6;71.0;69.9;69.4;66.8;66.7;64.5;61.7
"Percent share of low-paid wage and salary workers to the total wage and salary workers";"..Private Establishment";..;..;..;..;..;..;27.4;28.6;29.0;27.5;23.4;22.5;23.9;26.1;25.7;24.2;23.8;23.0;22.6;19.3;17.2;20.0;19.9;16.9
"Percent share of low-paid wage and salary workers to the total wage and salary workers";"..Worked for Government/Government Corporation";..;..;..;..;..;..;9.0;7.6;7.4;8.0;4.9;4.9;6.3;7.0;7.2;7.7;6.4;6.8;8.0;6.3;6.2;7.6;9.6;9.5
"Percent share of low-paid wage and salary workers to the total wage and salary workers";"..With Pay in Own Family-Operated Farm or Business";..;..;..;..;..;..;33.3;35.8;33.1;35.7;28.9;32.0;35.9;36.8;34.5;37.8;37.5;33.1;41.7;36.7;30.4;43.9;42.0;33.3
