"Percent Share of Low-paid Wage and Salary Workers to the Total Employed  Workers by Sex and Branch of Economic Activity"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E3/0303K3E3020.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Percent share of low-paid wage and salary workers to the total employed workers";"TOTAL";..;..;..;..;..;..;14.1;14.3;14.9;14.8;12.8;12.7;13.8;14.6;14.9;14.5;14.3;14.4;14.5;12.7;11.9;13.8;13.8;12.3
"Percent share of low-paid wage and salary workers to the total employed workers";"..Men";..;..;..;..;..;..;12.4;12.8;13.3;13.1;10.4;10.2;11.2;12.4;12.5;12.1;12.0;12.1;12.2;10.1;9.2;11.6;11.8;10.2
"Percent share of low-paid wage and salary workers to the total employed workers";"..Women";..;..;..;..;..;..;16.8;16.6;17.4;17.6;16.5;16.8;17.8;18.1;18.6;18.2;17.9;18.1;18.2;16.7;15.9;17.1;17.0;15.8
"Percent share of low-paid wage and salary workers to the total employed workers";"..Agriculture";..;..;..;..;..;..;13.8;13.6;14.6;14.6;12.0;11.7;13.1;14.2;14.1;13.9;14.7;14.5;14.7;11.2;10.4;13.9;13.5;12.7
"Percent share of low-paid wage and salary workers to the total employed workers";"..Industry";..;..;..;..;..;..;10.5;12.2;12.5;12.1;10.1;9.9;10.8;12.7;12.7;12.1;11.3;11.2;11.1;10.2;8.4;10.7;11.5;9.0
"Percent share of low-paid wage and salary workers to the total employed workers";"..Services";..;..;..;..;..;..;15.6;15.5;15.9;15.8;14.2;14.4;15.1;15.5;16.0;15.6;14.9;15.4;15.4;14.3;13.7;14.7;14.6;13.3
"Total low-paid wage and salary workers (000)";"TOTAL";..;..;..;..;..;..;4112;4291;4553;4679;4123;4153;4624;4989;5221;5226;5313;5433;5542;4914;4597;5641;5552;5068
"Total low-paid wage and salary workers (000)";"..Men";..;..;..;..;..;..;2230;2341;2506;2569;2079;2038;2304;2607;2677;2660;2698;2756;2819;2362;2156;2916;2955;2584
"Total low-paid wage and salary workers (000)";"..Women";..;..;..;..;..;..;1883;1947;2047;2110;2045;2117;2320;2382;2544;2566;2616;2677;2723;2551;2442;2725;2597;2484
"Total low-paid wage and salary workers (000)";"..Agriculture";..;..;..;..;..;..;1492;1509;1635;1664;1398;1361;1549;1709;1700;1664;1807;1755;1743;1325;1170;1538;1389;1273
"Total low-paid wage and salary workers (000)";"..Industry";..;..;..;..;..;..;494;575;606;603;506;493;555;642;647;654;624;643;661;627;530;763;844;704
"Total low-paid wage and salary workers (000)";"..Services";..;..;..;..;..;..;2125;2208;2311;2413;2219;2299;2518;2637;2875;2910;2883;3036;3139;2963;2897;3339;3319;3091
"Total employed workers (000)";"TOTAL";25677;27186;26365;26631;27742;27452;29156;30062;30635;31613;32313;32636;33560;34089;35061;36035;37192;37600;38118;38651;38741;40998;40334;41157
"Total employed workers (000)";"..Men";16322;17170;16610;16714;17253;17193;17923;18306;18873;19646;19910;20013;20542;20959;21404;21921;22573;22849;23150;23365;23406;25035;25067;25424
"Total employed workers (000)";"..Women";9354;10016;9754;9917;10489;10259;11232;11756;11762;11968;12403;12622;13018;13129;13657;14114;14619;14751;14968;15286;15335;15963;15267;15732
"Total employed workers (000)";"..Agriculture";11147;11645;10416;10091;10774;10181;10850;11122;11220;11381;11628;11682;11786;12030;12044;11956;12267;12093;11835;11801;11294;11064;10261;9998
"Total employed workers (000)";"..Industry";4140;4431;4582;4542;4515;4454;4713;4695;4840;4999;5025;4997;5121;5048;5092;5399;5530;5743;5937;6167;6275;7159;7370;7846
"Total employed workers (000)";"..Services";10391;11112;11367;11998;12452;12817;13593;14246;14577;15237;15661;15957;16654;17012;17924;18682;19394;19764;20345;20683;21172;22775;22703;23312
