"Number and Percent Share of Establishments Employing 20 or More Workers With CBA to Total Establishments With Union by Type of Ownership, Philippines: June 2014 to June 2016"

"Type of Ownership";"Indicator";"2014";"2016"
"Filipino";"Establishments With Union";1599;1748
"Filipino";"Establishments With CBA";1498;1693
"Filipino";"Percent Share";93.7;96.9
"Foreign";"Establishments With Union";183;131
"Foreign";"Establishments With CBA";182;129
"Foreign";"Percent Share";99.5;98.5
"Joint Venture";"Establishments With Union";121;83
"Joint Venture";"Establishments With CBA";118;81
"Joint Venture";"Percent Share";97.5;97.6
"Multinational";"Establishments With Union";156;137
"Multinational";"Establishments With CBA";148;136
"Multinational";"Percent Share";94.9;99.3
