"Number and Percent Share of CBA Coverage to Unionized Workers in Establishments Employing 20 or More Workers by Type of Ownership, Philippines: June 2014 to June 2016"
https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__UCB/6751B3GU082.px/table/tableViewLayout1/?rxid=2e73dce7-6537-444e-a85a-4413f7d69373
"Type of Ownership";"Indicator";"2014";"2016"
"Filipino";"Unionized Workers";258869;213171
"Filipino";"CBA Coverage";271889;237129
"Filipino";"Percent Share";105.0;111.2
"Foreign";"Unionized Workers";31148;24837
"Foreign";"CBA Coverage";33912;25908
"Foreign";"Percent Share";108.9;104.3
"Joint Venture";"Unionized Workers";27530;22354
"Joint Venture";"CBA Coverage";27989;24771
"Joint Venture";"Percent Share";101.7;110.8
"Multinational";"Unionized Workers";22823;22719
"Multinational";"CBA Coverage";25956;25459
"Multinational";"Percent Share";113.7;112.1
