"Percent Share of Children not in School to Total Household Children Population by Sex and Age Group"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E1/0163K3F1160.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Sex";"Age Group";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Share of Children not in School to the Total Household Population of Children (%)";"TOTAL";"TOTAL";..;..;..;..;..;..;..;..;..;..;..;17.9;17.4;16.0;15.1;14.4;12.6;11.8;10.8;9.1;8.8;8.4;7.9;7.2
"Share of Children not in School to the Total Household Population of Children (%)";"TOTAL";"..5-9 Years Old";..;..;..;..;..;..;..;..;..;..;..;19.8;18.3;17.0;15.4;13.9;11.1;8.4;7.4;5.8;5.9;6.2;6.5;6.3
"Share of Children not in School to the Total Household Population of Children (%)";"TOTAL";"..10-14";..;..;..;..;..;..;..;..;..;..;..;8.3;8.2;6.8;6.7;6.5;5.4;5.7;5.1;4.0;4.0;4.0;4.4;4.2
"Share of Children not in School to the Total Household Population of Children (%)";"TOTAL";"..15-17";..;..;..;..;..;..;..;..;..;..;..;31.4;31.9;30.2;29.5;29.4;28.3;28.7;26.9;24.4;22.9;19.7;16.2;13.9
"Share of Children not in School to the Total Household Population of Children (%)";"Boys";"TOTAL";..;..;..;..;..;..;..;..;..;..;..;19.8;19.3;17.8;16.9;16.2;14.4;13.6;12.5;10.6;10.3;9.9;9.5;8.5
"Share of Children not in School to the Total Household Population of Children (%)";"Boys";"..5-9 Years Old";..;..;..;..;..;..;..;..;..;..;..;20.7;19.4;18.0;16.6;15.1;12.1;9.1;8.0;6.3;6.3;6.9;7.0;6.7
"Share of Children not in School to the Total Household Population of Children (%)";"Boys";"..10-14";..;..;..;..;..;..;..;..;..;..;..;9.9;9.8;8.4;8.2;8.0;7.0;7.4;6.4;5.1;5.1;4.9;5.4;5.1
"Share of Children not in School to the Total Household Population of Children (%)";"Boys";"..15-17";..;..;..;..;..;..;..;..;..;..;..;35.6;35.9;34.1;33.0;33.1;32.2;32.4;31.0;28.2;26.7;23.2;20.5;17.5
"Share of Children not in School to the Total Household Population of Children (%)";"Girls";"TOTAL";..;..;..;..;..;..;..;..;..;..;..;15.9;15.5;14.0;13.3;12.4;10.7;10.0;9.1;7.6;7.3;6.9;6.2;5.8
"Share of Children not in School to the Total Household Population of Children (%)";"Girls";"..5-9 Years Old";..;..;..;..;..;..;..;..;..;..;..;18.8;17.2;15.9;14.2;12.6;10.0;7.7;6.7;5.2;5.5;5.6;6.0;5.9
"Share of Children not in School to the Total Household Population of Children (%)";"Girls";"..10-14";..;..;..;..;..;..;..;..;..;..;..;6.8;6.5;5.1;5.1;4.8;3.7;3.9;3.7;2.7;2.8;3.0;3.3;3.1
"Share of Children not in School to the Total Household Population of Children (%)";"Girls";"..15-17";..;..;..;..;..;..;..;..;..;..;..;27.1;28.0;26.2;26.1;25.6;24.4;24.8;22.7;20.6;18.9;15.9;11.5;10.1
"Total Children not in School (000)";"TOTAL";"TOTAL";..;..;..;..;..;..;..;..;..;..;..;4913;4871;4542;4344;4153;3660;3500;3249;2742;2707;2451;2315;2164
"Total Children not in School (000)";"TOTAL";"..5-9 Years Old";..;..;..;..;..;..;..;..;..;..;..;2074;1939;1804;1646;1477;1175;909;812;643;669;698;745;732
"Total Children not in School (000)";"TOTAL";"..10-14";..;..;..;..;..;..;..;..;..;..;..;898;904;769;771;763;649;688;628;491;494;449;493;487
"Total Children not in School (000)";"TOTAL";"..15-17";..;..;..;..;..;..;..;..;..;..;..;1941;2028;1969;1927;1913;1836;1904;1809;1608;1545;1305;1077;944
"Total Children not in School (000)";"Boys";"TOTAL";..;..;..;..;..;..;..;..;..;..;..;2763;2740;2581;2463;2385;2135;2048;1910;1616;1604;1471;1432;1321
"Total Children not in School (000)";"Boys";"..5-9 Years Old";..;..;..;..;..;..;..;..;..;..;..;1114;1046;980;905;820;654;499;453;360;366;395;410;398
"Total Children not in School (000)";"Boys";"..10-14";..;..;..;..;..;..;..;..;..;..;..;539;554;484;483;484;430;455;404;323;324;280;313;308
"Total Children not in School (000)";"Boys";"..15-17";..;..;..;..;..;..;..;..;..;..;..;1110;1140;1117;1075;1081;1051;1093;1053;933;914;796;709;614
"Total Children not in School (000)";"Girls";"TOTAL";..;..;..;..;..;..;..;..;..;..;..;2150;2132;1960;1881;1766;1526;1453;1339;1125;1103;980;882;843
"Total Children not in School (000)";"Girls";"..5-9 Years Old";..;..;..;..;..;..;..;..;..;..;..;960;893;823;742;657;522;410;359;283;303;303;335;334
"Total Children not in School (000)";"Girls";"..10-14";..;..;..;..;..;..;..;..;..;..;..;359;351;285;287;278;219;232;224;167;170;168;179;179
"Total Children not in School (000)";"Girls";"..15-17";..;..;..;..;..;..;..;..;..;..;..;831;888;852;852;831;785;811;756;675;631;509;368;330
"Total Household Population of Children (000)";"TOTAL";"TOTAL";21300;21877;23195;23659;24194;24991;25349;25696;25493;24906;25564;27449;28013;28459;28701;28934;29118;29541;30078;30059;30593;29102;29398;30119
"Total Household Population of Children (000)";"TOTAL";"..5-9 Years Old";8485;8592;9502;9679;9832;9852;9833;9853;9716;9602;9784;10491;10584;10608;10671;10633;10623;10784;11022;11108;11331;11182;11448;11597
"Total Household Population of Children (000)";"TOTAL";"..10-14";7702;8021;8736;8971;9330;9919;10271;10433;10221;9710;9977;10767;11072;11328;11502;11798;12011;12115;12325;12371;12502;11293;11289;11726
"Total Household Population of Children (000)";"TOTAL";"..15-17";5113;5264;4958;5009;5032;5220;5245;5410;5556;5594;5803;6191;6357;6523;6528;6503;6484;6642;6732;6579;6760;6627;6661;6796
"Total Household Population of Children (000)";"Boys";"TOTAL";10943;11233;11866;12130;12498;12954;13149;13204;13052;12691;13061;13954;14220;14464;14598;14734;14822;15040;15300;15274;15545;14933;15153;15485
"Total Household Population of Children (000)";"Boys";"..5-9 Years Old";4359;4406;4868;4972;5123;5123;5093;5044;4943;4915;5049;5372;5400;5435;5447;5433;5421;5482;5630;5676;5777;5739;5883;5954
"Total Household Population of Children (000)";"Boys";"..10-14";3939;4064;4439;4601;4765;5101;5305;5332;5222;4951;5067;5460;5641;5757;5889;6039;6132;6189;6268;6293;6342;5764;5808;6014
"Total Household Population of Children (000)";"Boys";"..15-17";2645;2763;2559;2558;2610;2730;2751;2828;2887;2825;2945;3122;3179;3272;3262;3262;3268;3369;3402;3305;3425;3431;3462;3517
"Total Household Population of Children (000)";"Girls";"TOTAL";10357;10643;11329;11529;11696;12037;12200;12491;12441;12215;12503;13494;13792;13996;14101;14200;14297;14500;14778;14785;15048;14169;14244;14634
"Total Household Population of Children (000)";"Girls";"..5-9 Years Old";4126;4185;4634;4708;4709;4729;4740;4808;4773;4688;4736;5118;5184;5174;5223;5200;5202;5301;5392;5432;5554;5443;5566;5643
"Total Household Population of Children (000)";"Girls";"..10-14";3763;3957;4297;4371;4566;4818;4966;5101;4999;4758;4910;5307;5431;5571;5613;5759;5878;5926;6056;6078;6159;5530;5480;5712
"Total Household Population of Children (000)";"Girls";"..15-17";2468;2501;2398;2451;2421;2490;2494;2582;2669;2769;2858;3069;3177;3251;3265;3241;3216;3273;3330;3274;3335;3196;3199;3279
