"Number and Percent Share of Union Officers in Establishments Employing 20 or More Workers by Type of Ownership and Sex, Philippines: June 2014 to June 2016"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__UCB/7501B3GU092.px/table/tableViewLayout1/?rxid=dec5a32e-1c65-484f-8eda-41f9dcb6befc"
"Type of Ownership";"Sex";"2014";"2016"
"Filipino";"Both Sexes";17757;18809
"Filipino";"..Male";13717;14644
"Filipino";"..Male (Percent Share)";77.2;77.9
"Filipino";"..Female";4040;4165
"Filipino";"..Female (Percent Share)";22.8;22.1
"Foreign";"Both Sexes";2284;1802
"Foreign";"..Male";1764;1449
"Foreign";"..Male (Percent Share)";77.2;80.4
"Foreign";"..Female";520;353
"Foreign";"..Female (Percent Share)";22.8;19.6
"Joint Venture";"Both Sexes";3225;985
"Joint Venture";"..Male";2986;828
"Joint Venture";"..Male (Percent Share)";92.6;84.1
"Joint Venture";"..Female";239;157
"Joint Venture";"..Female (Percent Share)";7.4;15.9
"Multinational";"Both Sexes";1762;1539
"Multinational";"..Male";1395;1269
"Multinational";"..Male (Percent Share)";79.2;82.5
"Multinational";"..Female";367;270
"Multinational";"..Female (Percent Share)";20.8;17.5
