"Percent Share of Employees in Precarious Work to Total Employed by Sex and Branch of Economic Activity (Household survey data)"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E7/0593K3F7010.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Share of employees in precarious work to the total employed (%)";"TOTAL";13.9;13.1;14.0;13.7;13.3;14.4;14.1;13.6;14.5;14.6;13.2;14.1;14.7;13.7;13.4;14.6;15.0;17.4;18.8;17.4;18.2;18.9;17.8;18.3
"Share of employees in precarious work to the total employed (%)";"..Men";15.0;14.2;15.1;15.0;14.4;15.7;15.4;14.9;15.8;15.8;14.1;15.1;15.7;14.6;14.4;15.8;16.1;19.1;20.7;19.2;20.2;21.0;19.5;20.1
"Share of employees in precarious work to the total employed (%)";"..Women";12.0;11.4;12.1;11.6;11.4;12.2;12.1;11.6;12.4;12.8;11.7;12.6;13.2;12.2;11.7;12.8;13.2;14.7;15.8;14.7;15.1;15.6;15.1;15.4
"Share of employees in precarious work to the total employed (%)";"..Agriculture";12.0;11.5;11.8;12.0;12.9;13.2;13.1;12.5;13.4;13.1;10.6;11.5;12.0;11.5;11.3;12.7;13.8;16.5;18.0;16.7;17.6;17.6;13.4;16.1
"Share of employees in precarious work to the total employed (%)";"..Industry";24.0;23.0;24.2;23.6;22.1;25.2;24.6;24.3;25.4;25.8;25.2;26.7;26.9;24.9;24.4;26.5;25.6;30.0;32.6;30.4;32.3;33.1;35.4;33.3
"Share of employees in precarious work to the total employed (%)";"..Services";12.0;10.9;11.8;11.4;10.5;11.5;11.3;10.9;11.7;12.2;11.3;12.1;12.8;11.9;11.6;12.4;12.7;14.2;15.2;13.9;14.3;15.1;14.1;14.3
"Total employees in precarious work (000)";"TOTAL";3574;3569;3678;3650;3689;3940;4114;4085;4440;4631;4267;4606;4931;4660;4682;5276;5564;6538;7154;6718;7040;7757;7194;7539
"Total employees in precarious work (000)";"..Men";2450;2431;2502;2502;2492;2693;2759;2726;2983;3102;2811;3019;3219;3062;3088;3474;3640;4366;4793;4479;4726;5262;4884;5120
"Total employees in precarious work (000)";"..Women";1124;1138;1176;1148;1198;1247;1355;1360;1457;1529;1455;1587;1712;1597;1594;1802;1925;2173;2361;2240;2314;2495;2310;2419
"Total employees in precarious work (000)";"..Agriculture";1333;1340;1231;1211;1388;1341;1423;1392;1499;1486;1233;1348;1418;1385;1358;1522;1693;2001;2131;1973;1990;1946;1379;1605
"Total employees in precarious work (000)";"..Industry";993;1018;1107;1071;996;1124;1158;1139;1231;1290;1265;1335;1379;1257;1242;1432;1417;1723;1935;1872;2025;2371;2609;2611
"Total employees in precarious work (000)";"..Services";1248;1212;1338;1369;1306;1474;1532;1555;1709;1855;1769;1923;2134;2018;2083;2322;2454;2815;3088;2873;3025;3440;3206;3322
"Total employed (000)";"TOTAL";25677;27186;26365;26631;27742;27452;29156;30062;30635;31613;32313;32636;33560;34089;35061;36035;37192;37600;38118;38651;38741;40998;40334;41157
"Total employed (000)";"..Men";16322;17170;16610;16714;17253;17193;17923;18306;18873;19646;19910;20013;20542;20959;21404;21921;22573;22849;23150;23365;23406;25035;25067;25424
"Total employed (000)";"..Women";9354;10016;9754;9917;10489;10259;11232;11756;11762;11968;12403;12622;13018;13129;13657;14114;14619;14751;14968;15286;15335;15963;15267;15732
"Total employed (000)";"..Agriculture";11147;11645;10416;10091;10774;10181;10850;11122;11220;11381;11628;11682;11786;12030;12044;11956;12267;12093;11835;11801;11294;11064;10261;9998
"Total employed (000)";"..Industry";4140;4431;4582;4542;4515;4454;4713;4695;4840;4999;5025;4997;5121;5048;5092;5399;5530;5743;5937;6167;6275;7159;7370;7846
"Total employed (000)";"..Services";10391;11112;11367;11998;12452;12817;13593;14246;14577;15237;15661;15957;16654;17012;17924;18682;19394;19764;20345;20683;21172;22775;22703;23312
