"Percent Share of Employees in Precarious Work to Total Wage and Salary Workers by Sex,  Branch of Economic Activity and  Category of Employees  (Household survey data)"

"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Share of wage and salary workers in precarious work to the total wage and salary workers (%)";"TOTAL";30.1;28.2;28.2;27.5;26.8;28.3;28.5;27.9;28.9;28.1;26.2;27.6;28.2;26.1;25.1;26.9;27.1;30.4;32.2;30.0;30.7;30.7;28.5;28.7
"Share of wage and salary workers in precarious work to the total wage and salary workers (%)";"..Men";32.1;30.0;30.1;29.6;28.8;30.9;30.7;30.2;31.2;29.9;27.7;29.3;29.7;27.6;26.7;28.6;28.5;32.5;34.5;32.1;33.2;32.9;30.3;30.5
"Share of wage and salary workers in precarious work to the total wage and salary workers (%)";"..Women";26.5;25.0;24.9;23.7;23.4;23.9;24.8;24.2;25.1;25.0;23.5;25.0;25.6;23.6;22.5;24.1;24.7;27.0;28.3;26.5;26.5;27.0;25.4;25.5
"Share of wage and salary workers in precarious work to the total wage and salary workers (%)";"..Agriculture";56.6;56.5;55.2;54.5;55.7;54.0;56.0;55.1;56.3;50.7;45.4;47.3;47.4;44.6;42.4;46.3;46.8;52.7;55.9;55.8;57.7;54.5;43.7;47.8
"Share of wage and salary workers in precarious work to the total wage and salary workers (%)";"..Industry";31.1;29.1;29.9;29.5;27.7;31.9;31.2;30.8;32.0;32.0;31.4;33.2;33.1;30.6;30.1;32.3;31.2;35.8;38.2;35.3;37.1;37.3;39.0;36.8
"Share of wage and salary workers in precarious work to the total wage and salary workers (%)";"..Services";19.7;17.9;18.8;18.4;17.0;18.6;18.7;18.4;19.3;19.5;18.5;19.6;20.6;19.0;18.3;19.5;19.8;21.8;23.1;21.2;21.5;22.5;20.9;21.0
"Share of wage and salary workers in precarious work to the total wage and salary workers (%)";"..Private Household";39.3;34.6;34.8;36.5;29.7;31.4;29.9;28.0;29.1;24.0;23.7;25.8;27.3;24.8;23.7;25.6;25.5;28.0;30.4;28.2;27.9;29.4;30.2;30.2
"Share of wage and salary workers in precarious work to the total wage and salary workers (%)";"..Private Establishment";33.5;31.4;31.1;30.0;30.4;32.0;32.5;31.8;32.5;31.6;29.4;31.0;31.4;29.0;28.0;30.0;30.0;33.8;35.5;33.2;34.0;33.8;31.0;31.1
"Share of wage and salary workers in precarious work to the total wage and salary workers (%)";"..Worked for Government/Government Corporation";11.0;10.3;10.3;9.8;9.0;10.3;10.1;10.7;12.0;12.7;11.7;12.0;12.8;12.9;12.0;12.8;13.4;13.9;14.8;13.2;14.2;13.8;13.5;14.3
"Share of wage and salary workers in precarious work to the total wage and salary workers (%)";"..With Pay in Own Family-Operated Farm or Business";23.4;26.1;27.9;21.0;19.0;26.0;24.6;21.7;25.9;24.0;21.9;27.2;25.5;18.9;14.5;20.7;21.4;24.8;25.2;21.7;25.9;16.7;23.5;26.2
"Total Wage and Salary Workers in precarious work (000)";"TOTAL";3574;3569;3678;3650;3689;3940;4114;4085;4440;4631;4267;4606;4931;4660;4682;5276;5564;6538;7154;6718;7040;7757;7194;7539
"Total Wage and Salary Workers in precarious work (000)";"..Men";2450;2431;2502;2502;2492;2693;2759;2726;2983;3102;2811;3019;3219;3062;3088;3474;3640;4366;4793;4479;4726;5262;4884;5120
"Total Wage and Salary Workers in precarious work (000)";"..Women";1124;1138;1176;1148;1198;1247;1355;1360;1457;1529;1455;1587;1712;1597;1594;1802;1925;2173;2361;2240;2314;2495;2310;2419
"Total Wage and Salary Workers in precarious work (000)";"..Agriculture";1333;1340;1231;1211;1388;1341;1423;1392;1499;1486;1233;1348;1418;1385;1358;1522;1693;2001;2131;1973;1990;1946;1379;1605
