"Number and Percent Share of Unionized Workers and CBA Coverage to Total Paid Employees in Establishments Employing 20 or More Workers by Type of Ownership, Philippines: June 2014 to June 2016"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__UCB/3751B3GU042.px/table/tableViewLayout1/?rxid=2e73dce7-6537-444e-a85a-4413f7d69373"
"Type of Ownership";"Indicator";"2014";"2016"
"Filipino";"Total Paid Employees";3199166;3032342
"Filipino";"Unionized Workers";258869;213171
"Filipino";"Unionized Workers (Percent Share)";8.1;7.0
"Filipino";"CBA Coverage";271889;237129
"Filipino";"CBA Coverage (Percent Share)";8.5;7.8
"Foreign";"Total Paid Employees";657747;763198
"Foreign";"Unionized Workers";31148;24837
"Foreign";"Unionized Workers (Percent Share)";4.7;3.3
"Foreign";"CBA Coverage";33912;25908
"Foreign";"CBA Coverage (Percent Share)";5.2;3.4
"Joint Venture";"Total Paid Employees";235757;258114
"Joint Venture";"Unionized Workers";27530;22354
"Joint Venture";"Unionized Workers (Percent Share)";11.7;8.7
"Joint Venture";"CBA Coverage";27989;24771
"Joint Venture";"CBA Coverage (Percent Share)";11.9;9.6
"Multinational";"Total Paid Employees";344036;311197
"Multinational";"Unionized Workers";22823;22719
"Multinational";"Unionized Workers (Percent Share)";6.6;7.3
"Multinational";"CBA Coverage";25956;25459
"Multinational";"CBA Coverage (Percent Share)";7.5;8.2
