"Percent Distribution of Employer’s Social Security Expenditures in Establishments Employing 20 or More Workers by Industry Group and Sub-Cost Component, Philippines: 2013-2019"

"Major Industry Group";"Social Security Expenditures";"2013";"2019"
"ALL INDUSTRIES";"Total Amount";92434561;176273084
"ALL INDUSTRIES";"Percent";100.0;100.0
"ALL INDUSTRIES";"..Compulsory Social Security Expenditures";63.2;70.7
"ALL INDUSTRIES";"..Collectively Agreed, Contractual and Non Obligatory Contributions to Private Social Security Schemes and Insurance";10.0;7.5
"ALL INDUSTRIES";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";1.7;1.6
"ALL INDUSTRIES";"..Cost of Medical Care and Health Services";7.6;8.2
"ALL INDUSTRIES";"..Retirement and Termination/ Separation Pay";17.6;12.0
"..Agriculture, Forestry, and Fishing";"Total Amount";2908013;3982521
"..Agriculture, Forestry, and Fishing";"Percent";100.0;100.0
"..Agriculture, Forestry, and Fishing";"..Compulsory Social Security Expenditures";60.5;44.4
"..Agriculture, Forestry, and Fishing";"..Collectively Agreed, Contractual and Non Obligatory Contributions to Private Social Security Schemes and Insurance";6.9;3.2
"..Agriculture, Forestry, and Fishing";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";0.6;0.1
"..Agriculture, Forestry, and Fishing";"..Cost of Medical Care and Health Services";10.3;2.5
"..Agriculture, Forestry, and Fishing";"..Retirement and Termination/ Separation Pay";21.8;49.9
"..Mining and Quarrying";"Total Amount";930915;1547918
"..Mining and Quarrying";"Percent";100.0;100.0
"..Mining and Quarrying";"..Compulsory Social Security Expenditures";41.1;49.4
"..Mining and Quarrying";"..Collectively Agreed, Contractual and Non Obligatory Contributions to Private Social Security Schemes and Insurance";2.6;11.1
"..Mining and Quarrying";"..Direct Payments by Employer to Employees Regarded as Social Security Benefits";5.8;1.1
"..Mining and Quarrying";"..Cost of Medical Care and Health Services";27.8;18.2
"..Mining and Quarrying";"..Retirement and Termination/ Separation Pay";22.7;20.1
"..Manufacturing";"Total Amount";17475201;25903466
"..Manufacturing";"Percent";100.0;100.0
