"Total Population, Household Population, and Number of Households by Region and Province/Highly Urbanized City: Philippines, 2020"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__PO/0011A6DPHH0.px/table/tableViewLayout1/?rxid=4bef55ae-6979-4e42-b91c-a09cdad01a99"
"Geographic Location;""Parameter"";Total Population", Household Population, and Number of Households: Philippines,2020
"PHILIPPINES /a;""Total Population"";109033245",,,
"PHILIPPINES /a;""Household Population"";108667043",,,
"PHILIPPINES /a;""Number of Households"";26393906",,,
"..NATIONAL CAPITAL REGION (NCR);""Total Population"";13484462",,,
"..NATIONAL CAPITAL REGION (NCR);""Household Population"";13403551",,,
"..NATIONAL CAPITAL REGION (NCR);""Number of Households"";3499652",,,
"....City of Manila;""Total Population"";1846513",,,
"....City of Manila;""Household Population"";1837785",,,
"....City of Manila;""Number of Households"";486293",,,
"....City of Mandaluyong;""Total Population"";425758",,,
"....City of Mandaluyong;""Household Population"";419333",,,
"....City of Mandaluyong;""Number of Households"";116954",,,
"....City of Marikina;""Total Population"";456059",,,
"....City of Marikina;""Household Population"";452961",,,
"....City of Marikina;""Number of Households"";104415",,,
"....City of Pasig;""Total Population"";803159",,,
"....City of Pasig;""Household Population"";801439",,,
"....City of Pasig;""Number of Households"";212895",,,
"....Quezon City;""Total Population"";2960048",,,
"....Quezon City;""Household Population"";2950493",,,
"....Quezon City;""Number of Households"";738724",,,
"....City of San Juan;""Total Population"";126347",,,
"....City of San Juan;""Household Population"";124699",,,
"....City of San Juan;""Number of Households"";31519",,,
"....City of Caloocan;""Total Population"";1661584",,,
"....City of Caloocan;""Household Population"";1659025",,,
"....City of Caloocan;""Number of Households"";404252",,,
"....City of Malabon;""Total Population"";380522",,,
"....City of Malabon;""Household Population"";379463",,,
"....City of Malabon;""Number of Households"";94241",,,
"....City of Navotas;""Total Population"";247543",,,
"....City of Navotas;""Household Population"";246743",,,
"....City of Navotas;""Number of Households"";63167",,,
"....City of Valenzuela;""Total Population"";714978",,,
"....City of Valenzuela;""Household Population"";713181",,,
"....City of Valenzuela;""Number of Households"";193025",,,
"....City of Las Pi�as;""Total Population"";606293",,,
"....City of Las Pi�as;""Household Population"";604283",,,
"....City of Las Pi�as;""Number of Households"";156899",,,
"....City of Makati;""Total Population"";629616",,,
"....City of Makati;""Household Population"";624032",,,
