"Number and Proportion of CBA Coverage in Establishments Employing 20 or More Workers by Major Industry Group, Philippines: June 2014 to August 2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__UCB/6251B3GU080.px/table/tableViewLayout1/?rxid=2e73dce7-6537-444e-a85a-4413f7d69373"
"Major Industry Group";"2014 Unionized Workers";"2014 CBA Coverage";"2014 Percent";"2016 Unionized Workers";"2016 CBA Coverage";"2016 Percent";"2018 Unionized Workers";"2018 CBA Coverage";"2018 Percent";"2020 Unionized Workers";"2020 CBA Coverage";"2020 Percent";"2022 Unionized Workers";"2022 CBA Coverage";"2022 Percent"
"ALL INDUSTRIES";340370;359745;105.7;283081;313267;110.7;353625;361632;102.3;316458;333776;105.5;345754;446756;129.2
"..Agriculture, Forestry and Fishing";31539;34077;108.0;29951;30499;101.8;31276;30916;98.9;8404;8554;101.8;28789;39050;135.6
"..Mining and Quarrying";5066;5188;102.4;7349;7766;105.7;10107;9842;97.4;10099;11278;111.7;10614;12821;120.8
"..Manufacturing";116862;121505;104.0;90696;101196;111.6;116424;120817;103.8;114046;120152;105.4;119804;163669;136.6
"..Electricity, Gas, Steam and Air Conditioning  Supply";18357;25030;136.4;11544;11943;103.5;15637;18327;117.2;11239;11835;105.3;10340;11357;109.8
"..Water Supply; Sewerage, Waste Management and Remediation Activities";7291;6965;95.5;7056;7661;108.6;8937;8198;91.7;6825;7559;110.8;8675;7192;82.9
"..Construction";1850;2385;128.9;2088;3234;154.9;3697;3697;100.0;3019;3028;100.3;6857;15944;232.5
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";17837;18931;106.1;22181;23890;107.7;27704;27763;100.2;39476;40061;101.5;16139;27129;168.1
"..Transportation and Storage";29956;30274;101.1;24850;26247;105.6;17722;17801;100.4;15536;15758;101.4;21278;19028;89.4
"..Accommodation and Food Service Activities";5481;4637;84.6;5539;6049;109.2;8168;8345;102.2;7191;7191;100.0;2394;3075;128.5
"..Information and Communication";17152;17493;102.0;8051;9675;120.2;13225;13225;100.0;2787;2770;99.4;11579;12889;111.3
"..Financial and Insurance Activities";43303;44456;102.7;33037;36032;109.1;59625;59780;100.3;51283;54077;105.4;62433;73423;117.6
"..Real Estate Activities";411;437;106.3;1147;1275;111.2;1464;1464;100.0;525;525;100.0;2437;3411;140.0
"..Professional, Scientific and Technical Activities";2841;2863;100.8;1265;1465;115.8;695;710;102.2;486;647;133.2;1523;1667;109.5
"..Administrative and Support Service Activities";3987;2151;54.0;1105;1173;106.2;1048;992;94.7;556;567;102.1;264;622;235.8
"..Education Except Public Education";17098;19350;113.2;15418;19512;126.6;15385;15882;103.2;15599;18236;116.9;16753;21557;128.7
"..Human Health and Social Work Activities Except Public Health Activities";15799;18310;115.9;17429;20596;118.2;20061;21363;106.5;20291;22064;108.7;23944;30392;126.9
"..Arts, Entertainment and Recreation";4438;4593;103.5;4193;4872;116.2;2410;2469;102.4;9096;9474;104.2;1932;3528;182.6
"..Other Service Activities Except Activities of Membership Organizations";1102;1102;100.0;182;184;101.1;41;41;100.0;0;0;0.0;0;0;0.0
