"Proportion of Self-Employed and Unpaid Family Workers in Total Employment by Sex and Branch of Economic Activity"

"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Proportion of Self-Employed and Unpaid Family Workers in Total Employment (%)";"TOTAL";50.3;49.8;46.9;46.5;45.6;44.5;45.2;45.7;44.6;42.8;44.8;44.5;43.6;43.5;42.6;41.7;41.1;39.3;38.3;38.9;37.6;35.1;33.8;32.6
"Proportion of Self-Employed and Unpaid Family Workers in Total Employment (%)";"..Men";49.1;48.4;45.6;45.1;43.8;43.2;43.0;43.4;42.6;40.7;43.1;42.9;41.9;41.8;40.7;39.8;39.0;36.8;35.8;36.3;35.2;32.0;31.3;29.7
"Proportion of Self-Employed and Unpaid Family Workers in Total Employment (%)";"..Women";52.3;52.3;49.2;48.8;48.5;46.7;48.6;49.3;48.0;46.4;47.6;47.2;46.1;46.1;45.6;44.6;44.5;43.1;42.1;42.8;41.2;39.9;38.0;37.2
"Proportion of Self-Employed and Unpaid Family Workers in Total Employment (%)";"..Agriculture";74.0;74.5;73.4;72.6;68.7;67.1;66.9;67.0;66.6;64.7;68.2;67.9;67.2;67.0;66.4;65.6;64.0;62.3;61.4;64.0;63.1;60.6;60.9;57.4
"Proportion of Self-Employed and Unpaid Family Workers in Total Employment (%)";"..Industry";20.7;18.7;17.1;17.7;17.7;18.5;18.4;18.6;18.1;17.0;17.6;17.5;16.6;16.4;16.7;15.8;15.8;14.3;12.9;12.3;11.6;9.5;7.4;7.9
"Proportion of Self-Employed and Unpaid Family Workers in Total Employment (%)";"..Services";36.6;36.4;34.8;35.4;35.6;35.6;37.1;38.0;36.6;34.9;36.2;35.9;35.1;34.8;34.0;33.8;33.9;32.5;32.2;32.5;31.7;30.7;30.1;30.2
"Total Self-Employed and Unpaid Family Workers (000)";"TOTAL";12912;13541;12374;12381;12639;12213;13167;13746;13677;13538;14477;14537;14622;14815;14942;15015;15300;14773;14598;15035;14569;14383;13634;13410
"Total Self-Employed and Unpaid Family Workers (000)";"..Men";8017;8302;7573;7542;7555;7423;7707;7945;8032;7988;8577;8584;8616;8759;8719;8719;8797;8410;8291;8486;8247;8012;7837;7563
"Total Self-Employed and Unpaid Family Workers (000)";"..Women";4894;5238;4800;4839;5085;4789;5460;5801;5645;5551;5900;5954;6006;6056;6223;6296;6503;6363;6307;6548;6322;6371;5797;5847
"Total Self-Employed and Unpaid Family Workers (000)";"..Agriculture";8253;8670;7642;7323;7406;6832;7263;7454;7467;7366;7927;7934;7921;8058;7994;7846;7857;7529;7269;7557;7131;6706;6245;5739
"Total Self-Employed and Unpaid Family Workers (000)";"..Industry";856;828;782;805;801;823;865;871;878;849;886;873;848;830;851;851;874;820;768;760;726;681;549;623
"Total Self-Employed and Unpaid Family Workers (000)";"..Services";3803;4043;3951;4251;4432;4559;5038;5419;5329;5325;5666;5731;5852;5928;6098;6318;6569;6423;6561;6718;6712;6996;6840;7048
"Total Employed (000)";"TOTAL";25677;27186;26365;26631;27742;27452;29156;30062;30635;31613;32313;32636;33560;34089;35061;36035;37192;37600;38118;38651;38741;40998;40334;41157
"Total Employed (000)";"..Men";16322;17170;16610;16714;17253;17193;17923;18306;18873;19646;19910;20013;20542;20959;21404;21921;22573;22849;23150;23365;23406;25035;25067;25424
"Total Employed (000)";"..Women";9354;10016;9754;9917;10489;10259;11232;11756;11762;11968;12403;12622;13018;13129;13657;14114;14619;14751;14968;15286;15335;15963;15267;15732
"Total Employed (000)";"..Agriculture";11147;11645;10416;10091;10774;10181;10850;11122;11220;11381;11628;11682;11786;12030;12044;11956;12267;12093;11835;11801;11294;11064;10261;9998
"Total Employed (000)";"..Industry";4140;4431;4582;4542;4515;4454;4713;4695;4840;4999;5025;4997;5121;5048;5092;5399;5530;5743;5937;6167;6275;7159;7370;7846
"Total Employed (000)";"..Services";10391;11112;11367;11998;12452;12817;13593;14246;14577;15237;15661;15957;16654;17012;17924;18682;19394;19764;20345;20683;21172;22775;22703;23312
