"Reasons for Separations Initiated by Employers in Establishments with 20 or More Workers, National Capital Region: 1st Quarter 2018 to 4th Quarter 2019"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__LTS/4001B3GM040.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Reason";"2018 Q1";"2018 Q2";"2018 Q3";"2018 Q4";"2019 Q1";"2019 Q2";"2019 Q3";"2019 Q4"
"TOTAL";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"..Project Completion";37.7;44.8;40.9;47.5;39.2;38.2;39.0;40.1
"..AWOL";27.5;20.5;21.4;24.4;26.7;27.9;33.6;24.6
"..Reorganization/Downsizing";4.3;4.7;7.4;5.7;5.9;7.3;8.2;7.6
"..Terminated";1.3;3.6;2.8;2.5;3.9;3.8;2.8;7.2
"..Performance Issues";3.1;1.8;1.6;1.4;6.6;5.6;2.0;5.4
"..Retirement";8.1;8.0;7.3;5.4;5.6;5.3;5.3;3.9
"..Financial Losses";1.5;1.6;2.0;2.2;2.7;2.9;1.8;2.7
"..Merger/Change in Management";1.2;2.1;1.7;1.7;2.4;1.9;2.4;1.9
"..Lack of Market";3.3;3.1;4.5;3.6;1.9;2.1;1.8;1.5
"..Infractions/Violations";.;.;1.0;.;.;.;.;.
"..Transferred to other branch/other company";.;2.5;.;.;.;.;.;.
"..Misconduct";4.8;.;.;.;.;.;.;.
"..Others";7.2;7.3;9.3;5.6;5.2;5.1;3.2;5.1
