"Reasons for Separations Initiated by Employees in Establishments with 20 or More Workers, National Capital Region: 1st Quarter 2018 to 4th Quarter 2019"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__LTS/5001B3GM050.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Reasons for Quits (Employee-Initiated Separation)";"2018 Q1";"2018 Q2";"2018 Q3";"2018 Q4";"2019 Q1";"2019 Q2";"2019 Q3";"2019 Q4"
"TOTAL";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"..AWOL";12.3;10.7;11.2;10.4;12.6;10.7;8.5;10.6
"..Retirement";5.8;5.8;5.0;5.4;3.7;4.4;4.3;5.5
"..Resignation";4.5;8.5;6.3;9.2;5.5;6.8;10.3;6.8
"..Personal issues";3.2;2.2;3.0;1.7;3.0;2.2;2.4;2.5
"..Hired by another company";30.4;32.6;33.1;32.8;36.1;37.4;33.9;34.5
"..Family considerations";19.2;18.3;20.2;19.7;19.3;19.9;21.5;21.4
"..To work abroad";16.7;14.4;14.7;15.3;13.9;13.3;14.8;12.8
"..To study";.;.;1.4;1.1;2.5;2.5;1.9;1.7
"..Study/Review/Career Advancement";.;1.9;.;.;.;.;.;.
"..Career growth/studies/business";3.2;.;.;.;.;.;.;.
"..Heath Issues";1.6;1.3;1.1;1.3;2.0;1.6;1.0;1.4
"..Death";0.7;0.5;.;.;.;.;.;.
"..Poor performance/attitude problem";0.7;.;.;.;.;.;.;.
"..Others";1.6;3.9;3.9;3.1;1.6;1.2;1.4;2.9
