"Reasons Why Vacancies in Establishments with 20 or More Workers Were Hard to Fill, Philippines: January 2013 - June 2014 to September 2021 - August 2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OSS/6501B3GS070.px/table/tableViewLayout1/?rxid=8a8a8c67-d058-4943-a972-f0ab3d83f510"
"Reasons";"2014 Number Reporting";"2014 Percent Share";"2016 Number Reporting";"2016 Percent Share";"2018 Number Reporting";"2018 Percent Share";"2020 Number Reporting";"2020 Percent Share";"2022 Number Reporting";"2022 Percent Share"
"Total";21667;100.0;20999;100.0;19093;100.0;14058;100.0;18912;100.0
"..No/few applicants applied for the job";5639;26.0;5403;25.7;6027;31.6;6086;43.3;8160;43.1
"..Applicants lack years of experience";3638;16.8;3335;15.9;2232;11.7;1861;13.2;1739;9.2
"..Applicants lack needed competency/skill";6479;29.9;6577;31.3;4025;21.1;4009;28.5;3243;17.1
"..Applicants lack professional license/TESDA Skills Certification";1245;5.7;1147;5.5;735;3.8;766;5.4;660;3.5
"..Applicants expect high salary";2872;13.3;2908;13.8;2224;11.6;1020;7.3;3254;17.2
"..Location or work schedule problem";621;2.9;653;3.1;637;3.3;166;1.2;794;4.2
"..Competition with overseas jobs";442;2.0;462;2.2;348;1.8;132;0.9;433;2.3
"..Others (Please specify)";730;3.4;514;2.4;238;1.2;19;0.1;629;3.3
"..Not Reported";..;..;..;..;2629;13.8;..;..;..;..
