"Number of Workers Who Received Cash and Non-Cash Productivity-Based Incentives in Establishments Employing 20 or More Workers by Major Industry Group, Philippines: 2015"

"Type of workers";"Major Industry Group";"Cash and Non-Cash Productivity-Based Incentives";"2015"
"Managers";"ALL INDUSTRIES";"Total Number of Workers Who Received Cash and Non-Cash Incentives";10304
"Managers";"ALL INDUSTRIES";"..Number of Workers Who Received Cash Incentives";7259
"Managers";"ALL INDUSTRIES";"....Below P5,000";1424
"Managers";"ALL INDUSTRIES";"....P5,000-P9,999";1111
"Managers";"ALL INDUSTRIES";"....P10,000-P14,999";1063
"Managers";"ALL INDUSTRIES";"....P15,000-P19,999";369
"Managers";"ALL INDUSTRIES";"....P20,000 and Over";3291
"Managers";"ALL INDUSTRIES";"..Number of Workers Who Received Non-Cash Incentives";3045
"Managers";"..Agriculture, Forestry and Fishing";"Total Number of Workers Who Received Cash and Non-Cash Incentives";19
"Managers";"..Agriculture, Forestry and Fishing";"..Number of Workers Who Received Cash Incentives";16
"Managers";"..Agriculture, Forestry and Fishing";"....Below P5,000";8
"Managers";"..Agriculture, Forestry and Fishing";"....P5,000-P9,999";0
"Managers";"..Agriculture, Forestry and Fishing";"....P10,000-P14,999";0
"Managers";"..Agriculture, Forestry and Fishing";"....P15,000-P19,999";1
"Managers";"..Agriculture, Forestry and Fishing";"....P20,000 and Over";7
"Managers";"..Agriculture, Forestry and Fishing";"..Number of Workers Who Received Non-Cash Incentives";3
"Managers";"..Mining and Quarrying";"Total Number of Workers Who Received Cash and Non-Cash Incentives";180
"Managers";"..Mining and Quarrying";"..Number of Workers Who Received Cash Incentives";180
"Managers";"..Mining and Quarrying";"....Below P5,000";7
"Managers";"..Mining and Quarrying";"....P5,000-P9,999";75
"Managers";"..Mining and Quarrying";"....P10,000-P14,999";0
"Managers";"..Mining and Quarrying";"....P15,000-P19,999";0
"Managers";"..Mining and Quarrying";"....P20,000 and Over";99
"Managers";"..Mining and Quarrying";"..Number of Workers Who Received Non-Cash Incentives";0
"Managers";"..Manufacturing";"Total Number of Workers Who Received Cash and Non-Cash Incentives";2809
"Managers";"..Manufacturing";"..Number of Workers Who Received Cash Incentives";2052
"Managers";"..Manufacturing";"....Below P5,000";671
"Managers";"..Manufacturing";"....P5,000-P9,999";281
"Managers";"..Manufacturing";"....P10,000-P14,999";140
"Managers";"..Manufacturing";"....P15,000-P19,999";77
"Managers";"..Manufacturing";"....P20,000 and Over";883
"Managers";"..Manufacturing";"..Number of Workers Who Received Non-Cash Incentives";757
"Managers";"..Electricity, Gas, Steam and Air Conditioning Supply";"Total Number of Workers Who Received Cash and Non-Cash Incentives";154
"Managers";"..Electricity, Gas, Steam and Air Conditioning Supply";"..Number of Workers Who Received Cash Incentives";146
"Managers";"..Electricity, Gas, Steam and Air Conditioning Supply";"....Below P5,000";18
"Managers";"..Electricity, Gas, Steam and Air Conditioning Supply";"....P5,000-P9,999";0
"Managers";"..Electricity, Gas, Steam and Air Conditioning Supply";"....P10,000-P14,999";0
"Managers";"..Electricity, Gas, Steam and Air Conditioning Supply";"....P15,000-P19,999";17
"Managers";"..Electricity, Gas, Steam and Air Conditioning Supply";"....P20,000 and Over";112
"Managers";"..Electricity, Gas, Steam and Air Conditioning Supply";"..Number of Workers Who Received Non-Cash Incentives";8
"Managers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";44
"Managers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Number of Workers Who Received Cash Incentives";41
"Managers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....Below P5,000";0
"Managers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....P5,000-P9,999";12
"Managers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....P10,000-P14,999";11
"Managers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....P15,000-P19,999";0
"Managers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"....P20,000 and Over";18
"Managers";"..Water Supply; Sewerage, Waste Management and Remediation Activities";"..Number of Workers Who Received Non-Cash Incentives";3
"Managers";"..Construction";"Total Number of Workers Who Received Cash and Non-Cash Incentives";404
"Managers";"..Construction";"..Number of Workers Who Received Cash Incentives";107
"Managers";"..Construction";"....Below P5,000";5
"Managers";"..Construction";"....P5,000-P9,999";18
"Managers";"..Construction";"....P10,000-P14,999";38
"Managers";"..Construction";"....P15,000-P19,999";4
"Managers";"..Construction";"....P20,000 and Over";42
"Managers";"..Construction";"..Number of Workers Who Received Non-Cash Incentives";297
"Managers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"Total Number of Workers Who Received Cash and Non-Cash Incentives";1237
"Managers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Number of Workers Who Received Cash Incentives";939
"Managers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....Below P5,000";150
"Managers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....P5,000-P9,999";216
"Managers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....P10,000-P14,999";115
"Managers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....P15,000-P19,999";64
"Managers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"....P20,000 and Over";395
"Managers";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";"..Number of Workers Who Received Non-Cash Incentives";297
"Managers";"..Transportation and Storage";"Total Number of Workers Who Received Cash and Non-Cash Incentives";553
"Managers";"..Transportation and Storage";"..Number of Workers Who Received Cash Incentives";334
"Managers";"..Transportation and Storage";"....Below P5,000";36
"Managers";"..Transportation and Storage";"....P5,000-P9,999";3
"Managers";"..Transportation and Storage";"....P10,000-P14,999";14
"Managers";"..Transportation and Storage";"....P15,000-P19,999";1
"Managers";"..Transportation and Storage";"....P20,000 and Over";280
"Managers";"..Transportation and Storage";"..Number of Workers Who Received Non-Cash Incentives";219
"Managers";"..Accommodation and Food Service Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";1502
"Managers";"..Accommodation and Food Service Activities";"..Number of Workers Who Received Cash Incentives";933
"Managers";"..Accommodation and Food Service Activities";"....Below P5,000";282
"Managers";"..Accommodation and Food Service Activities";"....P5,000-P9,999";131
"Managers";"..Accommodation and Food Service Activities";"....P10,000-P14,999";318
"Managers";"..Accommodation and Food Service Activities";"....P15,000-P19,999";62
"Managers";"..Accommodation and Food Service Activities";"....P20,000 and Over";140
"Managers";"..Accommodation and Food Service Activities";"..Number of Workers Who Received Non-Cash Incentives";569
"Managers";"..Information and Communication";"Total Number of Workers Who Received Cash and Non-Cash Incentives";136
"Managers";"..Information and Communication";"..Number of Workers Who Received Cash Incentives";110
"Managers";"..Information and Communication";"....Below P5,000";12
"Managers";"..Information and Communication";"....P5,000-P9,999";33
"Managers";"..Information and Communication";"....P10,000-P14,999";0
"Managers";"..Information and Communication";"....P15,000-P19,999";14
"Managers";"..Information and Communication";"....P20,000 and Over";51
"Managers";"..Information and Communication";"..Number of Workers Who Received Non-Cash Incentives";26
"Managers";"..Financial and Insurance Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";1327
"Managers";"..Financial and Insurance Activities";"..Number of Workers Who Received Cash Incentives";1191
"Managers";"..Financial and Insurance Activities";"....Below P5,000";104
"Managers";"..Financial and Insurance Activities";"....P5,000-P9,999";138
"Managers";"..Financial and Insurance Activities";"....P10,000-P14,999";210
"Managers";"..Financial and Insurance Activities";"....P15,000-P19,999";95
"Managers";"..Financial and Insurance Activities";"....P20,000 and Over";643
"Managers";"..Financial and Insurance Activities";"..Number of Workers Who Received Non-Cash Incentives";136
"Managers";"..Real Estate Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";198
"Managers";"..Real Estate Activities";"..Number of Workers Who Received Cash Incentives";130
"Managers";"..Real Estate Activities";"....Below P5,000";0
"Managers";"..Real Estate Activities";"....P5,000-P9,999";41
"Managers";"..Real Estate Activities";"....P10,000-P14,999";0
"Managers";"..Real Estate Activities";"....P15,000-P19,999";0
"Managers";"..Real Estate Activities";"....P20,000 and Over";88
"Managers";"..Real Estate Activities";"..Number of Workers Who Received Non-Cash Incentives";68
"Managers";"..Professional, Scientific and Technical Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";219
"Managers";"..Professional, Scientific and Technical Activities";"..Number of Workers Who Received Cash Incentives";172
"Managers";"..Professional, Scientific and Technical Activities";"....Below P5,000";0
"Managers";"..Professional, Scientific and Technical Activities";"....P5,000-P9,999";0
"Managers";"..Professional, Scientific and Technical Activities";"....P10,000-P14,999";6
"Managers";"..Professional, Scientific and Technical Activities";"....P15,000-P19,999";0
"Managers";"..Professional, Scientific and Technical Activities";"....P20,000 and Over";165
"Managers";"..Professional, Scientific and Technical Activities";"..Number of Workers Who Received Non-Cash Incentives";47
"Managers";"..Administrative and Support Service Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";542
"Managers";"..Administrative and Support Service Activities";"..Number of Workers Who Received Cash Incentives";336
"Managers";"..Administrative and Support Service Activities";"....Below P5,000";34
"Managers";"..Administrative and Support Service Activities";"....P5,000-P9,999";72
"Managers";"..Administrative and Support Service Activities";"....P10,000-P14,999";91
"Managers";"..Administrative and Support Service Activities";"....P15,000-P19,999";12
"Managers";"..Administrative and Support Service Activities";"....P20,000 and Over";127
"Managers";"..Administrative and Support Service Activities";"..Number of Workers Who Received Non-Cash Incentives";206
"Managers";"..Education Except Public Education";"Total Number of Workers Who Received Cash and Non-Cash Incentives";300
"Managers";"..Education Except Public Education";"..Number of Workers Who Received Cash Incentives";224
"Managers";"..Education Except Public Education";"....Below P5,000";4
"Managers";"..Education Except Public Education";"....P5,000-P9,999";34
"Managers";"..Education Except Public Education";"....P10,000-P14,999";28
"Managers";"..Education Except Public Education";"....P15,000-P19,999";18
"Managers";"..Education Except Public Education";"....P20,000 and Over";139
"Managers";"..Education Except Public Education";"..Number of Workers Who Received Non-Cash Incentives";77
"Managers";"..Human Health and Social Work Activities Except Public Health Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";445
"Managers";"..Human Health and Social Work Activities Except Public Health Activities";"..Number of Workers Who Received Cash Incentives";211
"Managers";"..Human Health and Social Work Activities Except Public Health Activities";"....Below P5,000";16
"Managers";"..Human Health and Social Work Activities Except Public Health Activities";"....P5,000-P9,999";26
"Managers";"..Human Health and Social Work Activities Except Public Health Activities";"....P10,000-P14,999";61
"Managers";"..Human Health and Social Work Activities Except Public Health Activities";"....P15,000-P19,999";5
"Managers";"..Human Health and Social Work Activities Except Public Health Activities";"....P20,000 and Over";103
"Managers";"..Human Health and Social Work Activities Except Public Health Activities";"..Number of Workers Who Received Non-Cash Incentives";234
"Managers";"..Arts, Entertainment and Recreation";"Total Number of Workers Who Received Cash and Non-Cash Incentives";63
"Managers";"..Arts, Entertainment and Recreation";"..Number of Workers Who Received Cash Incentives";42
"Managers";"..Arts, Entertainment and Recreation";"....Below P5,000";42
"Managers";"..Arts, Entertainment and Recreation";"....P5,000-P9,999";0
"Managers";"..Arts, Entertainment and Recreation";"....P10,000-P14,999";0
"Managers";"..Arts, Entertainment and Recreation";"....P15,000-P19,999";0
"Managers";"..Arts, Entertainment and Recreation";"....P20,000 and Over";0
"Managers";"..Arts, Entertainment and Recreation";"..Number of Workers Who Received Non-Cash Incentives";21
"Managers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"Total Number of Workers Who Received Cash and Non-Cash Incentives";171
"Managers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"..Number of Workers Who Received Cash Incentives";96
"Managers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....Below P5,000";35
"Managers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....P5,000-P9,999";31
"Managers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....P10,000-P14,999";31
"Managers";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";"....P15,000-P19,999";0
