"Number of Registered Marriages by Age Group of Female and Place of Occurrence (Region, Province and HUCs), Philippines: 2013-2022"

"Geolocation";"2013 Total";"2013 Under 15";"2013 15 - 19";"2013 20 - 24";"2013 25 - 29";"2013 30 - 34";"2013 35 - 39";"2013 40 - 44";"2013 45 - 49";"2013 50 - 54";"2013 55 - 59";"2013 60 and Over";"2013 Not Stated";"2014 Total";"2014 Under 15";"2014 15 - 19";"2014 20 - 24";"2014 25 - 29";"2014 30 - 34";"2014 35 - 39";"2014 40 - 44";"2014 45 - 49";"2014 50 - 54";"2014 55 - 59";"2014 60 and Over";"2014 Not Stated";"2015 Total";"2015 Under 15";"2015 15 - 19";"2015 20 - 24";"2015 25 - 29";"2015 30 - 34";"2015 35 - 39";"2015 40 - 44";"2015 45 - 49";"2015 50 - 54";"2015 55 - 59";"2015 60 and Over";"2015 Not Stated";"2016 Total";"2016 Under 15";"2016 15 - 19";"2016 20 - 24";"2016 25 - 29";"2016 30 - 34";"2016 35 - 39";"2016 40 - 44";"2016 45 - 49";"2016 50 - 54";"2016 55 - 59";"2016 60 and Over";"2016 Not Stated";"2017 Total";"2017 Under 15";"2017 15 - 19";"2017 20 - 24";"2017 25 - 29";"2017 30 - 34";"2017 35 - 39";"2017 40 - 44";"2017 45 - 49";"2017 50 - 54";"2017 55 - 59";"2017 60 and Over";"2017 Not Stated";"2018 Total";"2018 Under 15";"2018 15 - 19";"2018 20 - 24";"2018 25 - 29";"2018 30 - 34";"2018 35 - 39";"2018 40 - 44";"2018 45 - 49";"2018 50 - 54";"2018 55 - 59";"2018 60 and Over";"2018 Not Stated";"2019 Total";"2019 Under 15";"2019 15 - 19";"2019 20 - 24";"2019 25 - 29";"2019 30 - 34";"2019 35 - 39";"2019 40 - 44";"2019 45 - 49";"2019 50 - 54";"2019 55 - 59";"2019 60 and Over";"2019 Not Stated";"2020 Total";"2020 Under 15";"2020 15 - 19";"2020 20 - 24";"2020 25 - 29";"2020 30 - 34";"2020 35 - 39";"2020 40 - 44";"2020 45 - 49";"2020 50 - 54";"2020 55 - 59";"2020 60 and Over";"2020 Not Stated";"2021 Total";"2021 Under 15";"2021 15 - 19";"2021 20 - 24";"2021 25 - 29";"2021 30 - 34";"2021 35 - 39";"2021 40 - 44";"2021 45 - 49";"2021 50 - 54";"2021 55 - 59";"2021 60 and Over";"2021 Not Stated";"2022 Total";"2022 Under 15";"2022 15 - 19";"2022 20 - 24";"2022 25 - 29";"2022 30 - 34";"2022 35 - 39";"2022 40 - 44";"2022 45 - 49";"2022 50 - 54";"2022 55 - 59";"2022 60 and Over";"2022 Not Stated"
"PHILIPPINES";442603;28;48346;158489;132607;59278;21981;10193;5317;3163;1701;1428;72;429723;10;41876;149871;134826;60296;21850;9550;5177;2933;1655;1623;56;439424;21;39157;148412;140843;63826;24430;10057;5771;3221;1800;1816;70;419628;34;34916;139068;137999;62441;23911;9350;5237;3109;1736;1787;40;434932;51;32353;137551;148618;68286;25440;10164;5548;3280;1805;1821;15;449169;43;27174;132533;159869;76103;28552;11303;6056;3381;2125;2022;8;431972;45;23883;122604;156332;75192;28759;11673;5934;3502;2039;2008;1;240775;49;10436;60383;96753;45237;15094;6021;2854;1741;1077;1128;2;356839;63;15190;86078;142617;71047;23113;9048;4295;2443;1381;1564;0;449428;31;16778;95569;172530;98302;35933;14859;6815;4027;2252;2327;5
"NATIONAL CAPITAL REGION (NCR)";57121;0;1837;14247;21193;11289;4152;1972;1107;674;383;261;6;60238;1;1595;14169;22505;12500;4711;2189;1197;679;381;303;8;61094;0;1483;13380;22889;12864;5209;2294;1350;798;439;382;6;53153;0;1180;11439;20064;11382;4672;1871;1120;683;384;357;1;55570;1;1088;11402;21242;12214;4876;2078;1175;695;422;375;2;58018;0;859;10877;22105;13410;5510;2307;1290;776;481;403;0;53596;0;712;9792;20531;12308;5223;2237;1184;747;439;423;0;32689;0;316;5042;13725;8275;2885;1139;502;364;218;223;0;41025;0;319;5797;16916;11043;3830;1472;699;447;240;262;0;54629;0;465;6858;20540;15119;6051;2609;1236;816;457;477;1
"….City of Caloocan";7203;0;345;2157;2321;1197;530;264;168;106;68;45;2;7222;0;290;2093;2310;1294;580;282;157;96;63;55;2;7637;0;294;2039;2482;1341;644;329;221;143;82;62;0;5512;0;234;1506;1853;954;439;193;131;86;61;55;0;5584;0;184;1482;1922;1003;473;202;123;88;57;50;0;5766;0;116;1470;2038;1088;509;223;144;78;59;41;0;5326;0;96;1328;1920;988;452;230;117;85;54;56;0;4165;0;69;900;1558;883;362;151;88;79;30;45;0;3780;0;42;724;1506;893;313;122;83;47;23;27;0;5609;0;75;875;2124;1374;568;255;143;81;60;54;0
"….City of Las Piñas";2398;0;68;575;911;508;175;76;39;21;14;11;0;2578;0;68;630;977;528;198;75;39;28;14;21;0;2650;0;69;561;976;605;217;92;62;37;10;21;0;2403;0;63;497;907;538;186;86;58;40;17;11;0;2610;0;43;517;982;606;267;95;48;20;15;17;0;2412;0;33;473;903;598;210;98;38;27;14;18;0;2177;0;38;360;851;514;219;103;49;27;10;6;0;1294;0;7;156;560;357;120;44;20;19;4;7;0;1813;0;7;252;745;509;162;70;29;14;12;13;0;2619;0;35;359;976;680;306;134;49;48;15;17;0
"….City of Makati";2299;0;31;404;1000;600;156;52;29;9;15;3;0;2356;0;17;361;1014;683;167;55;25;18;11;5;0;2327;0;28;338;1002;645;189;64;32;15;8;6;0;2372;0;23;375;963;669;214;62;24;24;9;9;0;2322;0;18;323;963;655;218;68;32;21;10;14;0;2384;0;7;252;1004;711;240;78;36;29;18;9;0;2083;0;7;240;835;637;215;79;26;20;15;9;0;1433;0;5;110;632;486;118;42;17;8;5;10;0;1729;0;6;126;718;601;189;46;21;6;8;8;0;1996;0;3;145;732;698;247;77;44;19;12;19;0
"….City of Malabon";590;0;18;137;231;120;43;18;13;6;4;0;0;605;0;21;127;278;104;37;21;9;4;0;4;0;647;0;14;126;284;146;39;21;5;3;2;6;1;754;0;9;156;307;144;75;29;12;8;6;8;0;727;0;5;140;304;165;62;27;10;11;1;2;0;781;0;5;157;338;149;83;19;16;6;6;2;0;684;0;6;120;282;148;65;30;13;12;4;4;0;467;0;6;81;199;110;30;22;6;6;3;4;0;557;0;4;73;271;140;33;23;9;2;0;2;0;761;0;1;89;341;215;65;18;18;8;2;4;0
"….City of Mandaluyong";1220;0;27;239;517;305;75;30;15;5;5;2;0;1271;0;26;259;521;323;82;28;13;9;4;6;0;1307;0;20;218;529;346;106;48;18;12;7;2;1;1262;0;12;216;523;320;115;33;18;11;8;6;0;1258;0;13;207;495;351;108;47;15;8;8;6;0;1326;0;9;181;541;373;136;37;22;14;5;8;0;1242;0;12;189;504;333;120;35;17;16;7;9;0;709;0;4;75;300;228;65;24;6;2;1;4;0;893;0;1;91;316;302;105;45;17;7;6;3;0;1143;0;6;122;402;335;171;57;27;11;7;5;0
"….City of Manila";11678;0;333;2642;4281;2291;963;522;281;196;96;72;1;13070;0;341;2835;4720;2717;1166;592;340;175;101;83;0;12274;0;260;2487;4403;2665;1193;535;321;195;119;96;0;11275;0;219;2178;4130;2402;1148;467;304;218;94;114;1;11103;0;212;2118;4006;2412;1118;516;321;176;121;103;0;10854;0;188;2000;3815;2512;1063;539;302;205;129;101;0;10532;0;151;1697;3849;2411;1124;512;313;221;128;126;0;6070;0;57;920;2376;1521;621;258;124;81;60;52;0;7899;0;75;1117;2944;2022;826;401;205;138;91;80;0;8935;0;82;1049;3099;2413;1058;498;267;203;138;127;1
"….City of Marikina";1786;0;50;466;705;345;118;53;20;10;13;6;0;1879;0;47;437;776;401;118;40;29;20;6;4;1;1781;0;33;393;742;409;116;30;32;16;3;7;0;1823;0;29;423;726;392;138;46;34;17;11;7;0;1928;0;19;384;795;439;156;57;32;23;16;7;0;2227;0;28;408;895;526;207;67;49;16;18;13;0;2013;0;24;339;871;453;182;67;40;20;6;11;0;1192;0;5;149;564;316;87;38;11;7;11;4;0;1460;0;5;169;682;381;137;39;19;10;8;10;0;1648;0;7;151;718;483;155;62;40;11;6;15;0
"….City of Muntinlupa";1942;0;55;500;755;358;124;59;38;21;19;11;2;1999;0;45;465;761;421;150;78;32;23;13;6;5;1928;0;38;419;749;429;141;61;41;27;10;13;0;1606;0;31;364;615;372;124;44;29;11;8;8;0;1736;0;24;336;751;403;125;44;18;20;7;8;0;2119;0;22;383;837;566;168;61;32;24;14;12;0;1976;0;29;356;750;519;187;66;37;14;11;7;0;1183;0;10;162;535;300;112;26;9;12;8;9;0;1340;0;5;159;596;389;121;36;9;12;10;3;0;1550;0;2;159;590;492;166;60;32;24;11;14;0
