"Number of Registered Marriages by Age Group of Male and Place of Occurrence (Region, Province and HUCs), Philippines: 2013-2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__VS__MA/1001A1BMAR0.px/table/tableViewLayout1/?rxid=755d6dde-6b4c-467c-8864-6839e23553f5"
"Geolocation";"2013 Total";"2013 Under 15";"2013 15 - 19";"2013 20 - 24";"2013 25 - 29";"2013 30 - 34";"2013 35 - 39";"2013 40 - 44";"2013 45 - 49";"2013 50 - 54";"2013 55 - 59";"2013 60 and Over";"2013 Not Stated";"2014 Total";"2014 Under 15";"2014 15 - 19";"2014 20 - 24";"2014 25 - 29";"2014 30 - 34";"2014 35 - 39";"2014 40 - 44";"2014 45 - 49";"2014 50 - 54";"2014 55 - 59";"2014 60 and Over";"2014 Not Stated";"2015 Total";"2015 Under 15";"2015 15 - 19";"2015 20 - 24";"2015 25 - 29";"2015 30 - 34";"2015 35 - 39";"2015 40 - 44";"2015 45 - 49";"2015 50 - 54";"2015 55 - 59";"2015 60 and Over";"2015 Not Stated";"2016 Total";"2016 Under 15";"2016 15 - 19";"2016 20 - 24";"2016 25 - 29";"2016 30 - 34";"2016 35 - 39";"2016 40 - 44";"2016 45 - 49";"2016 50 - 54";"2016 55 - 59";"2016 60 and Over";"2016 Not Stated";"2017 Total";"2017 Under 15";"2017 15 - 19";"2017 20 - 24";"2017 25 - 29";"2017 30 - 34";"2017 35 - 39";"2017 40 - 44";"2017 45 - 49";"2017 50 - 54";"2017 55 - 59";"2017 60 and Over";"2017 Not Stated";"2018 Total";"2018 Under 15";"2018 15 - 19";"2018 20 - 24";"2018 25 - 29";"2018 30 - 34";"2018 35 - 39";"2018 40 - 44";"2018 45 - 49";"2018 50 - 54";"2018 55 - 59";"2018 60 and Over";"2018 Not Stated";"2019 Total";"2019 Under 15";"2019 15 - 19";"2019 20 - 24";"2019 25 - 29";"2019 30 - 34";"2019 35 - 39";"2019 40 - 44";"2019 45 - 49";"2019 50 - 54";"2019 55 - 59";"2019 60 and Over";"2019 Not Stated";"2020 Total";"2020 Under 15";"2020 15 - 19";"2020 20 - 24";"2020 25 - 29";"2020 30 - 34";"2020 35 - 39";"2020 40 - 44";"2020 45 - 49";"2020 50 - 54";"2020 55 - 59";"2020 60 and Over";"2020 Not Stated";"2021 Total";"2021 Under 15";"2021 15 - 19";"2021 20 - 24";"2021 25 - 29";"2021 30 - 34";"2021 35 - 39";"2021 40 - 44";"2021 45 - 49";"2021 50 - 54";"2021 55 - 59";"2021 60 and Over";"2021 Not Stated";"2022 Total";"2022 Under 15";"2022 15 - 19";"2022 20 - 24";"2022 25 - 29";"2022 30 - 34";"2022 35 - 39";"2022 40 - 44";"2022 45 - 49";"2022 50 - 54";"2022 55 - 59";"2022 60 and Over";"2022 Not Stated"
"PHILIPPINES";442603;3;10746;114192;152821;88526;35543;16831;9036;5627;3829;5400;49;429723;0;9238;106809;150639;88182;35951;15636;8448;5521;3728;5531;40;439424;1;8443;103659;154787;92155;38951;16773;9066;5706;3886;5945;52;419628;3;8164;96611;149187;88444;38082;15693;8364;5367;3863;5833;17;434932;8;7601;94096;157407;95143;39913;16508;8802;5407;3880;6152;15;449169;4;6314;88935;162720;103144;44063;17987;9650;5817;4169;6355;11;431972;2;5477;82143;157599;100022;42940;18481;9112;5640;4106;6449;1;240775;2;2524;39586;93751;60163;23347;9512;4314;2659;1790;3127;0;356839;3;3496;56167;136613;93782;35824;14648;6342;3587;2367;4010;0;449428;4;4051;60532;159988;122228;51823;22747;10238;6123;4211;7478;5
"NATIONAL CAPITAL REGION (NCR)";57121;0;404;8305;19573;13924;6070;3303;1963;1284;1010;1281;4;60238;0;410;8299;20376;15283;6928;3284;1973;1377;971;1332;5;61094;0;322;7840;20353;15728;7327;3500;2080;1484;1034;1424;2;53153;0;322;6715;17759;13603;6467;2954;1751;1283;932;1364;3;55570;0;270;6812;18771;14387;6774;3030;1901;1202;982;1438;3;58018;0;215;6423;19173;15549;7468;3383;1987;1339;1058;1421;2;53596;0;188;5845;17660;14319;6890;3353;1725;1217;1012;1387;0;32689;0;86;3055;11694;9812;4077;1683;798;489;397;598;0;41025;0;68;3444;14276;12904;5385;2249;1010;618;431;640;0;54629;0;99;3847;16928;16542;8010;3796;1815;1180;851;1561;0
"….City of Caloocan";7203;0;84;1311;2377;1499;709;433;282;174;144;188;2;7222;0;76;1265;2337;1598;806;391;285;161;121;180;2;7637;0;60;1254;2348;1700;949;471;289;216;148;201;1;5512;0;63;982;1763;1194;647;277;186;141;92;166;1;5584;0;49;930;1864;1254;609;312;190;117;111;147;1;5766;0;35;874;1948;1330;736;307;176;137;87;136;0;5326;0;31;845;1764;1215;658;334;169;114;91;105;0;4165;0;27;564;1467;1046;496;223;117;84;60;81;0;3780;0;14;435;1359;1065;477;186;75;66;38;65;0;5609;0;19;547;1758;1587;747;415;171;115;96;154;0
"….City of Las Piñas";2398;0;13;297;816;561;265;157;83;69;56;80;1;2578;0;17;371;866;674;248;149;70;69;50;64;0;2650;0;13;311;867;674;354;150;96;58;41;86;0;2403;0;11;271;763;627;287;127;100;82;63;72;0;2610;0;8;289;844;695;359;129;96;63;43;84;0;2412;0;5;275;808;654;298;130;83;61;42;56;0;2177;0;7;188;724;618;280;143;58;61;47;51;0;1294;0;0;98;465;408;161;59;35;24;16;28;0;1813;0;2;139;618;596;245;75;48;32;23;35;0;2619;0;2;127;802;770;415;170;102;72;53;106;0
"….City of Makati";2299;0;7;228;845;735;255;110;55;20;21;23;0;2356;0;6;237;838;752;287;118;41;32;12;33;0;2327;0;3;187;830;758;282;121;55;46;16;29;0;2372;0;4;187;827;779;294;94;49;49;40;49;0;2322;0;5;193;797;716;311;118;55;44;31;52;0;2384;0;1;156;768;781;334;136;64;47;45;52;0;2083;0;2;131;661;702;303;136;53;33;27;35;0;1433;0;0;74;484;529;204;69;24;12;10;27;0;1729;0;0;62;568;668;240;90;46;20;22;13;0;1996;0;3;67;595;734;302;122;52;39;31;51;0
"….City of Malabon";590;0;5;103;201;143;57;33;20;11;6;11;0;605;0;10;80;236;149;65;33;16;7;2;7;0;647;0;5;80;262;187;60;28;11;4;4;6;0;754;0;2;82;263;192;110;47;23;12;8;15;0;727;0;0;96;266;198;82;38;19;10;12;6;0;781;0;3;89;303;195;108;25;28;14;4;12;0;684;0;2;80;238;181;78;38;28;12;16;11;0;467;0;1;46;168;144;53;26;15;4;7;3;0;557;0;0;51;228;170;63;25;8;5;2;5;0;761;0;1;57;278;232;100;44;13;15;6;15;0
"….City of Mandaluyong";1220;0;5;139;471;367;141;45;24;10;9;9;0;1271;0;9;167;494;348;128;47;29;10;21;18;0;1307;0;7;135;467;399;160;65;28;15;12;19;0;1262;0;3;134;457;377;155;61;30;18;9;18;0;1258;0;6;128;435;407;162;57;26;12;12;13;0;1326;0;2;116;449;393;220;67;36;17;9;17;0;1242;0;2;125;407;378;178;66;32;15;16;23;0;709;0;2;44;245;248;109;38;8;4;3;8;0;893;0;0;50;238;315;159;68;32;13;11;7;0;1143;0;1;66;328;358;216;78;38;24;13;21;0
"….City of Manila";11678;0;77;1555;3889;2793;1282;767;440;309;246;319;1;13070;0;91;1601;4185;3242;1669;810;499;389;264;319;1;12274;0;63;1420;3877;3104;1555;785;485;369;264;352;0;11275;0;65;1270;3553;2746;1471;761;460;332;271;346;0;11103;0;51;1228;3490;2714;1420;721;524;319;265;371;0;10854;0;49;1192;3314;2774;1405;720;459;302;277;361;1;10532;0;35;1033;3282;2638;1358;739;429;316;301;401;0;6070;0;14;538;1978;1777;785;385;197;119;114;163;0;7899;0;19;654;2499;2316;1051;561;279;183;146;191;0;8935;0;17;576;2611;2485;1296;677;387;276;217;393;0
"….City of Marikina";1786;0;14;277;657;479;156;92;44;22;24;21;0;1879;0;7;286;726;455;212;80;36;29;22;26;0;1781;0;12;241;691;465;191;65;35;30;22;29;0;1823;0;10;252;644;502;209;82;41;29;17;37;0;1928;0;13;238;690;525;225;100;38;31;22;46;0;2227;0;4;269;815;584;275;108;66;37;28;41;0;2013;0;7;223;700;597;226;125;51;31;28;25;0;1192;0;2;97;450;402;124;58;11;20;8;20;0;1460;0;1;96;573;487;162;74;26;14;5;22;0;1648;0;1;94;581;549;206;96;44;22;21;34;0
"….City of Muntinlupa";1942;0;18;299;729;480;199;78;34;44;24;37;0;1999;0;12;270;733;521;217;99;53;29;32;31;2;1928;0;5;236;669;543;215;96;55;45;25;39;0;1606;0;9;229;569;447;167;72;39;28;21;25;0;1736;0;5;205;680;482;190;75;37;19;18;25;0;2119;0;3;201;776;610;285;111;47;31;24;31;0;1976;0;10;195;688;597;261;101;45;38;14;27;0;1183;0;3;95;428;394;146;53;24;9;12;19;0;1340;0;1;91;501;458;161;63;22;14;12;17;0;1550;0;1;99;483;529;206;86;52;23;28;43;0
