"Number of Registered Total Deaths,  Maternal Deaths and Infant Deaths and by Usual Residence and Place of Occurrence  (Region, Province, City/Municipality), Philippines:2016"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__VS__DE/3011A1BVDA0.px/table/tableViewLayout1/?rxid=f94820fa-cde5-4031-963b-f20c6ca399d3"
"Geolocation";"Total Deaths Usual Residence";"Total Deaths Place of Occurrence";"Maternal Deaths Usual Residence";"Maternal Deaths Place of Occurrence";"Infant Deaths Usual Residence";"Infant Deaths Place of Occurrence"
"PHILIPPINES";582183;582183;1483;1483;21874;21874
"..NATIONAL CAPITAL REGION";76839;88088;159;199;3687;4527
"….City of Manila";12573;19733;12;40;580;1293
"….City of Mandaluyong";2326;2111;3;4;90;74
"….City of San Juan";810;1021;2;1;22;16
"….Quezon City";16460;22340;40;58;871;1328
"….City of Marikina";3171;4340;8;11;154;230
"….City of Makati";3363;3218;4;3;140;127
"….City of Pasig";4220;5107;10;20;195;253
"….Pateros";481;328;3;1;18;7
"….Taguig City";3697;3217;16;11;218;142
"….Caloocan City";9235;7737;16;8;361;218
"….City of Malabon";2389;1577;3;0;105;52
"….City of Navotas";1783;1244;4;1;85;34
"….City of Valenzuela";3769;3237;12;14;224;188
"….City of Las Piñas";3614;3997;9;11;180;219
"….City of Muntinlupa";2767;3374;7;8;135;127
"….City of Parañaque";3638;2944;5;4;210;129
"….Pasay City";2543;2563;5;4;99;90
"..CORDILLERA ADMINISTRATIVE REGION";8329;8603;18;19;250;254
"….ABRA";1684;1565;5;5;43;37
"….BENGUET";3495;4000;2;5;116;132
"….IFUGAO";836;734;3;3;26;13
"….KALINGA";930;868;3;2;19;18
"….MOUNTAIN PROVINCE";853;806;2;2;37;40
"….APAYAO";531;630;3;2;9;14
"..ILOCOS";35666;35293;69;68;1205;1188
"….ILOCOS NORTE";4474;4474;5;6;133;143
"….ILOCOS SUR";4990;4810;5;5;115;84
"….LA UNION";5354;5606;14;14;204;231
