"Severity Rates and Average Workdays Lost of Cases of Occupational Injuries Resulting to Temporary Incapacity in Establishments Employing 20 or More Workers by Industry Group, Philippines: 2013-2021"

"Major Industry Group";"2013 Severity Rate";"2013 Average Workdays Lost";"2015 Severity Rate";"2015 Average Workdays Lost";"2017 Severity Rate";"2017 Average Workdays Lost";"2019 Severity Rate";"2019 Average Workdays Lost";"2021 Severity Rate";"2021 Average Workdays Lost"
"ALL INDUSTRIES";10.79;5.42;13.57;11.17;9.68;5.73;7.61;6.17;5.33;5.68
"..Agriculture, Forestry and Fishing";24.46;4.66;24.46;8.70;30.28;7.46;15.79;7.34;23.62;5.00
"..Mining and Quarrying";15.46;14.53;5.30;12.84;22.76;26.32;10.15;22.98;21.30;18.57
"..Manufacturing";18.86;4.72;29.85;10.13;18.15;5.39;13.42;4.97;9.12;5.08
"..Electricity, Gas, Steam and Air Conditioning Supply";52.26;20.82;52.36;22.34;54.92;17.67;59.55;26.39;40.09;16.05
"..Water Supply; Sewerage, Waste Management and Remediation Activities";9.32;3.40;13.44;13.19;14.49;5.98;4.24;9.74;11.20;7.78
"..Construction";5.42;4.60;10.34;7.09;6.10;5.60;10.44;6.51;7.68;6.24
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles Vehicles and Motorcycles";7.60;4.83;11.90;12.43;8.23;5.12;5.00;6.58;1.88;3.77
"..Transportation and Storage";19.71;6.22;9.33;12.35;14.53;5.60;21.53;9.12;8.08;7.94
"..Accommodation and Food Service Activities";6.94;3.38;8.27;5.41;6.27;2.65;7.15;4.29;3.85;4.12
"..Information and Communication";1.66;14.09;7.98;41.45;1.99;5.13;1.56;5.32;2.26;11.81
"..Financial and Insurance Activities";14.43;19.04;13.15;12.92;3.86;14.06;2.61;9.49;3.69;9.67
"..Real Estate Activities";2.74;3.24;1.19;15.51;3.90;3.96;0.25;2.33;2.01;4.25
"..Professional, Scientific and Technical Activities";4.60;10.00;2.42;11.03;3.06;2.78;0.38;3.22;2.38;9.43
"..Administrative and Support Service Activities";2.30;5.52;4.81;18.36;3.59;5.14;3.27;5.39;2.14;5.19
"..Education Except Public Education";1.26;4.79;4.18;16.85;2.77;6.55;0.72;4.06;1.44;6.80
"..Human Health and Social Work Activities Except Public Health Activities";7.13;5.95;7.44;18.14;4.82;8.77;7.27;7.43;2.30;6.49
"..Arts, Entertainment and Recreation";0.02;1.00;3.46;3.37;6.27;2.64;3.92;4.73;6.03;2.55
"..Other Service Activities except Activities of Membership Organizations";4.24;5.87;1.57;3.17;11.46;30.13;15.18;84.67;7.89;6.44
