"Severity Rates and Average Workdays Lost of Cases of Occupational Injuries Resulting to Temporary Incapacity in Establishments Employing 20 or More Workers by Region, Philippines: 2021"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OID/6801B3GI150.px/table/tableViewLayout1/?rxid=6c884b7d-8541-43da-b80e-9f99195fb610"
"Region";"2021 Severity Rate";"2021 Average Workdays Lost"
"PHILIPPINES";5.33;5.68
"..National Capital Region";3.14;5.55
"..Cordillera Administrative Region";16.24;25.89
"..Region I - Ilocos Region";2.57;11.36
"..Region II - Cagayan Valley";5.04;39.76
"..Region III - Central Luzon";8.33;5.12
"..Region IV-A - CALABARZON";5.88;7.40
"..MIMAROPA Region";7.32;8.00
"..Region V - Bicol";7.89;10.71
"..Region VI - Western Visayas";3.95;5.13
"..Region VII - Central Visayas";2.54;5.12
"..Region VIII - Eastern Visayas";12.64;4.24
"..Region IX - Zamboanga Peninsula";18.73;6.39
"..Region X - Northern Mindanao";6.96;3.56
"..Region XI - Davao Region";9.98;4.29
"..Region XII - SOCCSKSARGEN";9.71;4.29
"..Region XIII - Caraga";10.00;5.50
"..Bangsamoro Autonomous Region in Muslim Mindanao";..;..
