"Total Employment of Establishments with 20 or More Workers by Specific Group and Region: August 2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__ESGW/3251B3GE051.px/table/tableViewLayout1/?rxid=889609b2-85a3-44b2-a676-89a8a2b6bec9"
"REGION";"2022 Total Employment";"2022 ..Young Workers (YW)";"2022 ….YW_15 - 24 years old";"2022 ….YW_25 - 30 years old";"2022 ..Older Workers";"2022 ..Persons with Disabilities (PWDs)";"2022 ..Workers Paid the Minimum Wage";"2022 ..Shift Workers";"2022 ..Workers under Alternative Work Arrangements"
"PHILIPPINES";5370453;2438312;748496;1689816;377214;11134;1043924;645878;300088
"..National Capital Region";2286436;1022497;303393;719105;158910;5031;331581;292957;216032
"..Cordillera Administrative Region";81343;38191;11820;26372;5650;250;16925;9761;2567
"..Region I - Ilocos Region";89152;38935;11848;27087;5128;222;27636;3670;2221
"..Region II - Cagayan Valley";69123;25365;6774;18591;4759;136;8718;2953;391
"..Region III - Central Luzon";443845;203150;65233;137917;31693;962;109431;49450;11658
"..Region IV-A - CALABARZON";599211;276214;90070;186144;35719;1056;109851;80809;16644
"..MIMAROPA Region";46978;27717;10087;17630;4010;326;10779;1438;332
"..Region V - Bicol Region";88761;41424;11707;29717;6702;307;15548;5386;1269
"..Region VI - Western Visayas";242669;113607;37119;76488;22265;607;39482;40915;7628
"..Region VII - Central Visayas";584448;268091;88427;179664;35896;810;154774;97403;32505
"..Region VIII - Eastern Visayas";70531;35606;8900;26706;5933;174;20876;3820;348
"..Region IX - Zamboanga Peninsula";79666;38429;11601;26827;6190;167;27606;6016;164
"..Region X - Northern Mindanao";177336;81001;20340;60661;17206;438;40376;14878;2204
"..Region XI - Davao Region";251464;120963;39837;81126;18388;165;53221;27268;4522
"..Region XII - SOCCSKSARGEN";160709;67542;21623;45920;10857;188;54741;3575;360
"..Region XIII - CARAGA";83793;33853;7822;26031;6232;241;20764;5198;1143
"..Bangsamoro Autonomous Region in Muslim Mindanao";14988;5725;1895;3831;1675;55;1615;380;99
