"Total Employment of Establishments with 20 or More Workers by Specific Group, Sex and Major Industry Group, Philippines: June 2014 to August 2022"

"Sex";"Major Industry Group";"2014 Total Employment";"2014 ..Young Workers (YW)";"2014 ….YW_15 - 24 years old";"2014 ….YW_25 - 30 years old";"2014 ..Older Workers";"2014 ..Persons with Disabilities (PWDs)";"2014 ..Workers Paid the Minimum Wage";"2014 ..Shift Workers";"2014 ..Workers under Alternative Work Arrangements";"2016 Total Employment";"2016 ..Young Workers (YW)";"2016 ….YW_15 - 24 years old";"2016 ….YW_25 - 30 years old";"2016 ..Older Workers";"2016 ..Persons with Disabilities (PWDs)";"2016 ..Workers Paid the Minimum Wage";"2016 ..Shift Workers";"2016 ..Workers under Alternative Work Arrangements";"2018 Total Employment";"2018 ..Young Workers (YW)";"2018 ….YW_15 - 24 years old";"2018 ….YW_25 - 30 years old";"2018 ..Older Workers";"2018 ..Persons with Disabilities (PWDs)";"2018 ..Workers Paid the Minimum Wage";"2018 ..Shift Workers";"2018 ..Workers under Alternative Work Arrangements";"2020 Total Employment";"2020 ..Young Workers (YW)";"2020 ….YW_15 - 24 years old";"2020 ….YW_25 - 30 years old";"2020 ..Older Workers";"2020 ..Persons with Disabilities (PWDs)";"2020 ..Workers Paid the Minimum Wage";"2020 ..Shift Workers";"2020 ..Workers under Alternative Work Arrangements";"2022 Total Employment";"2022 ..Young Workers (YW)";"2022 ….YW_15 - 24 years old";"2022 ….YW_25 - 30 years old";"2022 ..Older Workers";"2022 ..Persons with Disabilities (PWDs)";"2022 ..Workers Paid the Minimum Wage";"2022 ..Shift Workers";"2022 ..Workers under Alternative Work Arrangements"
"Both Sexes";"ALL INDUSTRIES";4471785;1983208;791369;1191839;.;.;1054927;425686;.;4384678;2233948;905848;1328100;322819;3504;1186124;451702;.;5077410;.;1058346;.;.;6042;1368460;418479;.;5321630;2622322;877891;1744431;380650;18563;1457762;392216;577422;5370453;2438312;748496;1689816;377214;11134;1043924;645878;300088
"Both Sexes";"..Agriculture, Forestry and Fishing";238774;49252;18127;31125;.;.;46015;3874;.;155231;46556;12032;34524;28120;71;46840;2072;.;154421;.;17112;.;.;644;44056;4361;.;153761;57918;14085;43833;20435;229;48126;1025;561;139190;47140;11614;35526;15261;132;34023;3301;607
"Both Sexes";"..Mining and Quarrying";40407;15454;2774;12680;.;.;4841;4493;.;30727;9282;2140;7142;4117;20;4955;3110;.;33549;.;3432;.;.;76;4643;3409;.;41496;11198;2813;8385;5367;17;4086;5598;5563;35338;8425;1925;6500;4587;30;4384;9761;59
"Both Sexes";"..Manufacturing";1005562;432902;185948;246954;.;.;313709;105012;.;994455;489999;205815;284184;71463;1208;353180;141564;.;1080553;.;223811;.;.;1637;351612;116431;.;1009735;460609;148960;311649;77042;3364;303538;108390;55269;1058420;424710;125586;299124;77143;3125;281602;117585;18766
"Both Sexes";"..Electricity, Gas, Steam and Air Conditioning Supply";69330;11715;3006;8710;.;.;3428;3563;.;41354;10787;2668;8119;9438;75;3798;2330;.;62352;.;3948;.;.;77;4006;4107;.;45229;10620;2180;8440;8720;143;2754;3558;4189;53131;11697;2224;9474;8744;93;3437;3836;1384
"Both Sexes";"..Water Supply; Sewerage, Waste Management and Remediation Activities";31378;5193;1186;4007;.;.;2363;633;.;30585;4991;1115;3876;7610;71;2589;705;.;33262;.;2225;.;.;170;5347;755;.;31135;6983;1756;5227;6272;221;4648;1383;4575;35093;8701;1518;7183;7186;172;3665;1777;815
"Both Sexes";"..Construction";188496;81693;25726;55967;.;.;58649;776;.;243490;104874;33141;71733;18412;114;79111;2718;.;284970;.;37644;.;.;109;70596;3020;.;285082;125026;29381;95645;28349;678;76243;475;5892;267103;99499;25977;73522;21084;278;62255;3166;3072
"Both Sexes";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";577711;284486;123093;161393;.;.;165932;4695;.;559419;303370;119973;183396;29566;329;202137;9154;.;600554;.;133046;.;.;1335;177797;4547;.;763765;368630;124078;244552;50724;568;301829;6573;63220;649376;318004;91832;226171;38761;1114;171546;8000;15876
"Both Sexes";"..Transportation and Storage";148483;38764;12755;26009;.;.;23508;17553;.;164726;65549;24088;41461;19405;114;42711;4927;.;161040;.;21647;.;.;95;54983;5984;.;152529;52992;14533;38458;21528;217;47143;4006;12499;176204;65531;15653;49878;17426;450;24523;13495;9435
"Both Sexes";"..Accommodation and Food Service Activities";250611;155406;85912;69494;.;.;63797;27529;.;215750;138446;75132;63314;9241;320;82479;19324;.;239226;.;80444;.;.;332;91176;16789;.;190955;117969;44146;73823;9965;192;54196;5421;32445;211260;128405;56827;71578;6636;677;58648;14295;4361
