"Strikes and Lockouts/Rates of Days Not Worked by Branch of Economic Activity"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E11/0983K3E1105.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Strikes and Lockouts";"TOTAL";94;89;93;92;58;60;43;36;38;25;26;12;6;5;4;8;2;3;1;2;5;15;9;14
"Strikes and Lockouts";"..Agriculture";3;3;2;2;..;2;..;..;3;1;1;1;..;1;1;1;..;1;..;..;..;..;3;1
"Strikes and Lockouts";"..Industry";68;63;65;57;32;36;32;22;25;16;21;7;4;3;3;5;1;..;1;1;3;9;3;9
"Strikes and Lockouts";"..Services";23;23;26;33;26;22;11;14;10;8;4;4;2;1;..;2;1;2;..;1;2;6;3;4
"Rates of Days not Worked per 1,000 Employees in Private Establishments";"TOTAL";69.6;57.1;71.2;58.9;23.0;32.4;19.9;34.0;13.3;4.3;10.1;3.5;0.9;2.9;0.5;2.3;0.2;....;0.1;0.1;0.3;5.9;1.3;7.8
"Rates of Days not Worked per 1,000 Employees in Private Establishments";"..Agriculture";1.8;0.2;1.1;14.8;..;4.5;..;..;0.8;0.7;0.4;0.1;..;4.4;0.2;0.4;..;0.1;..;..;..;..;1.5;7.0
"Rates of Days not Worked per 1,000 Employees in Private Establishments";"..Industry";152.7;125.2;169.2;106.1;51.6;78.8;45.8;77.3;21.8;10.6;17.2;9.5;1.6;3.4;1.5;7.4;....;..;0.2;0.1;1.0;14.1;2.4;18.2
"Rates of Days not Worked per 1,000 Employees in Private Establishments";"..Services";37.6;28.7;19.8;40.7;12.5;11.1;10.2;18.5;13.4;1.7;9.6;1.1;1.0;1.9;..;0.1;0.5;....;..;0.1;0.1;2.8;0.4;0.9
"Total Workers Directly Involved";"TOTAL";54412;32322;51531;34478;15517;21442;7919;18240;10035;11197;8496;1415;915;1115;1510;3034;3828;209;400;51;730;3138;1479;8102
"Total Workers Directly Involved";"..Agriculture";1409;180;431;1050;..;516;..;..;403;60;400;31;..;500;280;163;..;64;..;..;..;..;430;4700
"Total Workers Directly Involved";"..Industry";34348;17020;26603;16129;7651;13779;5442;7940;7137;8669;7305;1013;605;515;1230;2707;128;..;400;32;522;922;615;2788
"Total Workers Directly Involved";"..Services";18655;15122;24497;17299;7866;7147;2477;10300;2495;2468;791;371;310;100;..;164;3700;145;..;19;208;2216;434;614
"Total Days not Worked";"TOTAL";584179;518870;672740;556796;229248;319233;206493;358152;150465;53434;123329;43519;12112;38711;6560;34171;3828;797;1200;1260;4882;116637;24784;160763
"Total Days not Worked";"..Agriculture";3809;400;2220;29800;..;10064;..;..;1926;2040;1200;155;..;13500;560;1304;..;512;..;..;..;..;4552;23500
"Total Days not Worked";"..Industry";454306;413590;593050;363044;176079;261095;160007;271668;80093;41872;67828;37081;6432;13711;6000;32305;128;..;1200;576;4004;88871;16250;128465
"Total Days not Worked";"..Services";126064;104880;77470;163952;53169;48074;46486;86484;68446;9522;54301;6283;5680;11500;..;562;3700;285;..;684;878;27766;3982;8798
"Total Employees in Private Establishments (000)";"TOTAL";8398;9093;9442;9461;9946;9860;10366;10546;11294;12552;12261;12423;12950;13283;13824;14565;15431;16377;17114;17319;17669;19694;19776;20609
"Total Employees in Private Establishments (000)";"..Agriculture";2073;2129;2025;2013;2285;2212;2331;2368;2519;2888;2677;2793;2923;3059;3160;3242;3578;3771;3782;3515;3419;3547;3127;3334
"Total Employees in Private Establishments (000)";"..Industry";2976;3303;3504;3423;3414;3315;3492;3513;3679;3954;3937;3918;4065;4020;4035;4347;4463;4751;5017;5251;5407;6308;6640;7042
"Total Employees in Private Establishments (000)";"..Services";3350;3660;3913;4025;4247;4333;4544;4665;5096;5711;5647;5712;5963;6206;6628;6976;7390;7857;8315;8553;8844;9839;10009;10233
