"Number and Percent Distribution of Establishments with 20 or More Workers Engaged in Subcontracting by Major Industry Group, Philippines: June 2014 to August 2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__ESGW/8001B3GE150.px/table/tableViewLayout1/?rxid=35bcaecd-93bf-46d3-bfca-3693580d69a7"
"Major Industry Group";"2014 Total Establishments";"2014 Establishments Resorting to Subcontracting";"2014 Percent to Total";"2016 Total Establishments";"2016 Establishments Resorting to Subcontracting";"2016 Percent to Total";"2018 Total Establishments";"2018 Establishments Resorting to Subcontracting";"2018 Percent to Total";"2020 Total Establishments";"2020 Establishments Resorting to Subcontracting";"2020 Percent to Total";"2022 Total Establishments";"2022 Establishments Resorting to Subcontracting";"2022 Percent to Total"
"ALL INDUSTRIES";35214;4978;14.1;31277;3737;11.9;32517;2797;8.6;34543;1806;5.2;36342;3364;9.0
"..Agriculture, Forestry and Fishing";1370;319;23.2;1151;140;12.2;1147;96;8.4;951;7;0.7;1125;146;13.0
"..Mining and Quarrying";195;23;11.8;156;18;11.3;152;11;7.1;150;6;4.1;165;15;9.2
"..Manufacturing";6562;1074;16.4;6068;837;13.8;5980;606;10.1;5923;428;7.2;6213;828;13.3
"..Electricity, Gas, Steam and Air Conditioning Supply";422;45;10.7;249;44;17.7;282;33;11.5;263;12;4.6;296;38;13.0
"..Water Supply; Sewerage, Waste Management and Remediation Activities";315;44;14.0;334;41;12.4;341;17;5.1;331;42;12.8;376;30;7.9
"..Construction";1042;107;10.4;986;173;17.6;1006;137;13.6;1193;64;5.4;1238;144;11.7
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";7744;1247;16.1;7127;837;11.7;7829;659;8.4;8681;340;3.9;10198;849;8.3
"..Transportation and Storage";1160;166;13.9;1063;142;13.4;1063;82;7.8;1043;36;3.4;1302;75;5.8
"..Accommodation and Food Service Activities";4775;510;10.7;4197;480;11.4;4220;314;7.4;4070;207;5.1;3620;299;8.3
"..Information and Communication";926;98;10.6;808;125;15.5;782;82;10.5;788;52;6.6;865;64;7.4
"..Financial and Insurance Activities";1532;98;6.4;1365;112;8.2;1332;99;7.4;1455;45;3.1;1855;166;8.9
"..Real Estate Activities";508;29;5.7;410;66;16.2;454;41;9.0;613;5;0.8;676;43;6.4
"..Professional, Scientific and Technical Activities";744;90;12.1;654;74;11.4;750;76;10.1;846;17;2.0;752;50;6.7
"..Administrative and Support Services Activities";2145;381;17.8;1797;207;11.5;1935;213;11.0;2445;257;10.5;2530;261;10.3
"..Education except Public Education";4139;514;12.4;3362;287;8.5;3610;192;5.3;3894;110;2.8;3234;125;3.9
"..Human Health and Social Work Activities except Public Health Activities";923;131;14.2;970;64;6.6;1048;101;9.6;1378;150;10.9;1365;176;12.9
"..Arts, Entertainment and Recreation";208;22;10.6;243;34;14.1;240;14;6.0;202;27;13.5;251;27;10.7
"..Other Service Activities except Activities of Membership Organizations";504;78;15.5;335;54;16.1;345;24;7.0;317;0;0.0;280;26;9.3
