"Time-Related Underemployment by Sex, Branch of Economic Activity and Class of Worker"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E4/0503K3E4100.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Time-related underemployment rate by sex, branch of economic activity and class of worker";"TOTAL";..;..;..;..;..;..;..;..;..;..;11.8;12.2;10.5;10.3;10.3;9.6;10.2;10.5;10.0;10.1;9.7;8.9;8.4;7.8
"Time-related underemployment rate by sex, branch of economic activity and class of worker";"..Men";..;..;..;..;..;..;..;..;..;..;12.4;12.9;11.2;11.0;11.0;10.2;10.8;11.1;10.5;10.8;10.3;9.3;8.8;7.9
"Time-related underemployment rate by sex, branch of economic activity and class of worker";"..Women";..;..;..;..;..;..;..;..;..;..;10.8;11.1;9.4;9.0;9.2;8.7;9.2;9.7;9.0;9.2;8.8;8.2;7.8;7.6
"Time-related underemployment rate by sex, branch of economic activity and class of worker";"..Agriculture";..;..;..;..;..;..;..;..;..;..;17.2;18.2;16.6;16.4;16.3;15.8;16.3;17.0;16.9;17.0;16.8;15.7;14.5;14.4
"Time-related underemployment rate by sex, branch of economic activity and class of worker";"..Industry";..;..;..;..;..;..;..;..;..;..;9.8;10.4;8.3;8.1;8.5;7.5;8.0;8.4;7.3;8.1;7.9;6.4;7.0;5.7
"Time-related underemployment rate by sex, branch of economic activity and class of worker";"..Services";..;..;..;..;..;..;..;..;..;..;8.4;8.4;6.9;6.6;6.8;6.3;6.9;7.2;6.7;6.8;6.5;6.3;6.1;5.7
"Time-related underemployment rate by sex, branch of economic activity and class of worker";"..Wage and Salary Workers";..;..;..;..;..;..;..;..;..;..;9.7;10.1;8.3;8.2;8.4;7.7;8.4;9.0;8.3;8.4;7.9;7.2;7.0;6.4
"Time-related underemployment rate by sex, branch of economic activity and class of worker";"..Employers";..;..;..;..;..;..;..;..;..;..;8.8;9.0;8.5;8.5;8.3;8.0;7.8;7.8;8.4;8.0;7.8;7.6;8.3;7.7
"Time-related underemployment rate by sex, branch of economic activity and class of worker";"..Self-Employed";..;..;..;..;..;..;..;..;..;..;14.6;14.9;12.9;12.5;12.5;12.0;12.6;12.8;12.4;12.9;12.8;11.9;11.2;10.6
"Time-related underemployment rate by sex, branch of economic activity and class of worker";"..Unpaid Family Workers";..;..;..;..;..;..;..;..;..;..;14.1;15.4;14.6;14.0;13.8;13.0;13.1;13.4;13.2;13.0;12.7;11.9;10.3;10.7
"Number of time-related underemployed by sex, branch of economic activity and class of worker (000)";"TOTAL";..;..;..;..;..;..;..;..;..;..;3829;3989;3533;3495;3609;3469;3783;3953;3795;3916;3766;3629;3389;3211
"Number of time-related underemployed by sex, branch of economic activity and class of worker (000)";"..Men";..;..;..;..;..;..;..;..;..;..;2468;2588;2304;2311;2352;2239;2440;2526;2440;2517;2409;2327;2204;2015
"Number of time-related underemployed by sex, branch of economic activity and class of worker (000)";"..Women";..;..;..;..;..;..;..;..;..;..;1362;1401;1229;1184;1257;1230;1343;1427;1354;1399;1357;1302;1185;1196
"Number of time-related underemployed by sex, branch of economic activity and class of worker (000)";"..Agriculture";..;..;..;..;..;..;..;..;..;..;2012;2126;1956;1969;1967;1885;1996;2054;1997;2003;1894;1735;1485;1441
"Number of time-related underemployed by sex, branch of economic activity and class of worker (000)";"..Industry";..;..;..;..;..;..;..;..;..;..;492;519;423;408;431;403;443;484;436;501;495;457;517;445
"Number of time-related underemployed by sex, branch of economic activity and class of worker (000)";"..Services";..;..;..;..;..;..;..;..;..;..;1325;1343;1154;1118;1211;1180;1343;1414;1361;1412;1377;1438;1387;1325
"Number of time-related underemployed by sex, branch of economic activity and class of worker (000)";"..Wage and Salary Workers";..;..;..;..;..;..;..;..;..;..;1582;1681;1457;1456;1568;1511;1724;1930;1844;1877;1814;1817;1761;1669
"Number of time-related underemployed by sex, branch of economic activity and class of worker (000)";"..Employers";..;..;..;..;..;..;..;..;..;..;134;128;121;121;120;111;105;104;107;97;94;104;124;115
"Number of time-related underemployed by sex, branch of economic activity and class of worker (000)";"..Self-Employed";..;..;..;..;..;..;..;..;..;..;1555;1564;1365;1333;1336;1306;1390;1364;1327;1403;1365;1317;1253;1180
"Number of time-related underemployed by sex, branch of economic activity and class of worker (000)";"..Unpaid Family Workers";..;..;..;..;..;..;..;..;..;..;559;616;591;584;584;541;564;555;517;540;492;391;250;248
"Total employed by sex, branch of economic activity and class of worker (000)";"TOTAL";25677;27186;26365;26631;27742;27452;29156;30062;30635;31613;32539;32636;33560;34089;35061;36035;37192;37600;38118;38651;38741;40998;40334;41157
"Total employed by sex, branch of economic activity and class of worker (000)";"..Men";16322;17170;16610;16714;17253;17193;17923;18306;18873;19646;19961;20013;20542;20959;21404;21921;22573;22849;23150;23365;23406;25035;25067;25424
