"Number of Total Paid Employees, Unionized Workers and CBA Coverage in Establishments Employing 20 or More Workers by Sex and Region: August 2022"

"Region";"2022 Paid Employees Both Sexes";"2022 Paid Employees Male";"2022 Paid Employees Female";"2022 Unionized Workers Both Sexes";"2022 Unionized Workers Male";"2022 Unionized Workers Female";"2022 CBA Coverage Both Sexes";"2022 CBA Coverage Male";"2022 CBA Coverage Female"
"PHILIPPINES";5346253;3070390;2275863;345754;206258;139496;446756;264010;182746
"..National Capital Region";2281773;1304497;977276;144648;70391;74257;187784;94635;93149
"..Cordillera Administrative Region";80743;46208;34535;7852;5289;2564;8751;5764;2986
"..Region I - Ilocos Region";88015;56016;32000;1837;1357;481;2527;1793;734
"..Region II - Cagayan Valley";68136;41011;27125;6107;4278;1829;7780;5230;2550
"..Region III - Central Luzon";441998;249848;192150;41940;23255;18685;56385;29801;26584
"..Region IVA - CALABARZON";597176;311332;285844;36082;23889;12194;45902;28977;16925
"..MIMAROPA Region";46403;29393;17010;2387;2070;317;2073;1876;197
"..Region V - Bicol Region";87387;51714;35672;3108;2235;873;3464;2395;1069
"..Region VI - Western Visayas";241002;138746;102255;10369;7547;2822;13965;9579;4385
"..Region VII - Central Visayas";582996;300609;282387;16126;11867;4259;19911;14508;5403
"..Region VIII - Eastern Visayas";68827;44441;24386;4965;4032;933;5741;4588;1153
"..Region IX - Zamboanga Peninsula";77782;49469;28313;2935;1848;1087;4431;2580;1851
"..Region X - Northern Mindanao";176047;114085;61962;21137;14301;6837;31649;20473;11176
"..Region XI - Davao Region";250347;164900;85447;27076;21768;5308;34975;27987;6988
"..Region XII - SOCCSKSARGEN";167413;103490;63923;13788;7881;5907;15128;8794;6334
"..Region XIII - Caraga";82821;60086;22735;5247;4187;1061;6290;5029;1261
"..Bangsamoro Autonomous Region in Muslim Mindanao";7387;4544;2843;148;64;84;0;0;0
