"Total population by age group, sex, region, province, and highly urbanized city: 2010"

"Geolocation";"2010 Male Below 5";"2010 Male 5-9";"2010 Male 10-14";"2010 Male 15-19";"2010 Male 20-24";"2010 Male 25-29";"2010 Male 30-34";"2010 Male 35-39";"2010 Male 40-44";"2010 Male 45-49";"2010 Male 50-54";"2010 Male 55-59";"2010 Male 60-64";"2010 Male 65-69";"2010 Male 70-74";"2010 Male 75-79";"2010 Male 80 and over";"2010 Female Below 5";"2010 Female 5-9";"2010 Female 10-14";"2010 Female 15-19";"2010 Female 20-24";"2010 Female 25-29";"2010 Female 30-34";"2010 Female 35-39";"2010 Female 40-44";"2010 Female 45-49";"2010 Female 50-54";"2010 Female 55-59";"2010 Female 60-64";"2010 Female 65-69";"2010 Female 70-74";"2010 Female 75-79";"2010 Female 80 and over"
"PHILIPPINES";5293211;5332287;5237006;4931506;4256999;3746311;3443582;3057323;2778661;2367809;1953952;1475861;1064116;680227;492152;286079;237175;4940573;4989256;4942604;4773848;4151657;3677412;3329347;2956630;2692927;2312840;1940898;1511287;1164283;817330;650410;421036;428518
"..National Capital Region (NCR)";607086;591812;573633;562466;579410;564809;512395;426504;371312;308970;254811;184773;129979;67275;45303;25404;19976;565180;550448;546520;598710;630244;600472;519373;430555;385816;328620;275329;204090;150991;88509;68743;43806;42651
"....City of Manila";83611;80851;76951;80866;85561;80144;69898;56838;50361;42834;35818;26443;18855;9538;6660;3770;2789;78755;75505;73430;86781;91326;82686;68739;56093;52066;45324;38811;29755;22769;13273;10847;7298;6925
"....City of Mandaluyong";15194;15297;14493;15185;16983;16959;14548;11996;10097;8564;7551;5673;4347;1916;1364;822;1246;13681;13268;14000;15685;17587;17366;14662;12200;11036;10459;8789;5925;4433;2609;2124;1301;1339
"....City of Marikina";19126;20300;21090;20783;19998;18712;17347;14863;13703;11389;9680;7201;5461;2799;2255;1262;852;17903;19188;20073;21879;21724;20050;17941;15551;14545;12327;10460;8231;6485;3838;3170;2069;1895
"....City of Pasig";33683;33385;32202;29843;31446;32407;30478;25728;21221;16737;13550;9766;7414;3792;2615;1507;1101;31218;30751;30612;32414;35526;35126;31782;26108;22205;17926;15320;11498;8808;5045;3846;2452;2261
"....Quezon City";143170;138317;133959;133765;136397;130991;116652;97503;85439;70619;57762;40999;28045;14748;9883;5895;4872;131038;128147;128697;144875;150922;140641;120753;100645;90484;76832;63701;46451;33163;19997;15644;10000;10714
"....City of San Juan";4512;4634;4827;5038;5330;5353;4900;4266;3798;3334;2673;2219;1535;939;602;373;463;4166;4772;5009;6470;7291;7019;5838;4830;4824;4207;3434;2537;2194;1081;981;890;1091
"....Caloocan City";82393;80733;78936;74581;70863;66322;61173;52185;47161;39737;32197;22750;15323;8123;5245;2632;1759;77716;75005;75281;76294;73237;68361;60994;51533;47022;40522;32931;23910;17635;10089;7799;4525;4073
"....City of Malabon";18195;18679;18063;17387;17029;15970;15070;12720;11317;9342;7906;5838;4193;2064;1416;703;558;17389;17242;17136;17252;17064;16200;14774;12356;11196;9647;8307;6150;4697;2767;2119;1317;1274
