"Number of Agency-Hired Workers in Establishments with 20 or More Workers by Type of Jobs/Services Contracted Out and Region: August 2022"

"REGION";"2022 Total Workers Hired through Contractors";"2022 ..Security Services";"2022 ..Janitorial";"2022 ..General Administrative";"2022 ..Marketing/ Sales";"2022 ..Packaging";"2022 ..Production/ Assembly";"2022 ..Research and Development";"2022 ..IT Services";"2022 ..Food Service/ Catering";"2022 ..Logistics/ Transport";"2022 ..Repair/ Maintenance/ Construction";"2022 ..Warehousing";"2022 ..Medical and Health Services";"2022 ..Cashier";"2022 ..Messengerial";"2022 ..Billing/ Payment";"2022 ..Human Resource";"2022 ..Data Processing/Encoding";"2022 ..Finance/ Accounting";"2022 ..Learning/Training";"2022 ..Others"
"PHILIPPINES";590779;133646;65499;13307;23211;33562;174547;702;4716;13766;20389;35460;25707;3780;7400;20817;1059;1597;3749;3484;798;3583
"..National Capital Region";173379;42122;25282;6945;7707;5301;13088;374;3649;5850;9455;9461;14760;1342;2077;20082;251;639;1774;2085;129;1008
"..Cordillera Administrative Region";7128;3588;2204;67;112;146;211;0;29;84;17;259;14;101;0;0;5;11;238;42;0;0
"..Region I - Ilocos Region";7727;2719;1248;118;972;472;480;0;17;191;66;391;53;25;100;4;56;4;33;39;49;689
"..Region II - Cagayan Valley";6598;2370;898;125;361;78;1784;0;68;21;70;311;78;164;10;11;165;10;51;26;0;0
"..Region III - Central Luzon";70266;11552;5142;1487;1615;1915;34840;56;173;2520;2036;2632;1803;249;1474;203;55;142;1138;358;18;859
"..Region IV-A - CALABARZON";100184;15345;9660;1256;2678;9081;46827;37;285;2158;4021;4075;2740;466;667;95;86;115;20;217;26;328
"..MIMAROPA Region";1757;1058;205;106;135;0;52;0;6;25;25;41;26;3;10;4;6;3;0;17;0;35
"..Region V - Bicol Region";8883;2960;880;47;947;539;1263;0;26;392;73;697;164;25;757;2;34;10;24;28;0;15
"..Region VI - Western Visayas";17319;7637;3627;332;237;71;1331;22;116;438;310;1754;606;202;153;15;5;12;29;62;10;350
"..Region VII - Central Visayas";55627;15249;5865;343;489;4374;21416;9;80;851;1518;2742;1221;395;243;148;60;118;121;249;13;124
"..Region VIII - Eastern Visayas";5808;2461;533;220;152;127;55;1;15;12;101;1054;212;169;210;18;21;5;50;26;366;0
"..Region IX - Zamboanga Peninsula";8185;2869;546;84;565;92;2956;0;2;19;24;617;292;6;56;2;0;6;29;16;0;2
"..Region X - Northern Mindanao";40566;7527;2763;463;877;4976;16400;24;107;914;1112;2396;1336;250;820;43;53;196;109;110;12;79
"..Region XI - Davao Region";32095;6672;2592;763;399;5116;12165;98;25;197;408;1613;1151;88;378;31;40;267;18;67;0;6
"..Region XII - SOCCSKSARGEN";38346;5807;2952;209;5364;1187;19346;62;90;27;384;1165;923;59;179;44;73;51;105;95;173;48
"..Region XIII - CARAGA";15229;3254;973;739;531;86;2334;12;23;63;770;5631;320;5;257;109;45;1;1;33;2;37
"..Bangsamoro Autonomous Region in Muslim Mindanao";1682;453;128;3;70;0;0;8;5;5;0;621;8;231;9;5;102;6;10;14;0;3
