"Total Number of Persons Engaged in Establishments with 20 or More Workers by Type of Workers and Region: August 2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__ESGW/1251B3GE011.px/table/tableViewLayout1/?rxid=0ec582ae-b7c4-4c2a-b388-da8afdf16e38"
"REGION";"2022 Total Employment";"2022 ..Working Owners";"2022 ..Unpaid Workers";"2022 ..Paid Employees (PE)";"2022 ....PE_Managers/Executives";"2022 ....PE_Supervisors/Foremen";"2022 ....PE_Rank and File";"2022 ......RF_Regular Workers";"2022 ......RF_Non-Regular Workers";"2022 Agency-Hired Workers"
"PHILIPPINES";5370453;18741;5459;5346253;264858;416750;4664646;3674202;990443;590779
"..National Capital Region";2286436;4294;369;2281773;162321;219985;1899467;1523838;375629;173379
"..Cordillera Administrative Region";81343;534;66;80743;4019;6181;70542;56599;13943;7128
"..Region I - Ilocos Region";89152;485;652;88015;3215;4680;80121;65838;14283;7727
"..Region II - Cagayan Valley";69123;960;27;68136;3272;5773;59092;49886;9206;6598
"..Region III - Central Luzon";443845;1740;107;441998;15553;32123;394323;299077;95245;70266
"..Region IV-A - CALABARZON";599211;1779;255;597176;20887;42449;533840;420922;112919;100184
"..MIMAROPA Region";46978;472;103;46403;1505;2232;42667;32167;10500;1757
"..Region V - Bicol Region";88761;837;537;87387;4089;5723;77575;63200;14375;8883
"..Region VI - Western Visayas";242669;1055;612;241002;7839;17183;215979;175618;40361;17319
"..Region VII - Central Visayas";584448;1295;157;582996;17281;32968;532747;422346;110401;55627
"..Region VIII - Eastern Visayas";70531;576;1129;68827;1935;4016;62876;48634;14241;5808
"..Region IX - Zamboanga Peninsula";79666;981;902;77782;2052;3868;71863;61423;10439;8185
"..Region X - Northern Mindanao";177336;1004;286;176047;5818;11935;158294;117786;40507;40566
"..Region XI - Davao Region";251464;1092;24;250347;8887;14418;227041;159228;67813;32095
"..Region XII - SOCCSKSARGEN";160709;696;63;159951;3313;7779;148859;115258;33601;38346
"..Region XIII - CARAGA";83793;803;169;82821;2415;4518;75889;50278;25611;15229
"..Bangsamoro Autonomous Region in Muslim Mindanao";14988;139;0;14849;460;918;13472;12103;1368;1682
