"Total Number of Persons Engaged in Establishments with 20 or More Workers by Type of Workers, Sex and Major Industry Group, Philippines: June 2014 to August 2022"

"Sex";"Major Industry Group";"2014 Total Employment";"2014 ..Working Owners";"2014 ..Unpaid Workers";"2014 ..Paid Employees (PE)";"2014 ....PE_Managers/Executives";"2014 ....PE_Supervisors/Foremen";"2014 ....PE_Rank and File";"2014 ......RF_Regular Workers";"2014 ......RF_Non-Regular Workers";"2014 Agency-Hired Workers";"2016 Total Employment";"2016 ..Working Owners";"2016 ..Unpaid Workers";"2016 ..Paid Employees (PE)";"2016 ....PE_Managers/Executives";"2016 ....PE_Supervisors/Foremen";"2016 ....PE_Rank and File";"2016 ......RF_Regular Workers";"2016 ......RF_Non-Regular Workers";"2016 Agency-Hired Workers";"2018 Total Employment";"2018 ..Working Owners";"2018 ..Unpaid Workers";"2018 ..Paid Employees (PE)";"2018 ....PE_Managers/Executives";"2018 ....PE_Supervisors/Foremen";"2018 ....PE_Rank and File";"2018 ......RF_Regular Workers";"2018 ......RF_Non-Regular Workers";"2018 Agency-Hired Workers";"2020 Total Employment";"2020 ..Working Owners";"2020 ..Unpaid Workers";"2020 ..Paid Employees (PE)";"2020 ....PE_Managers/Executives";"2020 ....PE_Supervisors/Foremen";"2020 ....PE_Rank and File";"2020 ......RF_Regular Workers";"2020 ......RF_Non-Regular Workers";"2020 Agency-Hired Workers";"2022 Total Employment";"2022 ..Working Owners";"2022 ..Unpaid Workers";"2022 ..Paid Employees (PE)";"2022 ....PE_Managers/Executives";"2022 ....PE_Supervisors/Foremen";"2022 ....PE_Rank and File";"2022 ......RF_Regular Workers";"2022 ......RF_Non-Regular Workers";"2022 Agency-Hired Workers"
"Both Sexes";"ALL INDUSTRIES";4471785;25358;9722;4436706;232547;330404;3873754;2538081;1335673;621905;4384678;18309;1518;4364851;230845;329978;3804028;2613331;1190697;691341;5077410;16079;1229;5060102;247509;382036;4430558;3362129;1068429;644416;5321630;18854;10865;5291912;251078;420441;4620393;3712592;907801;572839;5370453;18741;5459;5346253;264858;416750;4664646;3674202;990443;590779
"Both Sexes";"..Agriculture, Forestry and Fishing";238774;1602;27;237145;3169;12267;221710;120688;101022;43955;155231;833;229;154169;2579;9112;142477;86307;56170;25507;154421;832;62;153526;3081;9678;140768;86377;54391;38802;153761;437;21;153303;2828;7722;142753;90132;52621;12616;139190;593;452;138146;2474;7387;128285;92291;35994;26913
"Both Sexes";"..Mining and Quarrying";40407;123;15;40269;1615;4175;34479;20795;13685;9073;30727;65;0;30662;1508;3737;25417;18467;6950;11513;33549;39;0;33510;1231;4080;28199;19895;8303;12583;41496;86;2;41408;1956;5874;33578;29186;4391;5534;35338;41;21;35276;1215;5329;28732;20576;8156;8239
"Both Sexes";"..Manufacturing";1005562;4768;808;999986;36329;69199;894458;603330;291128;244538;994455;3850;160;990445;35029;71334;884082;614259;269824;311722;1080553;3273;146;1077135;35126;74800;967208;731044;236164;258598;1009735;2584;526;1006626;34589;71973;900064;749602;150462;259134;1058420;3305;997;1054118;34725;79773;939620;752322;187297;249277
"Both Sexes";"..Electricity, Gas, Steam and Air Conditioning Supply";69330;116;777;68438;5915;14518;48005;41790;6215;22260;41354;22;0;41332;2998;6019;32315;28184;4131;14982;62352;300;12;62040;4612;12108;45320;39906;5414;14300;45229;69;0;45161;3494;7593;34074;30547;3527;13303;53131;49;0;53083;4031;9018;40033;35022;5011;14395
"Both Sexes";"..Water Supply; Sewerage, Waste Management and Remediation Activities";31378;51;414;30913;2645;2327;25941;17003;8938;3119;30585;7;0;30578;2652;1854;26072;15286;10786;1843;33262;33;0;33229;3288;2223;27718;17460;10258;2874;31135;32;18;31085;3297;1753;26035;16829;9206;2969;35093;63;0;35031;2038;3159;29833;20799;9034;3079
"Both Sexes";"..Construction";188496;928;23;187545;5619;9270;172656;61029;111627;6500;243490;776;5;242710;6256;16286;220168;64539;155629;9969;284970;836;27;284107;7153;16318;260636;103667;156969;6921;285082;1130;126;283827;6083;18832;258912;91569;167342;7797;267103;1001;45;266057;7209;16494;242354;119510;122844;7774
"Both Sexes";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";577711;4729;411;572571;36101;52499;483971;337884;146087;90727;559419;3660;24;555735;34595;48336;472805;345142;127663;93867;600554;3161;367;597027;35509;55980;505538;401986;103553;113323;763765;3756;230;759778;35318;59625;664835;596848;67987;124275;649376;4992;1816;642568;35165;56704;550699;448491;102208;86276
"Both Sexes";"..Transportation and Storage";148483;564;2566;145353;6241;8319;130793;100825;29969;19944;164726;678;390;163659;9510;11343;142806;106877;35929;38511;161040;583;40;160417;6703;11118;142595;113147;29448;14350;152529;581;702;151246;6277;11871;133098;114952;18146;8662;176204;950;25;175229;8817;13731;152681;125955;26726;22069
"Both Sexes";"..Accommodation and Food Service Activities";250611;2242;1567;246802;19242;19434;208127;121997;86130;43354;215750;1723;71;213955;15668;16356;181931;110882;71049;38148;239226;1418;21;237786;17344;19445;200998;148281;52717;44810;190955;1993;3651;185310;13700;16438;155172;133625;21547;14447;211260;984;30;210246;14147;14804;181295;128623;52673;20461
"Both Sexes";"..Information and Communication";136057;312;262;135483;12611;24437;98435;80632;17803;18153;116685;204;62;116419;11495;16983;87941;68456;19485;11017;142051;162;36;141854;11390;24305;106158;87609;18549;11221;140444;246;128;140070;10081;16897;113091;100519;12573;4514;140312;257;9;140046;11697;16891;111458;95712;15746;5432
"Both Sexes";"..Financial and Insurance Activities";262569;622;142;261805;41235;29506;191064;168916;22148;33781;243532;195;22;243315;50028;31248;162038;136974;25064;29548;301312;256;21;301034;60989;41530;198515;170328;28188;39231;376797;1992;742;374064;61627;50813;261625;236954;24671;24907;382575;672;1070;380833;55220;46291;279322;253023;26299;22015
"Both Sexes";"..Real Estate Activities";40767;180;0;40587;5673;5749;29165;21368;7797;13551;45190;193;0;44997;5639;7031;32327;22130;10197;17960;52831;178;0;52653;5990;8317;38346;30391;7955;9259;59865;146;0;59719;7946;7263;44510;37442;7068;11442;65619;220;0;65400;8269;8900;48230;37548;10682;15829
"Both Sexes";"..Professional, Scientific and Technical Activities";95788;742;54;94992;8969;9311;76712;54463;22249;7971;108609;625;0;107984;10840;16749;80394;62309;18085;9650;100612;415;7;100191;8832;11974;79384;66926;12459;9934;104780;662;365;103754;9855;18783;75116;63133;11983;6220;97775;605;13;97157;8695;9693;78769;61684;17085;3258
"Both Sexes";"..Administrative and Support Services Activities";915774;1172;55;914548;25643;43260;845645;479617;366027;17060;967699;664;20;967015;20542;43968;902505;632097;270408;32027;1314868;638;113;1314118;23208;55489;1235421;994909;240511;22418;1451192;839;2293;1448060;28678;89070;1330312;1059879;270433;46891;1554358;790;216;1553352;46066;90642;1416644;1123366;293278;68585
"Both Sexes";"..Education except Public Education";307479;5779;1235;300465;13930;14106;272429;196549;75880;26906;271023;3318;362;267343;13152;13784;240407;162301;78106;23606;293817;2836;288;290694;13102;15576;262016;187155;74860;23005;279078;2687;1131;275260;14417;15929;244915;183012;61903;15048;269272;2385;345;266543;13343;16716;236484;183856;52628;15553
"Both Sexes";"..Human Health and Social Work Activities except Public Health Activities";108250;1093;1280;105876;4510;7654;93713;75070;18642;12045;135173;1246;170;133757;4657;9637;119463;99962;19501;13222;157186;957;49;156180;5447;12742;137990;118602;19389;16752;177856;1388;472;175996;7299;13473;155224;138680;16544;13185;184786;1537;412;182836;8440;14572;159824;139590;20234;17007
"Both Sexes";"..Arts, Entertainment and Recreation";30888;101;7;30780;1938;3236;25606;21187;4419;7364;46655;60;1;46594;2883;5387;38325;28599;9726;7171;48887;56;11;48820;3582;4961;40277;32999;7278;4996;45798;120;458;45220;2867;4642;37712;30580;7132;1782;38419;155;0;38264;2816;6080;29368;26039;3329;4056
"Both Sexes";"..Other Service Activities except Activities of Membership Organizations";23460;234;80;23146;1161;1139;20845;14938;5908;1602;14373;190;0;14183;816;814;12553;10561;1993;1078;15919;106;31;15782;921;1390;13471;11447;2024;1038;12131;107;0;12024;767;1889;9368;9104;264;113;12221;143;8;12070;492;566;11013;9795;1217;561
"Female";"ALL INDUSTRIES";1748619;.;.;.;.;.;.;.;.;.;1870998;7738;563;1862698;112079;147949;1602669;1157541;445128;.;2198954;6294;422;2192236;121933;176575;1893728;1477492;416236;.;2320210;8172;5525;2306513;125586;193841;1987085;1656305;330780;.;2286070;7138;3068;2275863;134350;192725;1948789;1556782;392007;.
"Female";"..Agriculture, Forestry and Fishing";37336;.;.;.;.;.;.;.;.;.;26638;231;8;26399;697;2028;23673;14406;9267;.;33689;214;7;33468;798;2645;30025;14565;15460;.;31993;176;1;31816;785;2176;28855;14784;14071;.;29112;184;208;28719;791;1946;25982;17126;8856;.
"Female";"..Mining and Quarrying";3599;.;.;.;.;.;.;.;.;.;3684;47;0;3637;415;865;2357;1975;382;.;3789;19;0;3771;302;971;2497;1836;661;.;5343;53;0;5291;648;1481;3161;2572;589;.;4476;15;12;4449;344;1327;2778;1893;885;.
"Female";"..Manufacturing";423912;.;.;.;.;.;.;.;.;.;448671;1493;79;447099;13124;27767;406207;278224;127984;.;492856;1205;110;491538;13562;29526;448451;333842;114608;.;465455;746;220;464489;13658;28400;422431;348165;74266;.;474781;1120;677;472984;14441;31917;426625;334963;91662;.
"Female";"..Electricity, Gas, Steam and Air Conditioning Supply";12693;.;.;.;.;.;.;.;.;.;8933;5;0;8928;844;1798;6286;5652;634;.;12516;13;3;12501;1280;2902;8318;7329;990;.;10167;29;0;10138;1208;2276;6654;6105;550;.;11409;3;0;11406;1562;2752;7092;6234;858;.
"Female";"..Water Supply; Sewerage, Waste Management and Remediation Activities";6330;.;.;.;.;.;.;.;.;.;6935;13;0;6922;1055;731;5137;3812;1325;.;7683;17;0;7665;1328;885;5452;3940;1512;.;7669;5;4;7661;1411;881;5368;3934;1435;.;8081;10;0;8071;870;1228;5974;4643;1332;.
