"Underemployment by Sex, Branch of Economic Activity and Class of Worker"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E4/0493K3E4090.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Underemployment rate by sex, branch of economic activity and class of worker";"TOTAL";20.0;21.0;21.9;21.6;22.1;21.7;17.2;17.0;17.0;17.6;21.0;22.6;20.1;19.3;19.1;18.8;19.3;20.0;19.3;18.4;18.5;18.3;16.1;16.4
"Underemployment rate by sex, branch of economic activity and class of worker";"..Men";21.8;23.0;23.8;23.9;24.9;24.0;19.8;19.7;19.6;20.1;23.6;25.4;22.9;22.0;21.7;21.3;21.8;22.4;21.8;20.8;20.9;20.7;17.8;18.1
"Underemployment rate by sex, branch of economic activity and class of worker";"..Women";16.9;17.7;18.6;17.8;17.5;17.8;13.0;12.8;13.0;13.5;16.8;18.1;15.8;14.9;15.0;14.8;15.4;16.2;15.5;14.7;14.9;14.6;13.4;13.6
"Underemployment rate by sex, branch of economic activity and class of worker";"..Agriculture";24.5;25.5;26.5;26.5;26.2;26.2;22.1;22.2;22.6;23.5;26.7;28.7;26.7;26.1;25.6;25.6;25.4;26.8;26.4;25.2;25.7;25.9;21.3;23.3
"Underemployment rate by sex, branch of economic activity and class of worker";"..Industry";19.2;21.2;21.9;22.3;23.5;22.2;18.2;18.4;17.1;17.5;21.9;23.6;20.2;19.7;19.8;19.3;20.6;20.8;19.9;19.9;20.3;19.0;17.6;17.1
"Underemployment rate by sex, branch of economic activity and class of worker";"..Services";15.5;16.3;17.7;17.3;18.0;17.9;12.9;12.4;12.7;13.3;16.5;17.8;15.4;14.4;14.5;14.2;15.0;15.6;15.1;14.1;14.2;14.4;13.3;13.2
"Underemployment rate by sex, branch of economic activity and class of worker";"..Wage and Salary Workers";18.7;19.7;20.8;21.0;22.1;21.2;17.3;16.8;16.7;17.0;20.0;21.5;18.6;17.9;17.8;17.5;18.5;19.3;18.4;17.4;17.4;17.1;15.6;15.3
"Underemployment rate by sex, branch of economic activity and class of worker";"..Employers";15.9;18.6;16.9;18.0;19.2;19.2;16.1;17.3;18.0;17.0;17.9;19.0;18.0;16.8;16.7;16.6;16.0;15.7;16.0;14.5;14.8;15.2;15.2;16.3
"Underemployment rate by sex, branch of economic activity and class of worker";"..Self-Employed";21.6;22.8;23.8;22.8;22.9;22.8;17.2;17.7;17.6;18.7;23.3;25.0;22.8;21.7;21.6;21.2;21.6;22.3;21.9;21.3;21.7;21.7;18.1;19.2
"Underemployment rate by sex, branch of economic activity and class of worker";"..Unpaid Family Workers";21.4;21.6;22.6;22.0;21.4;21.9;16.9;16.1;16.4;18.1;20.0;21.9;20.3;20.0;19.2;19.0;18.1;19.3;18.7;17.5;17.6;17.4;13.6;14.7
