"Unemployment by Level of Education and Sex"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E2/0243K3F2070.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Sex";"Educational Level";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Unemployment by Level of Education, % Distribution";"TOTAL";"ALL LEVELS";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Unemployment by Level of Education, % Distribution";"TOTAL";"..No Schooling";2.0;2.2;2.1;2.2;1.8;1.9;2.0;1.9;2.0;2.4;0.7;0.7;0.7;0.5;0.5;0.5;0.4;0.5;0.5;0.4;0.3;0.7;0.7;0.9
"Unemployment by Level of Education, % Distribution";"TOTAL";"..Primary";23.3;23.4;23.5;24.1;21.7;21.8;21.3;20.6;20.9;20.7;15.2;15.2;15.1;14.0;13.3;13.1;12.6;13.2;13.0;11.8;12.1;12.9;13.4;13.3
"Unemployment by Level of Education, % Distribution";"TOTAL";"..Secondary";42.6;42.2;42.6;42.4;42.7;42.3;43.2;42.8;42.2;43.0;44.5;45.7;46.1;45.5;45.2;45.2;45.1;45.1;44.4;43.4;44.6;42.8;43.8;42.6
"Unemployment by Level of Education, % Distribution";"TOTAL";"..Post Secondary";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;8.2;8.0;8.2;8.1;8.5;8.3;6.2
"Unemployment by Level of Education, % Distribution";"TOTAL";"..Tertiary";31.6;31.6;31.1;30.6;33.0;32.9;33.5;34.7;34.9;34.0;39.5;38.5;38.2;40.0;41.1;41.2;42.0;32.9;34.1;36.2;34.9;35.2;33.8;37.0
"Unemployment by Level of Education, % Distribution";"TOTAL";"..Not Reported";0.4;0.6;0.7;0.8;0.8;1.1;0.0;....;....;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Unemployment by Level of Education, % Distribution";"Men";"ALL LEVELS";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Unemployment by Level of Education, % Distribution";"Men";"..No Schooling";1.8;2.0;1.9;1.8;1.5;1.6;1.6;1.5;1.7;2.0;0.6;0.6;0.7;0.6;0.4;0.6;0.4;0.5;0.6;0.5;0.4;0.7;0.7;1.0
"Unemployment by Level of Education, % Distribution";"Men";"..Primary";24.3;24.6;24.6;25.3;23.1;23.4;22.4;22.0;22.3;22.4;17.3;17.6;17.6;16.6;16.2;15.9;14.9;15.6;15.5;14.2;14.6;15.3;15.9;16.6
"Unemployment by Level of Education, % Distribution";"Men";"..Secondary";45.0;43.6;44.4;44.3;44.1;43.8;46.0;45.5;44.0;43.9;45.7;46.4;46.8;46.8;46.7;46.7;46.5;46.2;45.7;45.5;46.7;44.1;46.1;43.4
"Unemployment by Level of Education, % Distribution";"Men";"..Post Secondary";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;8.0;7.6;7.9;7.5;8.0;7.5;5.9
"Unemployment by Level of Education, % Distribution";"Men";"..Tertiary";28.5;29.0;28.3;27.6;30.5;30.1;30.0;31.0;32.0;31.7;36.4;35.3;35.0;36.1;36.8;36.8;38.2;29.7;30.6;32.0;30.9;31.9;29.9;33.0
"Unemployment by Level of Education, % Distribution";"Men";"..Not Reported";0.6;0.8;0.8;0.9;0.9;1.2;0.0;....;....;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Unemployment by Level of Education, % Distribution";"Women";"ALL LEVELS";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Unemployment by Level of Education, % Distribution";"Women";"..No Schooling";2.3;2.4;2.4;2.6;2.2;2.5;2.6;2.5;2.3;2.8;0.9;0.7;0.7;0.4;0.6;0.4;0.4;0.5;0.4;0.3;0.3;0.7;0.6;0.6
"Unemployment by Level of Education, % Distribution";"Women";"..Primary";22.1;21.8;22.0;22.2;19.5;19.5;19.7;18.6;18.9;18.0;11.9;10.9;10.9;9.6;8.6;8.3;8.6;9.3;8.9;7.8;7.7;8.8;8.6;7.8
"Unemployment by Level of Education, % Distribution";"Women";"..Secondary";39.4;40.4;40.3;39.7;40.7;39.9;39.2;38.9;39.5;41.5;42.7;44.4;44.7;43.5;42.8;42.6;42.7;43.3;42.1;39.7;41.1;40.5;39.6;41.2
"Unemployment by Level of Education, % Distribution";"Women";"..Post Secondary";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;8.7;8.6;8.8;9.0;9.2;9.9;6.6
"Unemployment by Level of Education, % Distribution";"Women";"..Tertiary";36.0;35.0;34.8;35.0;36.9;37.4;38.6;40.0;39.3;37.6;44.6;43.9;43.7;46.6;48.2;48.7;48.4;38.3;39.9;43.5;42.0;40.7;41.3;43.8
"Unemployment by Level of Education, % Distribution";"Women";"..Not Reported";0.2;0.4;0.5;0.5;0.7;0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Total Unemployed by Level of Education (000)";"TOTAL";"ALL LEVELS";2704;2546;2537;3043;3017;3459;3653;3874;3936;4249;2748;2829;2653;2716;2831;2859;2814;2826;2905;2728;2602;2363;2441;2303
"Total Unemployed by Level of Education (000)";"TOTAL";"..No Schooling";55;55;53;66;53;66;73;73;78;100;20;19;18;14;13;14;11;14;15;10;9;16;16;20
"Total Unemployed by Level of Education (000)";"TOTAL";"..Primary";631;596;596;732;656;755;777;799;824;879;418;429;401;380;377;374;354;373;379;322;314;305;326;307
"Total Unemployed by Level of Education (000)";"TOTAL";"..Secondary";1152;1075;1082;1291;1289;1463;1579;1659;1660;1826;1223;1293;1222;1237;1280;1293;1268;1275;1289;1183;1161;1011;1070;981
"Total Unemployed by Level of Education (000)";"TOTAL";"..Post Secondary";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;233;231;224;210;200;203;143
"Total Unemployed by Level of Education (000)";"TOTAL";"..Tertiary";854;804;788;930;996;1139;1223;1343;1373;1446;1086;1089;1013;1086;1163;1178;1181;931;991;988;908;831;825;852
"Total Unemployed by Level of Education (000)";"TOTAL";"..Not Reported";11;16;17;24;25;38;0;....;....;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Total Unemployed by Level of Education (000)";"Men";"ALL LEVELS";1585;1464;1474;1819;1852;2113;2174;2295;2343;2558;1685;1798;1675;1714;1770;1808;1772;1767;1818;1728;1656;1486;1601;1456
"Total Unemployed by Level of Education (000)";"Men";"..No Schooling";28;29;28;33;27;33;35;35;41;52;10;11;12;11;7;10;7;9;10;8;7;10;11;15
"Total Unemployed by Level of Education (000)";"Men";"..Primary";385;360;363;461;427;494;487;506;523;574;292;317;294;284;287;287;264;275;282;245;241;227;255;241
"Total Unemployed by Level of Education (000)";"Men";"..Secondary";713;638;654;805;816;925;1000;1045;1031;1122;770;835;784;802;827;845;824;816;831;786;773;656;738;632
"Total Unemployed by Level of Education (000)";"Men";"..Post Secondary";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;141;138;136;125;119;120;86
"Total Unemployed by Level of Education (000)";"Men";"..Tertiary";451;425;417;502;565;636;653;712;750;810;613;635;586;619;651;666;677;525;557;553;512;474;478;481
"Total Unemployed by Level of Education (000)";"Men";"..Not Reported";9;11;12;17;17;26;0;....;....;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Total Unemployed by Level of Education (000)";"Women";"ALL LEVELS";1118;1082;1062;1223;1165;1346;1478;1579;1592;1692;1062;1031;978;1002;1062;1051;1041;1059;1087;1000;945;877;840;847
"Total Unemployed by Level of Education (000)";"Women";"..No Schooling";26;26;26;32;26;33;38;39;37;48;10;7;7;4;6;4;4;5;4;3;3;6;5;5
"Total Unemployed by Level of Education (000)";"Women";"..Primary";247;236;234;272;227;262;291;294;301;304;126;112;107;96;91;87;90;98;97;78;73;77;72;66
"Total Unemployed by Level of Education (000)";"Women";"..Secondary";440;437;428;485;474;537;580;615;629;703;453;458;437;436;455;448;444;459;458;397;388;355;333;349
"Total Unemployed by Level of Education (000)";"Women";"..Post Secondary";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;92;93;88;85;81;83;56
"Total Unemployed by Level of Education (000)";"Women";"..Tertiary";403;379;370;428;430;503;570;631;625;636;474;453;427;467;512;512;504;406;434;435;397;357;347;371
"Total Unemployed by Level of Education (000)";"Women";"..Not Reported";2;4;5;6;8;12;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
