"Unemployment Rate"

"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Unemployment Rate (%)";"TOTAL";9.5;8.6;8.8;10.3;9.8;11.2;11.1;11.4;11.4;11.8;7.8;8.0;7.3;7.4;7.5;7.4;7.0;7.0;7.1;6.6;6.3;5.4;5.7;5.3
"Unemployment Rate (%)";"..Men";8.9;7.9;8.2;9.8;9.7;10.9;10.8;11.1;11.0;11.5;7.8;8.2;7.5;7.6;7.6;7.6;7.3;7.2;7.3;6.9;6.6;5.6;6.0;5.4
"Unemployment Rate (%)";"..Women";10.7;9.7;9.8;11.0;10.0;11.6;11.6;11.8;11.9;12.4;7.8;7.6;7.0;7.1;7.2;6.9;6.6;6.7;6.8;6.1;5.8;5.2;5.2;5.1
"Unemployment Rate (%)";"..15-24 years old";19.8;17.7;18.3;21.4;21.0;24.2;23.3;24.2;23.2;23.9;17.2;17.8;16.8;17.4;17.6;17.6;16.3;16.2;16.1;15.3;15.0;13.5;14.4;13.4
"Unemployment Rate (%)";"..25 and over";6.1;5.5;5.7;6.7;6.4;7.2;7.3;7.5;7.8;8.2;5.1;5.1;4.7;4.6;4.7;4.6;4.5;4.5;4.6;4.2;4.0;3.5;3.7;3.6
"Unemployment Rate (%)";"....25-54";6.3;5.6;5.8;6.8;6.5;7.4;7.6;7.8;8.0;8.1;5.6;5.7;5.1;5.1;5.2;5.1;4.9;4.9;5.1;4.7;4.5;3.9;4.1;3.9
"Unemployment Rate (%)";"….55+";5.4;5.2;5.5;6.3;5.5;6.0;6.4;6.3;7.1;8.2;2.3;2.3;2.3;2.2;2.2;2.1;2.0;2.2;2.3;1.9;1.7;1.7;2.1;1.8
"Total Unemployed (000)";"TOTAL";2704;2546;2537;3043;3017;3459;3653;3874;3936;4249;2748;2829;2653;2716;2831;2859;2814;2826;2905;2728;2602;2363;2441;2303
"Total Unemployed (000)";"..Men";1585;1464;1474;1819;1852;2113;2174;2295;2343;2558;1685;1798;1675;1714;1770;1808;1772;1767;1818;1728;1656;1486;1601;1456
"Total Unemployed (000)";"..Women";1118;1082;1062;1223;1165;1346;1478;1579;1592;1692;1062;1031;978;1002;1062;1051;1041;1059;1087;1000;945;877;840;847
"Total Unemployed (000)";"..15-24 years old";1405;1321;1292;1527;1520;1766;1819;1919;1861;2009;1353;1415;1335;1389;1437;1460;1417;1412;1409;1351;1276;1137;1139;1027
"Total Unemployed (000)";"..25 and over";1299;1225;1246;1516;1497;1694;1834;1954;2074;2239;1395;1414;1317;1327;1393;1399;1395;1413;1495;1377;1326;1226;1302;1276
"Total Unemployed (000)";"....25-54";1084;1019;1039;1262;1260;1438;1535;1643;1731;1859;1291;1314;1213;1223;1284;1293;1289;1296;1375;1275;1233;1119;1172;1158
"Total Unemployed (000)";"….55+";215;206;207;254;237;256;299;311;343;380;104;100;104;104;109;106;106;117;120;102;92;108;130;118
"Total Labor Force (000)";"TOTAL";28380;29733;28901;29674;30759;30911;32809;33936;34571;35862;35286;35464;36213;36805;37892;38893;40006;40426;41022;41379;41342;43361;42775;43460
"Total Labor Force (000)";"..Men";17907;18634;18085;18533;19104;19307;20098;20601;21216;22204;21646;21811;22217;22673;23173;23729;24345;24616;24968;25093;25062;26521;26667;26880
"Total Labor Force (000)";"..Women";10473;11098;10817;11141;11654;11605;12711;13335;13354;13659;13641;13653;13995;14132;14719;15164;15660;15810;16055;16286;16280;16840;16107;16579
"Total Labor Force (000)";"..15-24 years old";7084;7450;7051;7129;7234;7290;7811;7946;8015;8396;7851;7947;7962;7968;8168;8276;8675;8734;8744;8859;8531;8402;7919;7647
"Total Labor Force (000)";"..25 and over";21296;22283;21850;22545;23524;23621;24998;25989;26555;27466;27433;27518;28250;28836;29723;30617;31330;31694;32277;32520;32812;34959;34856;35813
"Total Labor Force (000)";"....25-54";17302;18288;18066;18496;19251;19325;20317;21067;21756;22829;22886;23203;23728;24185;24852;25526;26118;26471;26977;27180;27415;28619;28664;29375
"Total Labor Force (000)";"….55+";3994;3995;3784;4049;4273;4296;4681;4922;4799;4637;4547;4315;4522;4651;4871;5091;5212;5223;5300;5340;5397;6340;6192;6438
