"Union Density Rate by Sex and Branch of Economic Activity"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E11/0943K3E1101.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Union density rate";"TOTAL";30.5;..;..;..;..;..;..;..;20.2;16.3;..;..;..;12.5;..;10.6;..;9.9;..;7.7;..;6.5;..;..
"Union density rate";"..Men";32.5;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;10.5;..;8.2;..;7.4;..;..
"Union density rate";"..Women";27.0;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;9.0;..;6.8;..;5.3;..;..
"Union density rate";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;23.1;..;13.3;..;19.5;..;..
"Union density rate";"..Industry";38.8;..;..;..;..;..;..;..;22.7;20.1;..;..;..;16.8;..;15.7;..;13.2;..;11.2;..;8.9;..;..
"Union density rate";"..Services";23.6;..;..;..;..;..;..;..;18.1;13.3;..;..;..;9.9;..;7.9;..;7.2;..;5.5;..;4.7;..;..
"Total union membership (000)";"TOTAL";692;..;..;..;541;..;..;..;521;389;..;401;..;373;..;319;..;371;..;340;..;283;..;..
"Total union membership (000)";"..Men";470;..;..;..;349;..;..;..;359;252;..;262;..;235;..;198;..;237;..;222;..;184;..;..
"Total union membership (000)";"..Women";222;..;..;..;193;..;..;..;162;138;..;139;..;138;..;121;..;134;..;118;..;99;..;..
"Total union membership (000)";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;39;..;32;..;30;..;..
"Total union membership (000)";"..Industry";400;..;..;..;322;..;..;..;265;210;..;218;..;189;..;166;..;163;..;149;..;119;..;..
"Total union membership (000)";"..Services";292;..;..;..;220;..;..;..;256;179;..;183;..;185;..;154;..;169;..;159;..;134;..;..
"Total employees (000)";"TOTAL";2270;..;..;..;..;..;..;..;2582;2393;..;..;..;2991;..;3020;..;3739;..;4437;..;4365;..;..
"Total employees (000)";"..Men";1447;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2249;..;2696;..;2502;..;..
"Total employees (000)";"..Women";823;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1490;..;1741;..;1863;..;..
"Total employees (000)";"..Agriculture";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;169;..;237;..;154;..;..
"Total employees (000)";"..Industry";1032;..;..;..;..;..;..;..;1165;1044;..;..;..;1126;..;1059;..;1235;..;1327;..;1336;..;..
"Total employees (000)";"..Services";1238;..;..;..;..;..;..;..;1417;1349;..;..;..;1865;..;1961;..;2335;..;2872;..;2875;..;..
