"Number and Proportion of Unionized Workers and CBA Coverage in Establishments Employing 20 or More Workers by Major Industry Group, Philippines: June 2014 - August 2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__UCB/3251B3GU040.px/table/tableViewLayout1/?rxid=2e73dce7-6537-444e-a85a-4413f7d69373"
"Major Industry Group";"2014 Total Paid Employees";"2014 Unionized Workers";"2014 Proportion of Unionized Workers (Percent)";"2014 CBA Coverage";"2014 Proportion of Workers Covered by CBA (Percent)";"2016 Total Paid Employees";"2016 Unionized Workers";"2016 Proportion of Unionized Workers (Percent)";"2016 CBA Coverage";"2016 Proportion of Workers Covered by CBA (Percent)";"2018 Total Paid Employees";"2018 Unionized Workers";"2018 Proportion of Unionized Workers (Percent)";"2018 CBA Coverage";"2018 Proportion of Workers Covered by CBA (Percent)";"2020 Total Paid Employees";"2020 Unionized Workers";"2020 Proportion of Unionized Workers (Percent)";"2020 CBA Coverage";"2020 Proportion of Workers Covered by CBA (Percent)";"2022 Total Paid Employees";"2022 Unionized Workers";"2022 Proportion of Unionized Workers (Percent)";"2022 CBA Coverage";"2022 Proportion of Workers Covered by CBA (Percent)"
"ALL INDUSTRIES";4436706;340370;7.7;359745;8.1;4364851;283081;6.5;313267;7.2;5060102;353625;7.0;361632;7.1;5291912;316458;6.0;333776;6.3;5346253;345754;6.5;446756;8.4
"..Agriculture, Forestry and Fishing";237145;31539;13.3;34077;14.4;154169;29951;19.4;30499;19.8;153526;31276;20.4;30916;20.1;153303;8404;5.5;8554;5.6;138146;28789;20.8;39050;28.3
"..Mining and Quarrying";40269;5066;12.6;5188;12.9;30662;7349;24.0;7766;25.3;33510;10107;30.2;9842;29.4;41408;10099;24.4;11278;27.2;35276;10614;30.1;12821;36.3
"..Manufacturing";999986;116862;11.7;121505;12.2;990445;90696;9.2;101196;10.2;1077135;116424;10.8;120817;11.2;1006626;114046;11.3;120152;11.9;1054118;119804;11.4;163669;15.5
"..Electricity, Gas, Steam and  Air Conditioning Supply";68438;18357;26.8;25030;36.6;41332;11544;27.9;11943;28.9;62040;15637;25.2;18327;29.5;45161;11239;24.9;11835;26.2;53083;10340;19.5;11357;21.4
"..Water Supply; Sewerage, Waste Management and Remediation Activities";30913;7291;23.6;6965;22.5;30578;7056;23.1;7661;25.1;33229;8937;26.9;8198;24.7;31085;6825;22.0;7559;24.3;35031;8675;24.8;7192;20.5
"..Construction";187545;1850;1.0;2385;1.3;242710;2088;0.9;3234;1.3;284107;3697;1.3;3697;1.3;283827;3019;1.1;3028;1.1;266057;6857;2.6;15944;6.0
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";572571;17837;3.1;18931;3.3;555735;22181;4.0;23890;4.3;597027;27704;4.6;27763;4.7;759778;39476;5.2;40061;5.3;642568;16139;2.5;27129;4.2
"..Transportation and Storage";145353;29956;20.6;30274;20.8;163659;24850;15.2;26247;16.0;160417;17722;11.0;17801;11.1;151246;15536;10.3;15758;10.4;175229;21278;12.1;19028;10.9
"..Accommodation and Food Service Activities";246802;5481;2.2;4637;1.9;213955;5539;2.6;6049;2.8;237786;8168;3.4;8345;3.5;185310;7191;3.9;7191;3.9;210246;2394;1.1;3075;1.5
"..Information and Communication";135483;17152;12.7;17493;12.9;116419;8051;6.9;9675;8.3;141854;13225;9.3;13225;9.3;140070;2787;2.0;2770;2.0;140046;11579;8.3;12889;9.2
"..Financial and Insurance Activities";261805;43303;16.5;44456;17.0;243315;33037;13.6;36032;14.8;301034;59625;19.8;59780;19.9;374064;51283;13.7;54077;14.5;380833;62433;16.4;73423;19.3
"..Real Estate Activities";40587;411;1.0;437;1.1;44997;1147;2.5;1275;2.8;52653;1464;2.8;1464;2.8;59719;525;0.9;525;0.9;65400;2437;3.7;3411;5.2
"..Professional, Scientific and Technical Activities";94992;2841;3.0;2863;3.0;107984;1265;1.2;1465;1.4;100191;695;0.7;710;0.7;103754;486;0.5;647;0.6;97157;1523;1.6;1667;1.7
"..Administrative and Support Service Activities";914548;3987;0.4;2151;0.2;967015;1105;0.1;1173;0.1;1314118;1048;0.1;992;0.1;1448060;556;a;567;a;1553352;264;a;622;a
"..Education Except Public Education";300465;17098;5.7;19350;6.4;267343;15418;5.8;19512;7.3;290694;15385;5.3;15882;5.5;275260;15599;5.7;18236;6.6;266543;16753;6.3;21557;8.1
"..Human Health and Social Work Activities Except Public Health Activities";105876;15799;14.9;18310;17.3;133757;17429;13.0;20596;15.4;156180;20061;12.8;21363;13.7;175996;20291;11.5;22064;12.5;182836;23944;13.1;30392;16.6
"..Arts, Entertainment and Recreation";30780;4438;14.4;4593;14.9;46594;4193;9.0;4872;10.5;48820;2410;4.9;2469;5.1;45220;9096;20.1;9474;21.0;38264;1932;5.0;3528;9.2
"..Other Service Activities Except Activities of Membership Organizations";23146;1102;4.8;1102;4.8;14183;182;1.3;184;1.3;15782;41;0.3;41;0.3;12024;0;0.0;0;0.0;12070;0;0.0;0;0.0
