"Number of Unionized Workers in Establishments Employing 20 or More Workers by Major Industry Group and Sex, Philippines: June 2014 to August 2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__UCB/4001B3GU050.px/table/tableViewLayout1/?rxid=2e73dce7-6537-444e-a85a-4413f7d69373"
"Major Industry Group";"2014 Both Sexes";"2014 ..Male";"2014 ..Female";"2016 Both Sexes";"2016 ..Male";"2016 ..Female";"2018 Both Sexes";"2018 ..Male";"2018 ..Female";"2020 Both Sexes";"2020 ..Male";"2020 ..Female";"2022 Both Sexes";"2022 ..Male";"2022 ..Female"
"ALL INDUSTRIES";340370;222405;117965;283081;183901;99180;353625;217340;136285;316458;172924;143534;345754;206258;139496
"..Agriculture, Forestry and Fishing";31539;23413;8125;29951;23792;6159;31276;25344;5931;8404;6929;1475;28789;22128;6662
"..Mining and Quarrying";5066;4697;369;7349;6726;623;10107;9266;840;10099;9594;505;10614;9764;851
"..Manufacturing";116862;81211;35652;90696;63837;26859;116424;83148;33276;114046;71203;42843;119804;79952;39852
"..Electricity, Gas, Steam and Air Conditioning Supply";18357;14624;3733;11544;9153;2391;15637;12863;2774;11239;8720;2519;10340;8149;2191
"..Water Supply; Sewerage, Waste Management and Remediation Activities";7291;5713;1578;7056;5228;1828;8937;6939;1997;6825;5399;1426;8675;6829;1847
"..Construction";1850;1532;317;2088;1871;217;3697;3110;587;3019;2901;118;6857;6356;501
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";17837;9142;8695;22181;11393;10788;27704;12785;14919;39476;12875;26601;16139;8690;7449
"..Transportation and Storage";29956;26601;3355;24850;21851;2999;17722;15922;1800;15536;14017;1519;21278;18213;3065
"..Accommodation and Food Service Activities";5481;3868;1613;5539;3896;1643;8168;5253;2914;7191;4907;2284;2394;1571;823
"..Information and Communication";17152;12511;4641;8051;5976;2075;13225;9247;3978;2787;1870;917;11579;9063;2516
"..Financial and Insurance Activities";43303;16650;26653;33037;11765;21272;59625;16880;42746;51283;15344;35939;62433;16267;46166
"..Real Estate Activities";411;310;101;1147;627;520;1464;569;895;525;377;148;2437;1715;722
"..Professional, Scientific and Technical Activities";2841;1815;1025;1265;675;590;695;450;244;486;358;128;1523;804;718
"..Administrative and Support Service Activities";3987;3753;235;1105;911;194;1048;953;95;556;263;293;264;179;85
"..Education Except Public Education";17098;6797;10301;15418;6555;8863;15385;6366;9020;15599;6653;8946;16753;7684;9069
"..Human Health and Social Work Activities Except Public Health Activities";15799;6852;8947;17429;7287;10142;20061;6835;13226;20291;6957;13334;23944;7892;16053
"..Arts, Entertainment and Recreation";4438;2742;1697;4193;2195;1998;2410;1390;1020;9096;4558;4538;1932;1004;928
"..Other Service Activities Except Activities of Membership Organizations";1102;175;926;182;163;19;41;20;21;0;0;0;0;0;0
