"Number of Unionized Workers, Union Officers and Presidents in Establishments Employing 20 or More Workers by Sex and Region:  August 2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__UCB/7601B3GU093.px/table/tableViewLayout1/?rxid=2e73dce7-6537-444e-a85a-4413f7d69373"
"Region";"2022 Unionized Workers Both Sexes";"2022 Unionized Workers Male";"2022 Unionized Workers Female";"2022 Union Officers Both Sexes";"2022 Union Officers Male";"2022 Union Officers Female";"2022 Union Presidents Both Sexes";"2022 Union Presidents Male";"2022 Union Presidents Female"
"PHILIPPINES";345754;206258;139496;11453;8314;3140;1200;1005;194
"..National Capital Region";144648;70391;74257;3581;2637;945;370;313;57
"..Cordillera Administrative Region";7852;5289;2564;156;116;39;10;9;1
"..Region I - Ilocos Region";1837;1357;481;172;147;25;17;16;1
"..Region II - Cagayan Valley";6107;4278;1829;494;363;131;38;34;5
"..Region III - Central Luzon";41940;23255;18685;1131;853;277;155;142;13
"..Region IVA - CALABARZON";36082;23889;12194;1419;1109;309;116;98;18
"..MIMAROPA Region";2387;2070;317;17;14;3;5;4;1
"..Region V - Bicol Region";3108;2235;873;362;253;110;35;25;11
"..Region VI - Western Visayas";10369;7547;2822;511;351;159;44;33;11
"..Region VII - Central Visayas";16126;11867;4259;633;447;186;74;62;12
"..Region VIII - Eastern Visayas";4965;4032;933;396;331;64;49;48;1
"..Region IX - Zamboanga Peninsula";2935;1848;1087;188;106;82;20;12;8
"..Region X - Northern Mindanao";21137;14301;6837;768;436;331;84;59;25
"..Region XI - Davao Region";27076;21768;5308;876;668;208;103;88;15
"..Region XII - SOCCSKSARGEN";13788;7881;5907;373;178;196;46;33;13
"..Region XIII - Caraga";5247;4187;1061;371;305;67;34;30;3
"..Bangsamoro Autonomous Region in Muslim Mindanao";148;64;84;6;0;6;0;0;0
