"Number of Unionized Workers in Establishments Employing 20 or More Workers by Type of Ownership and Sex, Philippines: June 2014 to June 2016"

"Type of Ownership";"Sex";"2014";"2016"
"Filipino";"Both Sexes";258869;213171
"Filipino";"..Male";173052;138348
"Filipino";"..Female";85817;74822
"Foreign";"Both Sexes";31148;24837
"Foreign";"..Male";16490;15500
"Foreign";"..Female";14657;9337
"Joint Venture";"Both Sexes";27530;22354
"Joint Venture";"..Male";16337;13888
"Joint Venture";"..Female";11193;8466
"Multinational";"Both Sexes";22823;22719
"Multinational";"..Male";16525;16164
"Multinational";"..Female";6298;6555
