"Total Number of Establishments with and without Vacancies by Major Industry Group, Philippines: January 2013 - June 2014 to September 2021 - August 2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OSS/1001B3GS010.px/table/tableViewLayout1/?rxid=8a8a8c67-d058-4943-a972-f0ab3d83f510"
"Major Industry Group";"2014 Total";"2014 ..With Vacancies";"2014 ..Without Vacancies";"2016 Total";"2016 ..With Vacancies";"2016 ..Without Vacancies";"2018 Total";"2018 ..With Vacancies";"2018 ..Without Vacancies";"2020 Total";"2020 ..With Vacancies";"2020 ..Without Vacancies";"2022 Total";"2022 ..With Vacancies";"2022 ..Without Vacancies"
"ALL INDUSTRIES";35209;15986;19222;31277;16144;15132;32517;16448;16069;34543;11244;23299;36342;13012;23330
"..Agriculture, Forestry and Fishing";1370;256;1114;1151;289;862;1147;262;884;951;85;866;1125;150;975
"..Mining and Quarrying";195;64;131;156;94;62;152;69;83;150;40;110;165;53;112
"..Manufacturing";6562;2676;3886;6068;3015;3053;5980;2901;3079;5923;2202;3721;6213;2035;4178
"..Electricity, Gas, Steam and Air Conditioning Supply";422;176;247;249;143;106;282;168;114;263;111;151;296;165;131
"..Water Supply; Sewerage, Waste Management and Remediation Activities";315;143;172;334;170;164;341;172;169;331;209;122;376;139;237
"..Construction";1042;494;548;986;512;474;1006;489;517;1193;539;654;1238;446;792
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";7744;3860;3877;7127;3626;3501;7829;4023;3806;8681;2777;5904;10198;3340;6858
"..Transportation and Storage";1155;528;628;1063;469;594;1063;478;586;1043;318;725;1302;483;818
"..Accommodation and Food Service Activities";4775;2179;2595;4197;2207;1990;4220;2155;2066;4070;984;3086;3620;1280;2340
"..Information and Communication";926;484;442;808;484;324;782;419;363;788;314;474;865;379;486
"..Financial and Insurance Activities";1532;544;988;1365;792;573;1332;748;584;1455;470;985;1855;737;1118
"..Real Estate Activities";508;243;265;410;229;181;454;205;249;613;131;482;676;285;391
"..Professional, Scientific and Technical Activities";744;467;277;654;377;278;750;438;312;846;294;552;752;279;474
"..Administrative and Support Services Activities";2145;1260;885;1797;1094;703;1935;1110;825;2445;971;1475;2530;1078;1453
"..Education except Public Education";4139;1578;2561;3362;1667;1695;3610;1814;1796;3894;948;2947;3234;1159;2075
"..Human Health and Social Work Activities except Public Health Activities";923;711;219;970;647;323;1048;737;311;1378;715;663;1365;856;509
"..Arts, Entertainment and Recreation";208;86;122;243;136;107;240;102;138;202;24;178;251;67;184
"..Other Service Activities except Activities of Membership Organizations";504;237;267;335;194;140;345;158;186;317;113;204;280;80;199
