"Number of Job Vacancies and Applicants in Establishments Employing 20 or More Workers  Type of Position and by Major Industry Group, Philippines: September 2021 to August 2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OSS/6101B3GS085.px/table/tableViewLayout1/?rxid=8a8a8c67-d058-4943-a972-f0ab3d83f510"
"MAJOR INDUSTRY GROUP";"2022 TOTAL Number of Vacancies";"2022 TOTAL Number of Applicants";"2022 Entry-Level Number of Vacancies";"2022 Entry-Level Number of Applicants";"2022 Junior Number of Vacancies";"2022 Junior Number of Applicants";"2022 Senior Number of Vacancies";"2022 Senior Number of Applicants";"2022 Executive Number of Vacancies";"2022 Executive Number of Applicants"
"ALL INDUSTRIES";464593;1709417;383789;1237524;63126;358685;16261;100624;1417;12583
"..Agriculture, Forestry and Fishing";3039;4185;2730;3412;226;481;78;246;4;46
"..Mining and Quarrying";879;1899;670;1197;171;470;38;231;0;0
"..Manufacturing";92811;164983;83000;128155;8191;25284;1502;10721;118;823
"..Electricity, Gas, Steam and Air Conditioning Supply";1258;7663;769;4433;336;2720;142;490;11;20
"..Water Supply; Sewerage, Waste Management and Remediation Activities";1136;4874;560;2620;410;1648;112;536;54;70
"..Construction";9458;27977;6702;19487;2428;7304;295;1048;32;138
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";51018;166103;41616;114976;7701;39654;1585;10800;115;674
"..Transportation and Storage";7075;27088;4186;15091;2288;8517;558;2992;42;488
"..Accommodation and Food Service Activities";17442;77408;15184;67162;1740;6832;486;2822;33;592
"..Information and Communication";14975;147322;8055;78682;4086;54664;2816;13817;18;160
"..Financial and Insurance Activities";18038;75903;12989;50874;4256;17786;625;6242;168;1000
"..Real Estate Activities";3018;22818;1796;10987;1078;10497;133;1283;11;50
"..Professional, Scientific and Technical Activities";9160;47112;5322;23279;2360;12391;1289;9051;189;2391
"..Administrative and Support Services Activities";200464;852624;173766;658798;20709;150151;5428;37696;562;5979
"..Education except Public Education";15462;48834;10976;32889;3906;14630;550;1251;31;63
"..Human Health and Social Work Activities except Public Health Activities";17738;27958;14108;22196;3037;5060;567;641;26;61
"..Arts, Entertainment and Recreation";973;3552;801;2412;115;360;54;751;3;27
"..Other Service Activities except Activities of Membership Organizations";649;1115;560;873;87;238;2;5;0;0
