"Number of Job Vacancies and Applicants in Establishments Employing 20 or More Workers by Type of Position and by Major Occupation Group, Philippines: September 2021 to August 2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OSS/6201B3GS090.px/table/tableViewLayout1/?rxid=8a8a8c67-d058-4943-a972-f0ab3d83f510"
"Major Occupation Group";"2022 Total Number of Vacancies";"2022 Total Number of Applicants";"2022 Entry-Level Number of Vacancies";"2022 Entry-Level Number of Applicants";"2022 Junior Number of Vacancies";"2022 Junior Number of Applicants";"2022 Senior Number of Vacancies";"2022 Senior Number of Applicants";"2022 Executive Number of Vacancies";"2022 Executive Number of Applicants"
"ALL OCCUPATIONS";464593;1709417;383789;1237524;63126;358685;16261;100624;1417;12583
"..Managers";11524;92813;4058;27719;3519;32335;3285;26958;662;5800
"..Professionals";83407;421242;52968;228490;21427;146843;8487;40938;526;4971
"..Technicians and associate professionals";67170;299561;50895;186339;12624;85916;3423;25614;227;1692
"..Clerical support workers";143830;630286;132404;560565;10775;64046;649;5555;2;120
"..Service and sales workers";62887;136076;55111;117904;7553;16814;222;1359;0;0
"..Skilled agricultural, forestry and fishery workers";2151;2451;2125;2342;26;109;0;0;0;0
"..Craft and related trades workers";17188;30927;14008;25969;2984;4757;195;201;0;0
"..Plant and machine operators and assemblers";55555;60010;52034;54406;3521;5605;0;0;0;0
"..Elementary occupations";20882;36051;20185;33791;698;2260;0;0;0;0
