"Total Number of Establishments Employing 20 or More Workers with Vacancies by Methods Used in Promoting Vacancies to Obtain Applicants by Major Industry Group, Philippines: September 2021 to August 2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OSS/2701B3GS032.px/table/tableViewLayout1/?rxid=8a8a8c67-d058-4943-a972-f0ab3d83f510"
"Major Industry Group";"2022 Total Number of Establishments with Vacancies";"2022 ..On-the-job Trainees/ Apprentices";"2022 ..Walk-in";"2022 ..Public Employment Service Office Referral";"2022 ..Posting in Job Portals";"2022 ..Online Advertisements in Social Networking Sites";"2022 ..Head hunters/Private Recruitment Agencies";"2022 ..Job Fairs";"2022 ..On-site Campus Recruitment";"2022 ..Posting in School/ Company's Bulletin Board";"2022 ..Newspaper Ads";"2022 ..Word of Mouth (Through Friends or Relatives)";"2022 ..Employee Referral";"2022 ..Union Recommendation";"2022 ..Others"
"ALL INDUSTRIES";13012;5224;25846;6011;12493;15556;2010;6325;1844;4050;809;13425;23105;283;1252
"..Agriculture, Forestry and Fishing";150;118;658;91;152;255;35;98;31;88;24;469;772;19;50
"..Mining and Quarrying";53;29;105;25;56;45;2;32;7;17;3;65;94;6;7
"..Manufacturing";2035;838;4246;1052;2334;1906;418;860;237;625;159;2373;4144;94;179
"..Electricity, Gas, Steam and Air Conditioning Supply";165;99;201;62;106;178;23;55;19;58;9;111;168;7;37
"..Water Supply; Sewerage, Waste Management and Remediation Activities";139;64;235;32;131;138;5;30;7;118;4;118;160;3;96
"..Construction";446;204;841;137;464;494;60;135;37;53;44;436;746;10;28
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";3340;1133;7665;2267;3551;4132;551;2344;541;966;175;3665;6449;50;347
"..Transportation and Storage";483;228;983;156;422;486;54;164;28;90;22;499;843;21;26
"..Accommodation and Food Service Activities";1280;623;2882;726;947;1794;73;740;118;199;35;1143;2186;7;113
"..Information and Communication";379;200;432;87;549;450;145;140;58;112;25;296;588;9;35
"..Financial and Insurance Activities";737;397;1181;279;631;897;182;350;93;240;47;668;1051;8;76
"..Real Estate Activities";285;104;421;102;383;378;46;132;31;89;26;237;447;3;12
"..Professional, Scientific and Technical Activities";279;154;391;85;403;377;62;109;64;77;39;300;522;1;21
"..Administrative and Support Services Activities";1078;317;1799;480;1212;1266;201;629;184;235;95;1115;1830;10;63
"..Education except Public Education";1159;419;2439;183;533;1682;31;236;286;895;77;1184;1879;11;97
"..Human Health and Social Work Activities except Public Health Activities";856;206;1046;195;485;893;88;201;92;175;17;562;906;14;39
"..Arts, Entertainment and Recreation";67;46;134;27;66;100;11;41;6;5;3;87;134;8;23
"..Other Service Activities except Activities of Membership Organizations";80;43;186;25;68;83;21;28;3;7;4;99;185;0;3
