"Number of Vacancies in Establishments Employing 20 or More Workers by Type of Position and Occupation Title,  Philippines: September 2021 to August 2022"

"Major Occupation Group";"2022 Total Number of Vacancies";"2022 ..Entry-Level";"2022 ..Junior";"2022 ..Senior";"2022 ..Executive"
"ALL OCCUPATIONS";464593.32;383789.25;63126.36;16260.67;1417.05
"..Managers";11523.86;4058.33;3518.52;3284.81;662.21
"..Professionals";83407.07;52968.20;21426.55;8486.52;525.79
"..Technicians and associate professionals";67169.78;50895.26;12624.35;3423.47;226.70
"..Clerical support workers";143829.91;132404.16;10774.72;648.69;2.34
"..Service and sales workers";62886.65;55111.42;7553.17;222.06;0.00
"..Skilled agricultural, forestry and fishery workers";2151.05;2124.80;26.26;0.00;0.00
"..Craft and related trades workers";17187.82;14008.45;2984.24;195.12;0.00
"..Plant and machine operators and assemblers";55554.72;52033.92;3520.79;0.00;0.00
"..Elementary occupations";20882.47;20184.70;697.77;0.00;0.00
