"Total Number of Vacancies in Establishments with 20 or more Workers by Industry and Category, Philippines: January 2013 - June 2014 to September 2021 - August 2022"

"Major Industry Group";"2014 Total Number of Vacancies";"2014 ..Hard-to-fill vacancies";"2014 ..Easy-to-fill vacancies";"2016 Total Number of Vacancies";"2016 ..Hard-to-fill vacancies";"2016 ..Easy-to-fill vacancies";"2018 Total Number of Vacancies";"2018 ..Hard-to-fill vacancies";"2018 ..Easy-to-fill vacancies";"2020 Total Number of Vacancies";"2020 ..Hard-to-fill vacancies";"2020 ..Easy-to-fill vacancies";"2022 Total Number of Vacancies";"2022 ..Hard-to-fill vacancies";"2022 ..Easy-to-fill vacancies"
"ALL INDUSTRIES";.;.;.;698683;148868;549814;811775;221232;590543;315134;96455;218680;464593;239254;225339
"..Agriculture, Forestry and Fishing";.;.;.;6733;752;5981;3521;1047;2474;1267;432;836;3039;1941;1098
"..Mining and Quarrying";.;.;.;3146;719;2428;1278;418;860;358;122;236;879;409;471
"..Manufacturing";.;.;.;149174;27807;121367;115068;25948;89120;80498;17427;63071;92811;37112;55699
"..Electricity, Gas, Steam and Air Conditioning Supply";.;.;.;1336;535;800;2516;600;1916;1253;356;897;1258;599;659
"..Water Supply; Sewerage, Waste Management and Remediation Activities";.;.;.;2314;967;1347;1533;545;988;3133;694;2439;1136;264;871
"..Construction";.;.;.;21920;5211;16709;26732;11214;15518;21983;5796;16188;9458;3307;6151
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";.;.;.;86498;18953;67545;71369;22060;49309;49418;20326;29092;51018;26652;24365
"..Transportation and Storage";.;.;.;17638;6990;10648;10746;3170;7576;3382;1285;2096;7075;4154;2921
"..Accommodation and Food Service Activities";.;.;.;26737;2996;23741;32806;5943;26862;9229;2237;6992;17442;7690;9752
"..Information and Communication";.;.;.;15806;6487;9319;18394;5120;13274;9130;1695;7435;14975;7173;7802
"..Financial and Insurance Activities";.;.;.;22043;6692;15351;31677;12858;18819;7370;1640;5730;18038;9996;8042
"..Real Estate Activities";.;.;.;3785;1190;2595;3500;1406;2094;2013;780;1233;3018;1734;1284
"..Professional, Scientific and Technical Activities";.;.;.;15909;6212;9696;11426;5066;6359;13090;1797;11293;9160;7124;2037
"..Administrative and Support Services Activities";.;.;.;279494;45396;234098;435890;108260;327629;93394;30691;62703;200464;108897;91568
"..Education except Public Education";.;.;.;26407;9389;17018;26648;6963;19685;7757;2317;5440;15462;6487;8975
"..Human Health and Social Work Activities except Public Health Activities";.;.;.;13111;6921;6190;14836;9309;5526;10135;7554;2580;17738;15119;2619
"..Arts, Entertainment and Recreation";.;.;.;5203;965;4239;2321;660;1661;475;88;387;973;196;778
"..Other Service Activities except Activities of Membership Organizations";.;.;.;1429;687;741;1515;643;872;1248;1217;31;649;402;247
