"Visible underemployment by Sex, Branch of Economic Activity and Class of Worker"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__3K__E4/0493K3E4090.px/table/tableViewLayout1/?rxid=227f6805-9732-41b6-981c-ac178832d6db"
"Indicator";"Item";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Visible underemployment rate by sex, branch of economic activity and class of worker";"TOTAL";10.2;11.2;10.7;11.5;11.7;11.1;11.0;11.1;10.5;11.0;12.6;13.9;12.0;11.8;11.8;11.1;11.7;11.9;11.3;11.3;10.9;10.1;9.3;8.7
"Visible underemployment rate by sex, branch of economic activity and class of worker";"..Men";10.3;11.3;10.6;12.0;12.4;11.6;12.2;12.5;11.7;12.2;13.8;15.2;13.3;13.1;13.0;12.2;12.8;13.0;12.4;12.4;11.9;11.0;9.9;9.1
"Visible underemployment rate by sex, branch of economic activity and class of worker";"..Women";10.0;10.9;10.8;10.7;10.5;10.1;9.0;8.8;8.7;9.0;10.8;11.8;10.1;9.7;9.8;9.4;9.9;10.3;9.7;9.7;9.4;8.7;8.2;8.1
"Visible underemployment rate by sex, branch of economic activity and class of worker";"..Agriculture";15.1;16.4;16.4;17.9;17.1;16.7;16.7;17.1;16.7;17.9;19.8;21.7;19.8;19.7;19.6;19.2;19.7;20.2;20.0;19.7;19.6;18.9;16.7;16.8
"Visible underemployment rate by sex, branch of economic activity and class of worker";"..Industry";7.1;8.5;6.9;8.2;9.0;8.2;9.1;9.5;8.1;8.3;9.9;11.1;9.0;8.8;9.2;8.2;8.7;9.1;8.1;8.7;8.5;7.1;7.4;6.1
"Visible underemployment rate by sex, branch of economic activity and class of worker";"..Services";6.1;6.8;7.0;7.5;7.9;7.6;7.1;6.8;6.6;6.7;8.2;9.0;7.5;7.1;7.3;6.8;7.5;7.7;7.2;7.2;7.0;6.8;6.5;6.1
"Visible underemployment rate by sex, branch of economic activity and class of worker";"..Wage and Salary Workers";7.3;8.5;7.6;8.8;9.3;8.6;9.4;9.3;8.6;8.8;9.9;10.9;9.1;8.9;9.2;8.4;9.1;9.8;9.1;9.0;8.6;7.9;7.5;6.9
"Visible underemployment rate by sex, branch of economic activity and class of worker";"..Employers";8.9;11.0;9.7;10.4;10.7;10.6;11.3;12.3;12.4;12.2;11.6;12.2;11.0;11.2;10.9;11.0;10.5;10.1;10.5;10.1;9.9;9.7;10.1;10.1
"Visible underemployment rate by sex, branch of economic activity and class of worker";"..Self-Employed";11.9;12.9;13.1;13.9;13.9;13.4;12.2;12.7;12.2;12.9;16.0;17.5;15.4;15.1;15.0;14.6;15.3;15.3;14.8;15.0;14.9;14.2;12.8;12.3
"Visible underemployment rate by sex, branch of economic activity and class of worker";"..Unpaid Family Workers";15.3;15.7;16.2;16.2;15.5;15.4;13.7;13.0;13.0;15.0;15.4;17.4;16.1;15.8;15.5;15.0;14.8;15.3;14.7;14.2;13.9;13.4;11.2;11.6
"Number of visibly underemployed by sex, branch of economic activity and class of worker (000)";"TOTAL";2614;3042;2821;3073;3238;3040;3202;3322;3229;3472;4082;4532;4043;4018;4135;4015;4340;4489;4321;4365;4222;4149;3739;3581
"Number of visibly underemployed by sex, branch of economic activity and class of worker (000)";"..Men";1676;1946;1765;2011;2132;2000;2193;2285;2211;2398;2747;3038;2731;2744;2790;2682;2900;2965;2876;2886;2781;2753;2488;2312
"Number of visibly underemployed by sex, branch of economic activity and class of worker (000)";"..Women";937;1096;1056;1062;1106;1040;1010;1037;1018;1074;1336;1494;1312;1274;1345;1333;1440;1525;1445;1478;1441;1396;1251;1269
"Number of visibly underemployed by sex, branch of economic activity and class of worker (000)";"..Agriculture";1685;1910;1705;1804;1846;1703;1815;1907;1879;2040;2297;2536;2339;2371;2362;2294;2411;2438;2371;2327;2214;2088;1712;1681
"Number of visibly underemployed by sex, branch of economic activity and class of worker (000)";"..Industry";295;377;316;372;408;366;428;445;394;417;495;557;460;443;470;442;481;524;478;539;531;505;546;479
"Number of visibly underemployed by sex, branch of economic activity and class of worker (000)";"..Services";633;755;799;895;983;970;959;971;955;1014;1290;1439;1244;1205;1303;1279;1448;1528;1472;1499;1478;1556;1482;1421
"Number of visibly underemployed by sex, branch of economic activity and class of worker (000)";"..Wage and Salary Workers";870;1070;996;1172;1277;1198;1359;1362;1325;1453;1616;1819;1599;1595;1712;1657;1878;2098;2028;2023;1966;1998;1882;1802
"Number of visibly underemployed by sex, branch of economic activity and class of worker (000)";"..Employers";80;110;92;100;144;139;175;204;199;195;177;174;157;160;157;153;142;135;134;122;120;133;151;151
"Number of visibly underemployed by sex, branch of economic activity and class of worker (000)";"..Self-Employed";1082;1199;1149;1234;1231;1186;1147;1234;1213;1294;1690;1840;1632;1605;1611;1581;1684;1624;1580;1629;1599;1578;1433;1359
"Number of visibly underemployed by sex, branch of economic activity and class of worker (000)";"..Unpaid Family Workers";582;663;584;567;586;516;521;522;491;530;600;699;654;659;655;624;636;633;578;591;538;440;273;268
"Total employed by sex, branch of economic activity and class of worker (000)";"TOTAL";25677;27186;26365;26631;27742;27452;29156;30062;30635;31613;32313;32636;33560;34089;35061;36035;37192;37600;38118;38651;38741;40998;40334;41157
"Total employed by sex, branch of economic activity and class of worker (000)";"..Men";16322;17170;16610;16714;17253;17193;17923;18306;18873;19646;19910;20013;20542;20959;21404;21921;22573;22849;23150;23365;23406;25035;25067;25424
"Total employed by sex, branch of economic activity and class of worker (000)";"..Women";9354;10016;9754;9917;10489;10259;11232;11756;11762;11968;12403;12622;13018;13129;13657;14114;14619;14751;14968;15286;15335;15963;15267;15732
"Total employed by sex, branch of economic activity and class of worker (000)";"..Agriculture";11147;11645;10416;10091;10774;10181;10850;11122;11220;11381;11628;11682;11786;12030;12044;11956;12267;12093;11835;11801;11294;11064;10261;9998
"Total employed by sex, branch of economic activity and class of worker (000)";"..Industry";4140;4431;4582;4542;4515;4454;4713;4695;4840;4999;5025;4997;5121;5048;5092;5399;5530;5743;5937;6167;6275;7159;7370;7846
"Total employed by sex, branch of economic activity and class of worker (000)";"..Services";10391;11112;11367;11998;12452;12817;13593;14246;14577;15237;15661;15957;16654;17012;17924;18682;19394;19764;20345;20683;21172;22775;22703;23312
"Total employed by sex, branch of economic activity and class of worker (000)";"..Wage and Salary Workers";11870;12649;13043;13285;13761;13925;14438;14653;15354;16472;16316;16673;17508;17846;18681;19626;20538;21492;22247;22407;22960;25240;25209;26257
"Total employed by sex, branch of economic activity and class of worker (000)";"..Employers";894;996;949;966;1341;1315;1552;1662;1605;1604;1520;1425;1430;1426;1438;1394;1354;1335;1272;1210;1212;1376;1491;1489
"Total employed by sex, branch of economic activity and class of worker (000)";"..Self-Employed";9111;9330;8774;8891;8864;8869;9375;9737;9912;10011;10584;10525;10570;10654;10724;10858;10994;10626;10668;10869;10705;11097;11198;11090
"Total employed by sex, branch of economic activity and class of worker (000)";"..Unpaid Family Workers";3801;4211;3600;3490;3775;3344;3792;4009;3765;3527;3893;4012;4052;4161;4218;4157;4306;4147;3930;4166;3863;3285;2437;2320
