"Cases of Occupational Injuries With Workdays Lost in Establishments Employing 20 or More Workers by Industry Group and Cause of Injury, Philippines: 2013-2021"

"Major Industry Group";"2013 TOTAL";"2013 ..Falls of Persons";"2013 ..Struck by Falling Objects";"2013 ..Stepping on, Striking Against or Struck by Objects, excluding Falling Objects";"2013 ..Caught by or in Between Objects";"2013 ..Over-Exertion or Strenuous Movement";"2013 ..Exposure to or Contact with Extreme Temperatures";"2013 ..Exposure to or Contact with Electric Current";"2013 ..Exposure to or Contact with Harmful Substances or Radiation";"2013 ..Exposure to or Contact with Harmful Substances";"2013 ..Exposure to Radiation";"2013 ..Others";"2015 TOTAL";"2015 ..Falls of Persons";"2015 ..Struck by Falling Objects";"2015 ..Stepping on, Striking Against or Struck by Objects, excluding Falling Objects";"2015 ..Caught by or in Between Objects";"2015 ..Over-Exertion or Strenuous Movement";"2015 ..Exposure to or Contact with Extreme Temperatures";"2015 ..Exposure to or Contact with Electric Current";"2015 ..Exposure to or Contact with Harmful Substances or Radiation";"2015 ..Exposure to or Contact with Harmful Substances";"2015 ..Exposure to Radiation";"2015 ..Others";"2017 TOTAL";"2017 ..Falls of Persons";"2017 ..Struck by Falling Objects";"2017 ..Stepping on, Striking Against or Struck by Objects, excluding Falling Objects";"2017 ..Caught by or in Between Objects";"2017 ..Over-Exertion or Strenuous Movement";"2017 ..Exposure to or Contact with Extreme Temperatures";"2017 ..Exposure to or Contact with Electric Current";"2017 ..Exposure to or Contact with Harmful Substances or Radiation";"2017 ..Exposure to or Contact with Harmful Substances";"2017 ..Exposure to Radiation";"2017 ..Others";"2019 TOTAL";"2019 ..Falls of Persons";"2019 ..Struck by Falling Objects";"2019 ..Stepping on, Striking Against or Struck by Objects, excluding Falling Objects";"2019 ..Caught by or in Between Objects";"2019 ..Over-Exertion or Strenuous Movement";"2019 ..Exposure to or Contact with Extreme Temperatures";"2019 ..Exposure to or Contact with Electric Current";"2019 ..Exposure to or Contact with Harmful Substances or Radiation";"2019 ..Exposure to or Contact with Harmful Substances";"2019 ..Exposure to Radiation";"2019 ..Others";"2021 TOTAL";"2021 ..Falls of Persons";"2021 ..Struck by Falling Objects";"2021 ..Stepping on, Striking Against or Struck by Objects, excluding Falling Objects";"2021 ..Caught by or in Between Objects";"2021 ..Over-Exertion or Strenuous Movement";"2021 ..Exposure to or Contact with Extreme Temperatures";"2021 ..Exposure to or Contact with Electric Current";"2021 ..Exposure to or Contact with Harmful Substances or Radiation";"2021 ..Exposure to or Contact with Harmful Substances";"2021 ..Exposure to Radiation";"2021 ..Others"
"ALL INDUSTRIES";20702;1484;1717;8077;3920;1762;1274;480;1366;.;.;625;17859;1806;1658;5687;4061;1292;1456;270;1275;.;.;353;20797;2186;1619;7540;4365;1558;1782;473;.;1069;205;0;17762;2735;1429;3928;5066;1785;1633;267;.;824;56;40;12076;1399;1234;4119;2853;1017;693;224;.;443;95;.
"..Agriculture, Forestry and Fishing";2846;105;144;1144;389;143;106;43;534;.;.;239;1877;278;138;923;294;101;49;7;15;.;.;73;1466;156;114;886;132;110;20;7;.;38;3;0;766;151;44;262;213;64;13;9;.;10;1;0;1498;159;153;790;170;149;25;9;.;40;3;.
"..Mining and Quarrying";136;14;33;27;12;26;6;8;2;.;.;8;59;10;24;19;5;0;0;0;0;.;.;1;98;15;15;40;18;2;0;5;.;2;0;0;56;5;17;6;10;2;2;5;.;7;0;0;94;6;7;46;7;1;9;4;.;14;0;.
"..Manufacturing";10126;599;1019;4336;2389;585;631;84;296;.;.;189;8602;549;773;2158;2647;582;822;96;899;.;.;75;9157;602;561;3213;2391;806;796;178;.;469;142;0;8056;1156;582;1622;2822;546;632;100;.;548;38;12;5030;352;361;1613;1516;483;331;73;.;232;69;.
"..Electricity, Gas, Steam and Air Conditioning Supply";399;70;11;56;26;24;0;172;18;.;.;22;408;113;64;58;61;7;19;71;9;.;.;5;483;102;52;171;39;13;14;86;.;0;5;0;300;56;19;131;19;10;3;42;.;2;9;9;299;78;43;72;17;5;15;59;.;6;2;.
"..Water Supply; Sewerage, Waste Management and Remediation Activities";184;25;49;53;29;14;1;1;6;.;.;5;115;14;18;54;15;5;0;0;1;.;.;7;172;13;22;70;42;10;10;1;.;3;0;0;33;4;6;18;1;2;0;2;.;0;0;0;107;25;3;35;31;3;1;9;.;0;0;.
"..Construction";525;45;84;108;55;140;8;12;64;.;.;10;715;109;65;333;97;25;19;19;44;.;.;5;826;123;149;291;136;42;36;21;.;23;6;0;1436;393;130;328;409;111;16;32;.;12;3;2;810;75;133;237;260;33;25;21;.;26;0;.
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles Vehicles and Motorcycles";2155;233;119;1017;322;404;18;6;17;.;.;17;2045;182;224;790;456;230;38;23;74;.;.;29;2488;276;381;1011;444;192;71;63;.;44;8;0;1497;289;94;461;385;205;15;2;.;46;0;0;938;130;81;359;158;131;26;7;.;45;0;.
"..Transportation and Storage";1163;66;74;363;238;101;17;46;254;.;.;7;1037;142;161;434;189;18;29;5;48;.;.;11;1022;76;63;426;158;69;88;24;.;112;4;0;1171;263;77;394;383;24;5;10;.;10;5;0;396;72;68;132;74;22;13;5;.;9;1;.
"..Accommodation and Food Service Activities";1199;107;79;277;148;112;379;33;47;.;.;17;1015;78;25;256;65;115;396;19;58;.;.;3;1395;168;58;316;108;150;318;42;.;230;5;0;1136;20;38;121;54;7;800;10;.;87;0;0;452;68;32;118;49;2;146;6;.;29;1;.
"..Information and Communication";42;2;0;8;8;4;0;10;11;.;.;0;45;22;10;7;3;0;3;0;0;.;.;1;129;49;4;27;23;2;9;3;.;9;5;0;110;42;41;16;8;2;1;0;.;0;0;0;63;22;2;12;8;1;0;18;.;0;0;.
"..Financial and Insurance Activities";363;97;3;146;5;38;1;0;71;.;.;3;283;96;6;62;54;33;2;0;0;.;.;30;194;37;3;81;47;14;1;1;.;0;9;0;250;90;29;50;50;12;3;15;.;2;0;0;324;104;57;113;21;8;20;1;.;0;0;.
"..Real Estate Activities";80;1;1;14;27;1;0;35;0;.;.;0;44;1;8;19;7;1;1;1;1;.;.;6;126;20;15;46;8;5;14;5;.;14;0;0;20;0;6;14;0;0;0;0;.;0;0;0;70;5;25;28;11;0;0;0;.;0;0;.
"..Professional, Scientific and Technical Activities";119;27;0;90;0;0;1;0;0;.;.;0;54;15;12;13;6;4;1;0;0;.;.;3;338;203;1;20;26;1;72;6;.;7;2;0;32;0;2;25;2;2;2;0;.;0;0;0;55;15;4;14;1;6;6;0;.;5;4;.
"..Administrative and Support Service Activities";868;36;84;309;226;101;59;27;25;.;.;0;669;87;49;250;97;25;19;7;46;.;.;88;2154;187;115;706;722;55;254;11;.;91;13;0;2238;184;200;292;649;698;105;30;.;63;0;18;1417;155;206;406;504;73;45;6;.;23;0;.
"..Education Except Public Education";156;40;7;47;19;39;2;1;1;.;.;0;310;44;31;108;19;42;27;10;19;.;.;8;257;63;13;87;37;19;23;12;.;3;0;0;121;18;19;41;10;14;12;4;.;1;0;0;120;21;24;29;5;14;11;5;.;9;2;.
"..Human Health and Social Work Activities Except Public Health Activities";288;12;10;70;7;31;28;1;21;.;.;108;270;29;13;79;37;44;19;12;34;.;.;3;207;25;20;84;13;26;19;2;.;16;3;0;428;57;84;113;41;84;13;8;.;28;0;0;155;41;23;48;12;18;3;0;.;1;9;.
"..Arts, Entertainment and Recreation";12;0;0;10;2;0;0;0;0;.;.;0;250;30;37;116;5;44;6;0;7;.;.;5;271;69;34;55;21;43;36;5;.;9;0;0;105;7;41;33;11;0;7;0;.;7;0;0;213;50;12;61;8;65;10;0;.;4;4;.
"..Other Service Activities except Activities of Membership Organizations";41;4;0;2;18;0;17;0;0;.;.;0;59;8;0;9;3;17;5;0;18;.;.;0;14;4;0;8;2;0;0;0;.;0;0;0;7;0;0;0;0;5;2;0;.;0;0;0;34;20;0;5;0;1;8;0;.;0;0;.
