"Cases of Occupational Injuries With Workdays Lost in Establishments Employing 20 or More Workers by Industry Group and Major Occupation Group, Philippines: 2015-2021"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OID/3001B3GI051.px/table/tableViewLayout1/?rxid=6c884b7d-8541-43da-b80e-9f99195fb610"
"Major Industry Group";"2015 Total";"2015 ..Managers";"2015 ..Professionals";"2015 ..Technicians and Associate Professionals";"2015 ..Clerical Support Workers";"2015 ..Service and Sales Workers";"2015 ..Skilled Agricultural, Forestry and Fishery Workers";"2015 ..Craft and Related Trades Workers";"2015 ..Plant and Machine Operators and Assemblers";"2015 ..Elementary Occupations";"2017 Total";"2017 ..Managers";"2017 ..Professionals";"2017 ..Technicians and Associate Professionals";"2017 ..Clerical Support Workers";"2017 ..Service and Sales Workers";"2017 ..Skilled Agricultural, Forestry and Fishery Workers";"2017 ..Craft and Related Trades Workers";"2017 ..Plant and Machine Operators and Assemblers";"2017 ..Elementary Occupations";"2019 Total";"2019 ..Managers";"2019 ..Professionals";"2019 ..Technicians and Associate Professionals";"2019 ..Clerical Support Workers";"2019 ..Service and Sales Workers";"2019 ..Skilled Agricultural, Forestry and Fishery Workers";"2019 ..Craft and Related Trades Workers";"2019 ..Plant and Machine Operators and Assemblers";"2019 ..Elementary Occupations";"2021 Total";"2021 ..Managers";"2021 ..Professionals";"2021 ..Technicians and Associate Professionals";"2021 ..Clerical Support Workers";"2021 ..Service and Sales Workers";"2021 ..Skilled Agricultural, Forestry and Fishery Workers";"2021 ..Craft and Related Trades Workers";"2021 ..Plant and Machine Operators and Assemblers";"2021 ..Elementary Occupations"
"ALL INDUSTRIES";17859;181;471;1296;786;2833;1264;2034;5052;3943;20797;262;793;1276;961;4007;1677;1645;6278;3897;17762;106;556;1904;460;2444;1662;1597;5986;3048;12076;155;266;860;342;1721;1251;980;3509;2991
"..Agriculture, Forestry and Fishing";1877;8;6;48;19;26;1021;75;141;533;1466;7;9;23;11;44;964;45;69;295;766;2;2;10;4;7;454;32;91;164;1498;6;14;21;19;212;575;80;55;517
"..Mining and Quarrying";59;1;1;1;0;2;0;9;22;23;98;0;0;1;1;3;13;14;47;20;56;2;2;2;0;0;5;15;16;12;94;2;8;2;8;0;0;8;30;36
"..Manufacturing";8602;44;86;349;160;395;82;1391;4087;2006;9157;35;99;395;114;344;185;798;5206;1983;8056;33;70;1188;137;280;191;981;4196;980;5030;40;53;284;95;217;250;497;2787;808
"..Electricity, Gas, Steam and Air Conditioning Supply";408;0;6;158;39;53;10;23;26;93;483;15;40;197;35;15;10;34;54;84;300;3;32;150;11;8;0;30;30;35;299;2;26;154;10;30;0;19;23;34
"..Water Supply; Sewerage, Waste Management and Remediation Activities";115;0;0;1;0;6;0;16;46;46;172;1;0;3;7;7;6;13;87;48;33;0;2;3;2;11;0;11;4;2;107;0;23;15;5;8;4;3;19;31
"..Construction";715;7;27;76;22;76;4;177;81;246;826;24;44;44;47;50;78;228;147;165;1436;2;30;45;14;212;16;156;246;717;810;8;19;50;26;36;27;148;121;373
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles Vehicles and Motorcycles";2045;10;10;128;280;901;80;121;265;249;2488;62;72;180;121;1020;233;141;291;369;1497;12;65;123;44;553;165;133;153;249;938;7;2;63;37;275;62;101;95;296
"..Transportation and Storage";1037;14;66;143;53;128;24;99;149;361;1022;2;14;128;265;154;24;92;143;200;1171;12;34;40;30;42;89;50;352;521;396;1;5;31;19;78;10;17;59;176
"..Accommodation and Food Service Activities";1015;23;9;29;30;812;0;29;11;73;1395;22;48;38;152;772;11;126;13;213;1136;2;2;23;52;996;0;0;0;62;452;8;18;11;0;336;41;12;2;24
"..Information and Communication";45;0;4;16;5;3;0;10;8;0;129;8;22;76;6;0;5;0;4;7;110;0;8;43;11;40;0;1;3;4;63;1;3;50;4;2;0;0;3;0
"..Financial and Insurance Activities";283;20;57;74;18;103;7;0;0;3;194;13;22;21;37;55;5;4;23;13;250;18;55;2;10;12;85;0;25;44;324;23;13;14;30;93;125;8;16;1
"..Real Estate Activities";44;6;1;3;0;0;0;1;2;31;126;6;20;2;6;20;6;12;5;49;20;0;0;0;0;6;0;3;3;8;70;0;0;0;11;16;5;0;12;25
"..Professional, Scientific and Technical Activities";54;0;12;21;7;7;0;0;4;3;338;15;202;6;6;58;18;5;4;25;32;0;0;4;3;8;0;0;16;2;55;10;1;13;6;5;7;9;3;1
"..Administrative and Support Service Activities";669;10;25;10;26;144;24;52;182;197;2154;8;32;76;91;1312;117;62;177;279;2238;2;61;178;100;187;642;157;846;65;1417;34;24;49;47;218;142;48;281;575
"..Education Except Public Education";310;18;86;27;67;46;4;25;10;27;257;6;58;12;22;21;4;38;1;94;121;1;33;8;10;10;3;25;0;31;120;6;8;39;10;39;0;14;1;3
"..Human Health and Social Work Activities Except Public Health Activities";270;17;60;93;35;28;1;2;12;22;207;8;101;20;12;40;0;18;2;4;428;16;158;59;19;63;8;5;3;98;155;0;26;47;8;20;2;1;2;48
"..Arts, Entertainment and Recreation";250;3;8;119;23;74;6;4;2;13;271;29;11;53;28;88;0;11;2;50;105;0;2;26;14;4;5;0;4;51;213;6;10;6;6;133;0;15;1;37
"..Other Service Activities except Activities of Membership Organizations";59;0;8;0;0;29;0;0;5;18;14;0;0;2;0;5;0;3;4;0;7;0;0;0;0;7;0;0;0;0;34;0;15;11;0;1;0;0;0;7
