"Cases of Occupational Injuries With Workdays Lost in Establishments Employing 20 or More Workers by Industry Group and Type of Injury, Philippines: 2013-2021"

"Major Industry Group";"2013 TOTAL";"2013 ..Superficial Injuries and Open Wounds";"2013 ..Superficial Injuries";"2013 ..Open Wounds";"2013 ..Fractures";"2013 ..Dislocations, Sprains and Strains";"2013 ..Injury of Nerve/s of Part of Body Injured";"2013 ..Injury of Blood Vessel/s of Part of Body Injured";"2013 ..Injury of Muscles and Tendons";"2013 ..Crushing Injury";"2013 ..Traumatic Amputations";"2013 ..Concussions and Internal Injuries";"2013 ..Burns, Corrosions, Scalds and Frostbites";"2013 ..Burns and Corrosions";"2013 ..Acute Poisonings and Infections";"2013 ..Toxic Effect of Substances (Non-Medicinal)";"2013 ..Foreign Body in the Eye";"2013 ..Foreign Body Entering Through Natural Opening (Eyes, Ears, Respiratory Tract, GIT, GUT)";"2013  ..Others";"2015 TOTAL";"2015 ..Superficial Injuries and Open Wounds";"2015 ..Superficial Injuries";"2015 ..Open Wounds";"2015 ..Fractures";"2015 ..Dislocations, Sprains and Strains";"2015 ..Injury of Nerve/s of Part of Body Injured";"2015 ..Injury of Blood Vessel/s of Part of Body Injured";"2015 ..Injury of Muscles and Tendons";"2015 ..Crushing Injury";"2015 ..Traumatic Amputations";"2015 ..Concussions and Internal Injuries";"2015 ..Burns, Corrosions, Scalds and Frostbites";"2015 ..Burns and Corrosions";"2015 ..Acute Poisonings and Infections";"2015 ..Toxic Effect of Substances (Non-Medicinal)";"2015 ..Foreign Body in the Eye";"2015 ..Foreign Body Entering Through Natural Opening (Eyes, Ears, Respiratory Tract, GIT, GUT)";"2015  ..Others";"2017 TOTAL";"2017 ..Superficial Injuries and Open Wounds";"2017 ..Superficial Injuries";"2017 ..Open Wounds";"2017 ..Fractures";"2017 ..Dislocations, Sprains and Strains";"2017 ..Injury of Nerve/s of Part of Body Injured";"2017 ..Injury of Blood Vessel/s of Part of Body Injured";"2017 ..Injury of Muscles and Tendons";"2017 ..Crushing Injury";"2017 ..Traumatic Amputations";"2017 ..Concussions and Internal Injuries";"2017 ..Burns, Corrosions, Scalds and Frostbites";"2017 ..Burns and Corrosions";"2017 ..Acute Poisonings and Infections";"2017 ..Toxic Effect of Substances (Non-Medicinal)";"2017 ..Foreign Body in the Eye";"2017 ..Foreign Body Entering Through Natural Opening (Eyes, Ears, Respiratory Tract, GIT, GUT)";"2017  ..Others";"2019 TOTAL";"2019 ..Superficial Injuries and Open Wounds";"2019 ..Superficial Injuries";"2019 ..Open Wounds";"2019 ..Fractures";"2019 ..Dislocations, Sprains and Strains";"2019 ..Injury of Nerve/s of Part of Body Injured";"2019 ..Injury of Blood Vessel/s of Part of Body Injured";"2019 ..Injury of Muscles and Tendons";"2019 ..Crushing Injury";"2019 ..Traumatic Amputations";"2019 ..Concussions and Internal Injuries";"2019 ..Burns, Corrosions, Scalds and Frostbites";"2019 ..Burns and Corrosions";"2019 ..Acute Poisonings and Infections";"2019 ..Toxic Effect of Substances (Non-Medicinal)";"2019 ..Foreign Body in the Eye";"2019 ..Foreign Body Entering Through Natural Opening (Eyes, Ears, Respiratory Tract, GIT, GUT)";"2019  ..Others";"2021 TOTAL";"2021 ..Superficial Injuries and Open Wounds";"2021 ..Superficial Injuries";"2021 ..Open Wounds";"2021 ..Fractures";"2021 ..Dislocations, Sprains and Strains";"2021 ..Injury of Nerve/s of Part of Body Injured";"2021 ..Injury of Blood Vessel/s of Part of Body Injured";"2021 ..Injury of Muscles and Tendons";"2021 ..Crushing Injury";"2021 ..Traumatic Amputations";"2021 ..Concussions and Internal Injuries";"2021 ..Burns, Corrosions, Scalds and Frostbites";"2021 ..Burns and Corrosions";"2021 ..Acute Poisonings and Infections";"2021 ..Toxic Effect of Substances (Non-Medicinal)";"2021 ..Foreign Body in the Eye";"2021 ..Foreign Body Entering Through Natural Opening (Eyes, Ears, Respiratory Tract, GIT, GUT)";"2021  ..Others"
"ALL INDUSTRIES";20702;12765;.;.;1497;2004;.;.;.;.;317;576;1538;.;242;.;1253;.;510;17859;10042;.;.;1572;2254;.;.;.;.;228;880;1509;.;245;.;1101;.;28;20797;10561;.;.;2228;2488;.;.;.;.;294;1442;1749;.;452;.;1558;.;26;17762;.;3970;7185;1184;1203;491;185;733;489;146;.;.;1343;.;82;.;728;23;12076;.;2289;4813;969;1092;194;202;524;377;148;.;.;675;.;100;.;653;40
"..Agriculture, Forestry and Fishing";2846;1901;.;.;101;389;.;.;.;.;127;40;31;.;16;.;142;.;100;1877;1214;.;.;73;267;.;.;.;.;5;152;35;.;8;.;121;.;1;1466;1099;.;.;99;121;.;.;.;.;5;32;27;.;27;.;56;.;0;766;.;85;457;60;52;2;5;21;12;8;.;.;17;.;3;.;45;0;1498;.;198;837;79;132;20;9;55;43;37;.;.;24;.;22;.;42;1
"..Mining and Quarrying";136;64;.;.;30;5;.;.;.;.;7;7;6;.;2;.;0;.;15;59;26;.;.;23;4;.;.;.;.;1;6;0;.;0;.;0;.;0;98;44;.;.;20;6;.;.;.;.;3;14;1;.;1;.;4;.;3;56;.;2;5;25;6;2;0;0;2;0;.;.;7;.;5;.;0;0;94;.;7;28;21;8;0;0;1;2;0;.;.;9;.;2;.;15;0
"..Manufacturing";10126;6770;.;.;499;630;.;.;.;.;115;367;835;.;39;.;809;.;58;8602;5123;.;.;567;840;.;.;.;.;117;413;844;.;104;.;581;.;13;9157;4693;.;.;667;1133;.;.;.;.;176;421;782;.;199;.;1084;.;1;8056;.;1770;3723;400;348;69;108;206;239;114;.;.;542;.;58;.;468;11;5030;.;849;2123;295;329;75;152;249;169;73;.;.;330;.;54;.;326;7
"..Electricity, Gas, Steam and Air Conditioning Supply";399;172;.;.;87;72;.;.;.;.;0;6;39;.;4;.;4;.;14;408;193;.;.;60;53;.;.;.;.;17;22;50;.;1;.;4;.;9;483;236;.;.;72;81;.;.;.;.;4;28;46;.;0;.;14;.;4;300;.;92;54;58;26;3;5;6;15;3;.;.;28;.;0;.;7;3;299;.;102;72;36;19;10;5;3;11;3;.;.;24;.;4;.;2;7
"..Water Supply; Sewerage, Waste Management and Remediation Activities";184;72;.;.;32;33;.;.;.;.;2;14;6;.;20;.;5;.;0;115;68;.;.;12;8;.;.;.;.;0;5;0;.;7;.;14;.;0;172;97;.;.;25;16;.;.;.;.;0;8;9;.;5;.;11;.;1;33;.;8;10;5;2;2;0;0;4;0;.;.;2;.;0;.;0;0;107;.;31;32;5;5;3;1;6;15;5;.;.;3;.;0;.;1;0
"..Construction";525;306;.;.;53;38;.;.;.;.;33;12;19;.;0;.;65;.;0;715;384;.;.;124;39;.;.;.;.;2;19;34;.;0;.;111;.;2;826;450;.;.;127;69;.;.;.;.;16;30;41;.;20;.;70;.;4;1436;.;161;725;121;118;11;13;140;22;11;.;.;30;.;3;.;70;9;810;.;213;265;72;44;12;1;30;41;13;.;.;37;.;2;.;81;1
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles Vehicles and Motorcycles";2155;1520;.;.;156;303;.;.;.;.;8;12;48;.;12;.;95;.;0;2045;1074;.;.;248;396;.;.;.;.;58;62;65;.;44;.;97;.;0;2488;1325;.;.;385;438;.;.;.;.;47;53;105;.;28;.;96;.;12;1497;.;315;510;230;133;6;2;163;73;0;.;.;25;.;3;.;37;0;938;.;235;375;71;99;9;2;30;23;3;.;.;27;.;8;.;43;13
"..Transportation and Storage";1163;496;.;.;139;120;.;.;.;.;6;57;63;.;6;.;29;.;250;1037;628;.;.;79;114;.;.;.;.;20;78;44;.;17;.;56;.;1;1022;434;.;.;90;96;.;.;.;.;16;247;35;.;48;.;57;.;0;1171;.;445;361;38;275;5;0;9;20;2;.;.;9;.;0;.;6;0;396;.;88;107;60;67;2;5;16;17;3;.;.;19;.;0;.;12;0
"..Accommodation and Food Service Activities";1199;570;.;.;47;135;.;.;.;.;5;8;405;.;5;.;23;.;1;1015;391;.;.;44;143;.;.;.;.;0;46;333;.;19;.;39;.;0;1395;788;.;.;82;147;.;.;.;.;6;18;309;.;22;.;24;.;0;1136;.;420;118;3;45;0;5;41;18;0;.;.;484;.;2;.;2;0;452;.;112;110;23;48;3;15;4;3;0;.;.;113;.;3;.;18;0
