"Cases of Occupational Injuries With Workdays Lost in Establishments Employing 20 or More Workers by Industry Group and Part of the Body Injured, Philippines: 2013-2021"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__OID/4001B3GI070.px/table/tableViewLayout1/?rxid=6c884b7d-8541-43da-b80e-9f99195fb610"
"Major Industry Group";"2013 TOTAL";"2013 ..Head";"2013 ..Neck";"2013 ..Back";"2013 ..Trunk";"2013 ..Abdomen, Lower Back, Lumbar Spine, Pelvis";"2013 ..Arm and Shoulder";"2013 ..Shoulder and Upper Arm";"2013 ..Elbow and Forearm";"2013 ..Wrist and Hand";"2013 ..Hip and Thigh";"2013 ..Lower Extremities";"2013 ..Whole Body or Multiple Sites Equally Injured";"2015 TOTAL";"2015 ..Head";"2015 ..Neck";"2015 ..Back";"2015 ..Trunk";"2015 ..Abdomen, Lower Back, Lumbar Spine, Pelvis";"2015 ..Arm and Shoulder";"2015 ..Shoulder and Upper Arm";"2015 ..Elbow and Forearm";"2015 ..Wrist and Hand";"2015 ..Hip and Thigh";"2015 ..Lower Extremities";"2015 ..Whole Body or Multiple Sites Equally Injured";"2017 TOTAL";"2017 ..Head";"2017 ..Neck";"2017 ..Back";"2017 ..Trunk";"2017 ..Abdomen, Lower Back, Lumbar Spine, Pelvis";"2017 ..Arm and Shoulder";"2017 ..Shoulder and Upper Arm";"2017 ..Elbow and Forearm";"2017 ..Wrist and Hand";"2017 ..Hip and Thigh";"2017 ..Lower Extremities";"2017 ..Whole Body or Multiple Sites Equally Injured";"2019 TOTAL";"2019 ..Head";"2019 ..Neck";"2019 ..Back";"2019 ..Trunk";"2019 ..Abdomen, Lower Back, Lumbar Spine, Pelvis";"2019 ..Arm and Shoulder";"2019 ..Shoulder and Upper Arm";"2019 ..Elbow and Forearm";"2019 ..Wrist and Hand";"2019 ..Hip and Thigh";"2019 ..Lower Extremities";"2019 ..Whole Body or Multiple Sites Equally Injured";"2021 TOTAL";"2021 ..Head";"2021 ..Neck";"2021 ..Back";"2021 ..Trunk";"2021 ..Abdomen, Lower Back, Lumbar Spine, Pelvis";"2021 ..Arm and Shoulder";"2021 ..Shoulder and Upper Arm";"2021 ..Elbow and Forearm";"2021 ..Wrist and Hand";"2021 ..Hip and Thigh";"2021 ..Lower Extremities";"2021 ..Whole Body or Multiple Sites Equally Injured"
"ALL INDUSTRIES";20702;2452;150;565;713;.;3271;.;.;9391;.;3520;638;17859;2462;223;518;386;.;2979;.;.;7006;.;3514;771;20797;3280;222;739;610;.;3665;.;.;7458;.;3891;932;17762;2122;96;.;302;1123;.;1704;1458;7065;962;2665;265;12076;1443;182;.;114;535;.;1040;1067;4800;515;1851;529
"..Agriculture, Forestry and Fishing";2846;334;19;28;25;.;492;.;.;923;.;882;143;1877;259;65;49;79;.;272;.;.;612;.;507;35;1466;149;4;21;28;.;477;.;.;475;.;289;24;766;114;5;.;0;11;.;73;67;242;98;151;5;1498;146;10;.;12;57;.;78;103;579;33;281;198
"..Mining and Quarrying";136;14;2;3;8;.;26;.;.;26;.;31;25;59;4;2;3;6;.;4;.;.;15;.;22;4;98;20;3;9;0;.;3;.;.;20;.;18;25;56;7;1;.;0;4;.;5;7;18;0;5;7;94;17;0;.;1;1;.;17;11;9;6;20;11
"..Manufacturing";10126;1263;44;199;133;.;1424;.;.;5708;.;1247;106;8602;1372;89;202;117;.;1174;.;.;4136;.;1184;327;9157;1663;62;215;145;.;1220;.;.;3912;.;1484;456;8056;938;69;.;67;447;.;811;471;3873;556;778;46;5030;725;57;.;43;138;.;268;441;2391;281;593;92
"..Electricity, Gas, Steam and Air Conditioning Supply";399;80;4;12;24;.;66;.;.;66;.;92;57;408;48;11;23;22;.;87;.;.;68;.;122;28;483;75;7;23;24;.;87;.;.;89;.;127;51;300;30;1;.;3;9;.;34;38;36;5;104;39;299;48;6;.;7;17;.;35;40;40;8;66;32
"..Water Supply; Sewerage, Waste Management and Remediation Activities";184;22;5;16;10;.;24;.;.;36;.;41;31;115;22;0;1;1;.;18;.;.;12;.;53;7;172;29;1;2;2;.;16;.;.;36;.;78;7;33;9;0;.;2;1;.;7;2;5;0;6;0;107;11;0;.;0;2;.;5;11;27;2;48;1
"..Construction";525;82;0;0;21;.;82;.;.;222;.;69;50;715;154;1;45;10;.;184;.;.;238;.;78;5;826;180;5;104;28;.;125;.;.;203;.;155;27;1436;330;3;.;11;172;.;103;165;325;53;231;42;810;152;20;.;14;39;.;83;56;223;37;114;73
"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles Vehicles and Motorcycles";2155;157;26;184;7;.;218;.;.;969;.;578;16;2045;169;9;53;70;.;400;.;.;796;.;508;41;2488;508;15;86;20;.;428;.;.;832;.;539;60;1497;80;0;.;6;100;.;259;147;437;90;359;20;938;91;13;.;2;73;.;127;81;306;42;185;17
"..Transportation and Storage";1163;179;30;9;250;.;294;.;.;216;.;135;53;1037;154;7;42;50;.;162;.;.;250;.;298;75;1022;162;9;19;253;.;179;.;.;186;.;189;24;1171;69;0;.;185;240;.;46;226;227;29;111;38;396;39;6;.;4;23;.;71;69;94;9;73;9
"..Accommodation and Food Service Activities";1199;92;5;19;63;.;204;.;.;717;.;79;20;1015;85;0;16;15;.;349;.;.;319;.;220;12;1395;81;61;96;9;.;242;.;.;537;.;281;87;1136;13;0;.;10;22;.;164;44;420;3;456;5;452;28;1;.;9;19;.;48;65;182;7;80;12
"..Information and Communication";42;4;0;2;13;.;7;.;.;14;.;2;0;45;6;0;1;0;.;16;.;.;4;.;18;1;129;7;5;2;7;.;20;.;.;46;.;29;13;110;1;2;.;2;1;.;43;43;13;0;5;0;63;5;2;.;0;4;.;12;0;8;0;18;14
"..Financial and Insurance Activities";363;9;1;0;35;.;165;.;.;33;.;111;9;283;8;9;42;0;.;71;.;.;24;.;127;1;194;28;0;3;0;.;66;.;.;29;.;60;8;250;25;2;.;3;3;.;6;55;94;9;48;5;324;3;16;.;0;27;.;86;45;65;9;48;25
"..Real Estate Activities";80;19;0;0;18;.;6;.;.;19;.;18;0;44;14;0;2;0;.;1;.;.;13;.;15;0;126;25;2;1;0;.;13;.;.;31;.;39;14;20;8;0;.;0;9;.;0;0;0;0;3;0;70;7;0;.;2;0;.;7;0;44;0;10;0
"..Professional, Scientific and Technical Activities";119;2;0;0;1;.;5;.;.;52;.;25;34;54;6;0;0;0;.;15;.;.;25;.;7;1;338;16;0;0;0;.;204;.;.;30;.;17;70;32;0;2;.;0;0;.;0;2;4;0;24;0;55;8;0;.;0;0;.;1;11;16;7;7;5
"..Administrative and Support Service Activities";868;138;10;58;55;.;209;.;.;255;.;126;12;669;71;15;3;2;.;108;.;.;252;.;97;120;2154;231;38;117;63;.;456;.;.;836;.;370;42;2238;436;11;.;6;64;.;119;142;1181;102;133;45;1417;119;22;.;11;84;.;147;97;702;47;153;36
"..Education Except Public Education";156;31;4;4;1;.;16;.;.;43;.;54;2;310;40;16;4;11;.;40;.;.;101;.;86;13;257;31;7;18;1;.;47;.;.;60;.;79;14;121;17;0;.;0;9;.;4;13;29;5;40;3;120;11;5;.;0;3;.;7;8;36;6;44;0
"..Human Health and Social Work Activities Except Public Health Activities";288;14;0;28;47;.;32;.;.;60;.;28;79;270;16;0;31;2;.;43;.;.;58;.;93;27;207;14;0;10;4;.;19;.;.;77;.;76;7;428;37;0;.;7;31;.;22;33;100;11;180;8;155;4;16;.;7;12;.;16;8;43;6;41;0
