"Number of Establishments Employing 20 or More Workers by Awareness on Employees' Compensation Commission (ECC) and Employees' Compensation Program (ECP), Dissemination, Maintainance of EC Logbook, Availment of ECP Benefits and Services, and Provision of As"

"Indicators";"Major Industry Group";"2017"
"Total Establishments";"ALL INDUSTRIES";32288
"Total Establishments";"..Agriculture, Forestry and Fishing";1124
"Total Establishments";"..Mining and Quarrying";156
"Total Establishments";"..Manufacturing";5925
"Total Establishments";"..Electricity, Gas, Steam and Air Conditioning Supply";285
"Total Establishments";"..Water Supply; Sewerage, Waste Management and Remediation Activities";326
"Total Establishments";"..Construction";991
"Total Establishments";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";7820
"Total Establishments";"..Transportation and Storage";1045
"Total Establishments";"..Accommodation and Food Service Activities";4183
"Total Establishments";"..Information and Communication";772
"Total Establishments";"..Financial and Insurance Activities";1339
"Total Establishments";"..Real Estate Activities";454
"Total Establishments";"..Professional, Scientific and Technical Activities";745
"Total Establishments";"..Administrative and Support Service Activities";1925
"Total Establishments";"..Education Except Public Education";3574
"Total Establishments";"..Human Health and Social Work Activities Except Public Health Activities";1048
"Total Establishments";"..Arts, Entertainment and  Recreation";234
"Total Establishments";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";343
"Aware of ECC";"ALL INDUSTRIES";27231
"Aware of ECC";"..Agriculture, Forestry and Fishing";912
"Aware of ECC";"..Mining and Quarrying";131
"Aware of ECC";"..Manufacturing";5079
"Aware of ECC";"..Electricity, Gas, Steam and Air Conditioning Supply";274
"Aware of ECC";"..Water Supply; Sewerage, Waste Management and Remediation Activities";261
"Aware of ECC";"..Construction";841
"Aware of ECC";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";6517
"Aware of ECC";"..Transportation and Storage";888
"Aware of ECC";"..Accommodation and Food Service Activities";3522
"Aware of ECC";"..Information and Communication";651
"Aware of ECC";"..Financial and Insurance Activities";1183
"Aware of ECC";"..Real Estate Activities";381
"Aware of ECC";"..Professional, Scientific and Technical Activities";623
"Aware of ECC";"..Administrative and Support Service Activities";1697
"Aware of ECC";"..Education Except Public Education";2876
"Aware of ECC";"..Human Health and Social Work Activities Except Public Health Activities";930
"Aware of ECC";"..Arts, Entertainment and  Recreation";179
"Aware of ECC";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";286
"Aware of ECP";"ALL INDUSTRIES";28189
"Aware of ECP";"..Agriculture, Forestry and Fishing";945
"Aware of ECP";"..Mining and Quarrying";136
"Aware of ECP";"..Manufacturing";5349
"Aware of ECP";"..Electricity, Gas, Steam and Air Conditioning Supply";278
"Aware of ECP";"..Water Supply; Sewerage, Waste Management and Remediation Activities";258
"Aware of ECP";"..Construction";883
"Aware of ECP";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";6783
"Aware of ECP";"..Transportation and Storage";910
"Aware of ECP";"..Accommodation and Food Service Activities";3610
"Aware of ECP";"..Information and Communication";676
"Aware of ECP";"..Financial and Insurance Activities";1210
"Aware of ECP";"..Real Estate Activities";397
"Aware of ECP";"..Professional, Scientific and Technical Activities";631
"Aware of ECP";"..Administrative and Support Service Activities";1719
"Aware of ECP";"..Education Except Public Education";2956
"Aware of ECP";"..Human Health and Social Work Activities Except Public Health Activities";944
"Aware of ECP";"..Arts, Entertainment and  Recreation";194
"Aware of ECP";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";309
"With EC Logbook";"ALL INDUSTRIES";17203
"With EC Logbook";"..Agriculture, Forestry and Fishing";635
"With EC Logbook";"..Mining and Quarrying";85
"With EC Logbook";"..Manufacturing";3550
"With EC Logbook";"..Electricity, Gas, Steam and Air Conditioning Supply";213
"With EC Logbook";"..Water Supply; Sewerage, Waste Management and Remediation Activities";104
"With EC Logbook";"..Construction";545
"With EC Logbook";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";4395
"With EC Logbook";"..Transportation and Storage";598
"With EC Logbook";"..Accommodation and Food Service Activities";2099
"With EC Logbook";"..Information and Communication";358
"With EC Logbook";"..Financial and Insurance Activities";664
"With EC Logbook";"..Real Estate Activities";222
"With EC Logbook";"..Professional, Scientific and Technical Activities";260
"With EC Logbook";"..Administrative and Support Service Activities";1075
"With EC Logbook";"..Education Except Public Education";1519
"With EC Logbook";"..Human Health and Social Work Activities Except Public Health Activities";608
"With EC Logbook";"..Arts, Entertainment and  Recreation";121
"With EC Logbook";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";151
"Disseminated Information on ECP";"ALL INDUSTRIES";17357
"Disseminated Information on ECP";"..Agriculture, Forestry and Fishing";600
"Disseminated Information on ECP";"..Mining and Quarrying";90
"Disseminated Information on ECP";"..Manufacturing";3252
"Disseminated Information on ECP";"..Electricity, Gas, Steam and Air Conditioning Supply";222
"Disseminated Information on ECP";"..Water Supply; Sewerage, Waste Management and Remediation Activities";135
"Disseminated Information on ECP";"..Construction";512
"Disseminated Information on ECP";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";4288
"Disseminated Information on ECP";"..Transportation and Storage";576
"Disseminated Information on ECP";"..Accommodation and Food Service Activities";2313
